date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-20-2020,1,0,0,1,0.0,0.0,0
03-21-2020,1,0,0,1,0.0,0.0,0.0
03-22-2020,2,0,0,2,0.0,0.0,1.0
03-23-2020,3,0,0,3,0.0,0.0,0.5
03-24-2020,3,0,0,3,0.0,0.0,0.0
03-25-2020,7,1,0,7,14.29,0.0,1.3333333333333333
03-26-2020,10,1,0,10,10.0,0.0,0.42857142857142855
03-27-2020,10,1,0,10,10.0,0.0,0.0
03-28-2020,10,1,0,10,10.0,0.0,0.0
03-29-2020,18,1,0,18,5.56,0.0,0.8
03-30-2020,27,3,0,27,11.11,0.0,0.5
03-31-2020,27,3,0,27,11.11,0.0,0.0
04-01-2020,74,5,0,74,6.76,0.0,1.7407407407407407
04-02-2020,98,5,0,98,5.1,0.0,0.32432432432432434
04-03-2020,120,5,0,120,4.17,0.0,0.22448979591836735
04-04-2020,144,8,0,144,5.56,0.0,0.2
04-05-2020,184,10,13,171,5.43,7.07,0.2777777777777778
04-06-2020,253,10,26,227,3.95,10.28,0.375
04-07-2020,278,11,26,252,3.96,9.35,0.09881422924901186
04-08-2020,342,11,28,314,3.22,8.19,0.2302158273381295
04-09-2020,410,11,40,370,2.68,9.76,0.19883040935672514
04-10-2020,438,11,41,397,2.51,9.36,0.06829268292682927
04-11-2020,491,11,41,450,2.24,8.35,0.12100456621004566
04-12-2020,529,12,75,454,2.27,14.18,0.07739307535641547
04-13-2020,529,12,75,454,2.27,14.18,0.0
04-14-2020,570,14,90,480,2.46,15.79,0.07750472589792061
04-15-2020,584,14,90,494,2.4,15.41,0.02456140350877193
04-16-2020,584,14,90,494,2.4,15.41,0.0
04-17-2020,627,18,110,517,2.87,17.54,0.07363013698630137
04-18-2020,639,19,113,526,2.97,17.68,0.019138755980861243
04-19-2020,648,20,117,531,3.09,18.06,0.014084507042253521
04-20-2020,648,20,117,531,3.09,18.06,0.0
04-21-2020,657,20,127,530,3.04,19.33,0.013888888888888888
04-22-2020,662,22,193,469,3.32,29.15,0.0076103500761035
04-23-2020,671,24,256,415,3.58,38.15,0.013595166163141994
