date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-18-2020,2,0,0,2,0.0,0.0,1
03-19-2020,2,0,0,2,0.0,0.0,1.0
03-20-2020,2,0,0,2,0.0,0.0,1.0
03-21-2020,2,0,0,2,0.0,0.0,1.0
03-22-2020,3,0,0,3,0.0,0.0,1.5
03-23-2020,3,0,0,3,0.0,0.0,1.0
03-24-2020,3,0,0,3,0.0,0.0,1.0
03-25-2020,12,0,0,12,0.0,0.0,4.0
03-26-2020,16,0,0,16,0.0,0.0,1.3333333333333333
03-27-2020,22,0,0,22,0.0,0.0,1.375
03-28-2020,28,0,0,28,0.0,0.0,1.2727272727272727
03-29-2020,29,0,0,29,0.0,0.0,1.0357142857142858
03-30-2020,35,0,0,35,0.0,0.0,1.206896551724138
03-31-2020,35,0,0,35,0.0,0.0,1.0
04-01-2020,36,0,0,36,0.0,0.0,1.0285714285714285
04-02-2020,39,1,0,39,2.56,0.0,1.0833333333333333
04-03-2020,39,1,2,37,2.56,5.13,1.0
04-04-2020,39,1,2,37,2.56,5.13,1.0
04-05-2020,39,1,3,36,2.56,7.69,1.0
04-06-2020,39,1,5,34,2.56,12.82,1.0
04-07-2020,39,1,7,32,2.56,17.95,1.0
04-08-2020,39,1,7,32,2.56,17.95,1.0
04-09-2020,39,1,24,15,2.56,61.54,1.0
04-10-2020,40,2,25,15,5.0,62.5,1.0256410256410255
04-11-2020,40,2,28,12,5.0,70.0,1.0
04-12-2020,43,2,30,13,4.65,69.77,1.075
04-13-2020,45,2,30,15,4.44,66.67,1.0465116279069768
04-14-2020,45,2,30,15,4.44,66.67,1.0
04-15-2020,48,2,30,18,4.17,62.5,1.0666666666666667
04-16-2020,48,2,30,18,4.17,62.5,1.0
04-17-2020,52,2,30,22,3.85,57.69,1.0833333333333333
04-18-2020,57,2,33,24,3.51,57.89,1.0961538461538463
04-19-2020,61,3,33,28,4.92,54.1,1.0701754385964912
04-20-2020,65,3,35,30,4.62,53.85,1.0655737704918034
04-21-2020,70,3,35,35,4.29,50.0,1.0769230769230769
04-22-2020,74,3,35,39,4.05,47.3,1.0571428571428572
04-23-2020,76,3,37,39,3.95,48.68,1.027027027027027
04-24-2020,84,3,37,47,3.57,44.05,1.1052631578947367
04-25-2020,84,3,37,47,3.57,44.05,1.0
04-26-2020,88,3,42,46,3.41,47.73,1.0476190476190477
04-27-2020,88,3,42,46,3.41,47.73,1.0
04-28-2020,95,3,42,53,3.16,44.21,1.0795454545454546
04-29-2020,97,3,54,43,3.09,55.67,1.0210526315789474
04-30-2020,106,3,55,51,2.83,51.89,1.0927835051546393
05-01-2020,109,3,74,35,2.75,67.89,1.028301886792453
05-02-2020,119,3,75,44,2.52,63.03,1.091743119266055
05-03-2020,124,3,78,46,2.42,62.9,1.0420168067226891
05-04-2020,137,3,78,59,2.19,56.93,1.1048387096774193
05-05-2020,138,3,92,46,2.17,66.67,1.0072992700729928
05-06-2020,146,4,101,45,2.74,69.18,1.0579710144927537
05-07-2020,153,4,103,50,2.61,67.32,1.047945205479452
05-08-2020,167,4,111,56,2.4,66.47,1.091503267973856
05-09-2020,252,7,112,140,2.78,44.44,1.5089820359281436
05-10-2020,267,7,117,150,2.62,43.82,1.0595238095238095
05-11-2020,267,7,117,150,2.62,43.82,1.0
05-12-2020,441,7,117,324,1.59,26.53,1.651685393258427
05-13-2020,446,7,124,322,1.57,27.8,1.0113378684807257
05-14-2020,654,7,124,530,1.07,18.96,1.4663677130044843
05-15-2020,654,7,124,530,1.07,18.96,1.0
05-16-2020,679,7,183,496,1.03,26.95,1.0382262996941896
05-17-2020,753,7,188,565,0.93,24.97,1.1089837997054492
05-18-2020,761,7,192,569,0.92,25.23,1.0106241699867198
05-19-2020,772,7,192,580,0.91,24.87,1.014454664914586
05-20-2020,832,7,197,635,0.84,23.68,1.077720207253886
05-21-2020,866,7,302,564,0.81,34.87,1.0408653846153846
05-22-2020,920,7,336,584,0.76,36.52,1.0623556581986142
05-23-2020,920,7,336,584,0.76,36.52,1.0
05-24-2020,920,7,336,584,0.76,36.52,1.0
05-25-2020,920,7,336,584,0.76,36.52,1.0
05-26-2020,920,7,336,584,0.76,36.52,1.0
05-27-2020,1057,7,779,278,0.66,73.7,1.1489130434782608
05-28-2020,1057,7,779,278,0.66,73.7,1.0
05-29-2020,1057,7,779,278,0.66,73.7,1.0
05-30-2020,1057,7,779,278,0.66,73.7,1.0
05-31-2020,1057,7,779,278,0.66,73.7,1.0
06-01-2020,1089,7,912,177,0.64,83.75,1.0302743614001892
06-02-2020,1089,7,912,177,0.64,83.75,1.0
06-03-2020,1089,7,912,177,0.64,83.75,1.0
06-04-2020,1089,7,912,177,0.64,83.75,1.0
06-05-2020,1089,7,912,177,0.64,83.75,1.0
06-06-2020,1089,7,912,177,0.64,83.75,1.0
06-07-2020,1089,7,912,177,0.64,83.75,1.0
06-08-2020,1200,10,912,288,0.83,76.0,1.1019283746556474
06-09-2020,1200,10,912,288,0.83,76.0,1.0
06-10-2020,1200,10,912,288,0.83,76.0,1.0
06-11-2020,1200,10,912,288,0.83,76.0,1.0
06-12-2020,1321,10,1104,217,0.76,83.57,1.1008333333333333
06-13-2020,1357,10,1104,253,0.74,81.36,1.0272520817562452
06-14-2020,1358,11,1122,236,0.81,82.62,1.0007369196757554
06-15-2020,1382,11,1142,240,0.8,82.63,1.0176730486008836
06-16-2020,1405,11,1142,263,0.78,81.28,1.0166425470332852
06-17-2020,1412,11,1142,270,0.78,80.88,1.004982206405694
06-18-2020,1416,11,1144,272,0.78,80.79,1.0028328611898016
06-19-2020,1430,11,1194,236,0.77,83.5,1.0098870056497176
06-20-2020,1430,11,1194,236,0.77,83.5,1.0
06-21-2020,1430,11,1194,236,0.77,83.5,1.0
06-22-2020,1430,11,1194,236,0.77,83.5,1.0
06-23-2020,1477,18,1213,264,1.22,82.13,1.0328671328671328
06-24-2020,1489,18,1223,266,1.21,82.14,1.008124576844956
06-25-2020,1497,18,1223,274,1.2,81.7,1.0053727333781062
06-26-2020,1531,21,1233,298,1.37,80.54,1.0227120908483633
06-27-2020,1531,21,1233,298,1.37,80.54,1.0
06-28-2020,1557,22,1311,246,1.41,84.2,1.016982364467668
06-29-2020,1568,22,1311,257,1.4,83.61,1.0070648683365446
06-30-2020,1594,24,1329,265,1.51,83.38,1.0165816326530612
07-01-2020,1632,30,1348,284,1.84,82.6,1.0238393977415308
07-02-2020,1632,30,1348,284,1.84,82.6,1.0
07-03-2020,1632,30,1348,284,1.84,82.6,1.0
07-04-2020,1632,30,1348,284,1.84,82.6,1.0
07-05-2020,1632,30,1348,284,1.84,82.6,1.0
07-06-2020,1632,30,1348,284,1.84,82.6,1.0
07-07-2020,1895,42,1348,547,2.22,71.13,1.1611519607843137
07-08-2020,1895,42,1348,547,2.22,71.13,1.0
07-09-2020,1895,42,1348,547,2.22,71.13,1.0
07-10-2020,1895,42,1348,547,2.22,71.13,1.0
07-11-2020,1895,42,1348,547,2.22,71.13,1.0
07-12-2020,1895,42,1412,483,2.22,74.51,1.0
07-13-2020,1895,42,1412,483,2.22,74.51,1.0
07-14-2020,1895,42,1412,483,2.22,74.51,1.0
07-15-2020,1895,42,1412,483,2.22,74.51,1.0
07-16-2020,1895,42,1412,483,2.22,74.51,1.0
07-17-2020,2810,109,1450,1360,3.88,51.6,1.482849604221636
07-18-2020,2980,120,1462,1518,4.03,49.06,1.0604982206405693
07-19-2020,2980,120,1462,1518,4.03,49.06,1.0
07-20-2020,3326,128,1620,1706,3.85,48.71,1.1161073825503356
07-21-2020,3386,128,1620,1766,3.78,47.84,1.0180396873120865
07-22-2020,3583,128,1677,1906,3.57,46.8,1.0581807442409923
07-23-2020,3789,134,1677,2112,3.54,44.26,1.0574937203460788
07-24-2020,3856,136,1677,2179,3.53,43.49,1.0176827659012933
07-25-2020,4328,139,1953,2375,3.21,45.12,1.1224066390041494
07-26-2020,4481,139,2350,2131,3.1,52.44,1.0353512014787432
07-27-2020,4552,140,2815,1737,3.08,61.84,1.0158446775273378
07-28-2020,5002,142,3195,1807,2.84,63.87,1.0988576449912126
07-29-2020,5249,146,3285,1964,2.78,62.58,1.0493802479008396
