date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-14-2020,1,0,0,1,0.0,0.0,1
03-15-2020,1,0,0,1,0.0,0.0,1.0
03-16-2020,5,0,0,5,0.0,0.0,5.0
03-17-2020,7,0,0,7,0.0,0.0,1.4
03-18-2020,8,0,0,8,0.0,0.0,1.1428571428571428
03-19-2020,8,0,0,8,0.0,0.0,1.0
03-20-2020,17,0,0,17,0.0,0.0,2.125
03-21-2020,17,0,0,17,0.0,0.0,1.0
03-22-2020,19,0,0,19,0.0,0.0,1.1176470588235294
03-23-2020,36,0,0,36,0.0,0.0,1.8947368421052633
03-24-2020,40,0,0,40,0.0,0.0,1.1111111111111112
03-25-2020,41,0,0,41,0.0,0.0,1.025
03-26-2020,50,0,0,50,0.0,0.0,1.2195121951219512
03-27-2020,54,0,0,54,0.0,0.0,1.08
03-28-2020,60,0,0,60,0.0,0.0,1.1111111111111112
03-29-2020,70,0,0,70,0.0,0.0,1.1666666666666667
03-30-2020,70,0,0,70,0.0,0.0,1.0
03-31-2020,75,0,0,75,0.0,0.0,1.0714285714285714
04-01-2020,82,0,0,82,0.0,0.0,1.0933333333333333
04-02-2020,84,0,0,84,0.0,0.0,1.024390243902439
04-03-2020,89,0,0,89,0.0,0.0,1.0595238095238095
04-04-2020,102,0,0,102,0.0,0.0,1.146067415730337
04-05-2020,104,0,4,100,0.0,3.85,1.0196078431372548
04-06-2020,105,0,4,101,0.0,3.81,1.0096153846153846
04-07-2020,105,0,7,98,0.0,6.67,1.0
04-08-2020,110,0,7,103,0.0,6.36,1.0476190476190477
04-09-2020,110,0,7,103,0.0,6.36,1.0
04-10-2020,118,0,7,111,0.0,5.93,1.0727272727272728
04-11-2020,120,0,18,102,0.0,15.0,1.0169491525423728
04-12-2020,126,0,25,101,0.0,19.84,1.05
04-13-2020,127,0,42,85,0.0,33.07,1.007936507936508
04-14-2020,134,0,49,85,0.0,36.57,1.0551181102362204
04-15-2020,136,0,54,82,0.0,39.71,1.0149253731343284
04-16-2020,138,0,60,78,0.0,43.48,1.0147058823529411
04-17-2020,143,0,65,78,0.0,45.45,1.036231884057971
04-18-2020,144,0,69,75,0.0,47.92,1.006993006993007
04-19-2020,147,0,76,71,0.0,51.7,1.0208333333333333
04-20-2020,147,0,76,71,0.0,51.7,1.0
04-21-2020,150,0,84,66,0.0,56.0,1.0204081632653061
04-22-2020,153,0,84,69,0.0,54.9,1.02
04-23-2020,154,0,87,67,0.0,56.49,1.0065359477124183
04-24-2020,176,0,87,89,0.0,49.43,1.1428571428571428
04-25-2020,183,0,88,95,0.0,48.09,1.0397727272727273
04-26-2020,191,0,92,99,0.0,48.17,1.0437158469945356
04-27-2020,207,0,93,114,0.0,44.93,1.0837696335078535
04-28-2020,212,0,95,117,0.0,44.81,1.0241545893719808
04-29-2020,225,0,98,127,0.0,43.56,1.0613207547169812
04-30-2020,243,0,104,139,0.0,42.8,1.08
05-01-2020,249,0,109,140,0.0,43.78,1.0246913580246915
05-02-2020,255,0,120,135,0.0,47.06,1.0240963855421688
05-03-2020,259,0,124,135,0.0,47.88,1.0156862745098039
05-04-2020,261,0,128,133,0.0,49.04,1.0077220077220077
05-05-2020,261,0,129,132,0.0,49.43,1.0
05-06-2020,268,0,130,138,0.0,48.51,1.0268199233716475
05-07-2020,271,0,133,138,0.0,49.08,1.0111940298507462
05-08-2020,273,0,136,137,0.0,49.82,1.007380073800738
05-09-2020,280,0,140,140,0.0,50.0,1.0256410256410255
05-10-2020,284,0,140,144,0.0,49.3,1.0142857142857142
05-11-2020,285,0,150,135,0.0,52.63,1.0035211267605635
05-12-2020,286,0,153,133,0.0,53.5,1.0035087719298246
05-13-2020,287,0,164,123,0.0,57.14,1.0034965034965035
05-14-2020,287,0,168,119,0.0,58.54,1.0
05-15-2020,287,0,177,110,0.0,61.67,1.0
05-16-2020,289,0,178,111,0.0,61.59,1.0069686411149825
05-17-2020,292,0,197,95,0.0,67.47,1.0103806228373702
05-18-2020,297,0,203,94,0.0,68.35,1.0171232876712328
05-19-2020,308,0,209,99,0.0,67.86,1.037037037037037
05-20-2020,314,0,216,98,0.0,68.79,1.0194805194805194
05-21-2020,320,0,217,103,0.0,67.81,1.019108280254777
05-22-2020,321,0,222,99,0.0,69.16,1.003125
05-23-2020,325,0,227,98,0.0,69.85,1.0124610591900312
05-24-2020,327,0,237,90,0.0,72.48,1.0061538461538462
05-25-2020,336,0,238,98,0.0,70.83,1.0275229357798166
05-26-2020,339,0,244,95,0.0,71.98,1.0089285714285714
05-27-2020,346,0,245,101,0.0,70.81,1.0206489675516224
05-28-2020,349,0,245,104,0.0,70.2,1.0086705202312138
05-29-2020,355,0,247,108,0.0,69.58,1.0171919770773639
