date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
02-14-2020,1,0,0,1,0.0,0.0,1
02-15-2020,1,0,0,1,0.0,0.0,1.0
02-16-2020,1,0,0,1,0.0,0.0,1.0
02-17-2020,1,0,0,1,0.0,0.0,1.0
02-18-2020,1,0,0,1,0.0,0.0,1.0
02-19-2020,1,0,0,1,0.0,0.0,1.0
02-20-2020,1,0,0,1,0.0,0.0,1.0
02-21-2020,1,0,0,1,0.0,0.0,1.0
02-22-2020,1,0,0,1,0.0,0.0,1.0
02-23-2020,1,0,0,1,0.0,0.0,1.0
02-24-2020,1,0,0,1,0.0,0.0,1.0
02-25-2020,1,0,0,1,0.0,0.0,1.0
02-26-2020,1,0,0,1,0.0,0.0,1.0
02-27-2020,1,0,0,1,0.0,0.0,1.0
02-28-2020,1,0,1,0,0.0,100.0,1.0
02-29-2020,1,0,1,0,0.0,100.0,1.0
03-01-2020,2,0,1,1,0.0,50.0,2.0
03-02-2020,2,0,1,1,0.0,50.0,1.0
03-03-2020,2,0,1,1,0.0,50.0,1.0
03-04-2020,2,0,1,1,0.0,50.0,1.0
03-05-2020,3,0,1,2,0.0,33.33,1.5
03-06-2020,15,0,1,14,0.0,6.67,5.0
03-07-2020,15,0,1,14,0.0,6.67,1.0
03-08-2020,49,1,1,48,2.04,2.04,3.2666666666666666
03-09-2020,55,1,12,43,1.82,21.82,1.1224489795918366
03-10-2020,59,1,1,58,1.69,1.69,1.0727272727272728
03-11-2020,60,1,27,33,1.67,45.0,1.0169491525423728
03-12-2020,67,1,27,40,1.49,40.3,1.1166666666666667
03-13-2020,80,2,27,53,2.5,33.75,1.1940298507462686
03-14-2020,109,2,27,82,1.83,24.77,1.3625
03-15-2020,110,2,21,89,1.82,19.09,1.0091743119266054
03-16-2020,150,2,27,123,1.33,18.0,1.3636363636363638
03-17-2020,196,4,32,164,2.04,16.33,1.3066666666666666
03-18-2020,196,6,32,164,3.06,16.33,1.0
03-19-2020,256,6,32,224,2.34,12.5,1.306122448979592
03-20-2020,285,8,39,246,2.81,13.68,1.11328125
03-21-2020,294,10,41,253,3.4,13.95,1.0315789473684212
03-22-2020,327,14,56,271,4.28,17.13,1.1122448979591837
03-23-2020,366,19,68,298,5.19,18.58,1.1192660550458715
03-24-2020,402,20,80,322,4.98,19.9,1.098360655737705
03-25-2020,456,21,95,361,4.61,20.83,1.1343283582089552
03-26-2020,495,24,102,393,4.85,20.61,1.0855263157894737
03-27-2020,536,30,116,420,5.6,21.64,1.082828282828283
03-28-2020,576,36,121,455,6.25,21.01,1.0746268656716418
