date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-09-2020,2,0,0,2,0.0,0.0,1
03-10-2020,10,0,0,10,0.0,0.0,5.0
03-11-2020,12,1,0,12,8.33,0.0,1.2
03-12-2020,23,1,0,23,4.35,0.0,1.9166666666666665
03-13-2020,33,1,0,33,3.03,0.0,1.434782608695652
03-14-2020,38,1,0,38,2.63,0.0,1.1515151515151516
03-15-2020,42,1,0,42,2.38,0.0,1.1052631578947367
03-16-2020,51,1,0,51,1.96,0.0,1.2142857142857142
03-17-2020,55,1,0,55,1.82,0.0,1.0784313725490196
03-18-2020,59,2,0,59,3.39,0.0,1.0727272727272728
03-19-2020,64,2,0,64,3.13,0.0,1.0847457627118644
03-20-2020,70,2,0,70,2.86,0.0,1.09375
03-21-2020,76,2,2,74,2.63,2.63,1.0857142857142856
03-22-2020,89,2,2,87,2.25,2.25,1.1710526315789473
03-23-2020,104,4,2,102,3.85,1.92,1.1685393258426966
03-24-2020,123,5,10,113,4.07,8.13,1.1826923076923077
03-25-2020,146,5,17,129,3.42,11.64,1.1869918699186992
03-26-2020,174,6,17,157,3.45,9.77,1.191780821917808
03-27-2020,186,8,31,155,4.3,16.67,1.0689655172413792
03-28-2020,197,10,31,166,5.08,15.74,1.0591397849462365
03-29-2020,212,10,33,179,4.72,15.57,1.0761421319796955
03-30-2020,223,11,44,179,4.93,19.73,1.0518867924528301
03-31-2020,243,15,52,191,6.17,21.4,1.0896860986547086
04-01-2020,259,15,67,192,5.79,25.87,1.0658436213991769
04-02-2020,277,16,76,201,5.78,27.44,1.0694980694980696
04-03-2020,304,17,89,215,5.59,29.28,1.0974729241877257
04-04-2020,333,20,99,234,6.01,29.73,1.0953947368421053
04-05-2020,361,20,104,257,5.54,28.81,1.0840840840840842
04-06-2020,377,21,116,261,5.57,30.77,1.0443213296398892
04-07-2020,383,22,131,252,5.74,34.2,1.0159151193633953
04-08-2020,400,22,154,246,5.5,38.5,1.0443864229765012
04-09-2020,409,23,165,244,5.62,40.34,1.0225
04-10-2020,416,23,182,234,5.53,43.75,1.017114914425428
04-11-2020,433,23,197,236,5.31,45.5,1.0408653846153846
04-12-2020,446,23,217,229,5.16,48.65,1.0300230946882216
04-13-2020,467,23,232,235,4.93,49.68,1.047085201793722
04-14-2020,475,24,248,227,5.05,52.21,1.0171306209850106
04-15-2020,494,25,251,243,5.06,50.81,1.04
04-16-2020,518,26,277,241,5.02,53.47,1.048582995951417
04-17-2020,539,26,283,256,4.82,52.5,1.0405405405405406
04-18-2020,548,26,302,246,4.74,55.11,1.0166975881261595
04-19-2020,562,26,314,248,4.63,55.87,1.0255474452554745
04-20-2020,584,26,327,257,4.45,55.99,1.0391459074733096
04-21-2020,609,26,345,264,4.27,56.65,1.042808219178082
04-22-2020,634,27,356,278,4.26,56.15,1.0410509031198687
04-23-2020,663,27,385,278,4.07,58.07,1.0457413249211356
04-24-2020,678,27,394,284,3.98,58.11,1.0226244343891402
04-25-2020,712,27,403,309,3.79,56.6,1.0501474926253687
04-26-2020,726,28,410,316,3.86,56.47,1.0196629213483146
04-27-2020,736,28,422,314,3.8,57.34,1.0137741046831956
04-28-2020,750,30,431,319,4.0,57.47,1.0190217391304348
04-29-2020,766,30,455,311,3.92,59.4,1.0213333333333334
04-30-2020,773,31,470,303,4.01,60.8,1.0091383812010444
05-01-2020,782,31,488,294,3.96,62.4,1.0116429495472186
05-02-2020,789,31,519,270,3.93,65.78,1.0089514066496164
05-03-2020,795,31,531,264,3.9,66.79,1.0076045627376427
05-04-2020,803,31,543,260,3.86,67.62,1.010062893081761
05-05-2020,820,31,570,250,3.78,69.51,1.0211706102117062
05-06-2020,832,31,595,237,3.73,71.51,1.0146341463414634
05-07-2020,842,31,605,237,3.68,71.85,1.0120192307692308
05-08-2020,850,31,620,230,3.65,72.94,1.009501187648456
05-09-2020,856,31,627,229,3.62,73.25,1.0070588235294118
05-10-2020,868,31,650,218,3.57,74.88,1.014018691588785
05-11-2020,872,31,654,218,3.56,75.0,1.0046082949308757
05-12-2020,876,31,682,194,3.54,77.85,1.0045871559633028
05-13-2020,880,31,688,192,3.52,78.18,1.004566210045662
05-14-2020,898,31,694,204,3.45,77.28,1.0204545454545455
05-15-2020,916,31,705,211,3.38,76.97,1.0200445434298442
