date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-14-2020,1,0,0,1,0.0,0.0,1
03-15-2020,1,0,0,1,0.0,0.0,1.0
03-16-2020,1,0,0,1,0.0,0.0,1.0
03-17-2020,1,0,0,1,0.0,0.0,1.0
03-18-2020,1,0,0,1,0.0,0.0,1.0
03-19-2020,2,0,0,2,0.0,0.0,2.0
03-20-2020,2,0,0,2,0.0,0.0,1.0
03-21-2020,2,0,0,2,0.0,0.0,1.0
03-22-2020,2,0,0,2,0.0,0.0,1.0
03-23-2020,2,0,0,2,0.0,0.0,1.0
03-24-2020,2,0,0,2,0.0,0.0,1.0
03-25-2020,2,0,0,2,0.0,0.0,1.0
03-26-2020,3,0,0,3,0.0,0.0,1.5
03-27-2020,3,0,0,3,0.0,0.0,1.0
03-28-2020,5,0,0,5,0.0,0.0,1.6666666666666665
03-29-2020,5,0,2,3,0.0,40.0,1.0
03-30-2020,5,1,2,3,20.0,40.0,1.0
03-31-2020,6,1,2,4,16.67,33.33,1.2
04-01-2020,6,1,2,4,16.67,33.33,1.0
04-02-2020,6,1,2,4,16.67,33.33,1.0
04-03-2020,6,1,2,4,16.67,33.33,1.0
04-04-2020,6,1,2,4,16.67,33.33,1.0
04-05-2020,6,1,2,4,16.67,33.33,1.0
04-06-2020,6,1,2,4,16.67,33.33,1.0
04-07-2020,6,1,2,4,16.67,33.33,1.0
04-08-2020,6,1,2,4,16.67,33.33,1.0
04-09-2020,7,1,2,5,14.29,28.57,1.1666666666666667
04-10-2020,7,1,2,5,14.29,28.57,1.0
04-11-2020,7,1,2,5,14.29,28.57,1.0
04-12-2020,7,1,2,5,14.29,28.57,1.0
04-13-2020,7,1,2,5,14.29,28.57,1.0
04-14-2020,7,1,2,5,14.29,28.57,1.0
04-15-2020,7,1,2,5,14.29,28.57,1.0
04-16-2020,7,1,2,5,14.29,28.57,1.0
04-17-2020,7,1,2,5,14.29,28.57,1.0
04-18-2020,7,1,2,5,14.29,28.57,1.0
04-19-2020,7,1,6,1,14.29,85.71,1.0
04-20-2020,7,1,6,1,14.29,85.71,1.0
04-21-2020,7,1,6,1,14.29,85.71,1.0
04-22-2020,7,1,6,1,14.29,85.71,1.0
04-23-2020,7,1,6,1,14.29,85.71,1.0
04-24-2020,7,1,6,1,14.29,85.71,1.0
04-25-2020,7,1,6,1,14.29,85.71,1.0
04-26-2020,7,1,6,1,14.29,85.71,1.0
04-27-2020,7,1,6,1,14.29,85.71,1.0
04-28-2020,7,1,6,1,14.29,85.71,1.0
04-29-2020,8,1,6,2,12.5,75.0,1.1428571428571428
04-30-2020,8,1,6,2,12.5,75.0,1.0
05-01-2020,8,1,6,2,12.5,75.0,1.0
05-02-2020,8,1,6,2,12.5,75.0,1.0
05-03-2020,8,1,6,2,12.5,75.0,1.0
