date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-03-2020,1,0,0,1,0.0,0.0,0
03-04-2020,1,0,0,1,0.0,0.0,0.0
03-05-2020,1,0,0,1,0.0,0.0,0.0
03-06-2020,2,0,0,2,0.0,0.0,1.0
03-07-2020,8,0,0,8,0.0,0.0,3.0
03-08-2020,12,1,0,12,8.33,0.0,0.5
03-09-2020,12,1,0,12,8.33,0.0,0.0
03-10-2020,17,1,0,17,5.88,0.0,0.4166666666666667
03-11-2020,19,1,0,19,5.26,0.0,0.11764705882352941
03-12-2020,19,1,0,19,5.26,0.0,0.0
03-13-2020,31,2,0,31,6.45,0.0,0.631578947368421
03-14-2020,34,2,1,33,5.88,2.94,0.0967741935483871
03-15-2020,45,2,1,44,4.44,2.22,0.3235294117647059
03-16-2020,56,2,1,55,3.57,1.79,0.24444444444444444
03-17-2020,68,2,3,65,2.94,4.41,0.21428571428571427
03-18-2020,79,2,3,76,2.53,3.8,0.16176470588235295
03-19-2020,97,3,3,94,3.09,3.09,0.22784810126582278
03-20-2020,128,3,3,125,2.34,2.34,0.31958762886597936
03-21-2020,158,4,3,155,2.53,1.9,0.234375
03-22-2020,266,4,27,239,1.5,10.15,0.6835443037974683
03-23-2020,266,4,27,239,1.5,10.15,0.0
03-24-2020,387,6,52,335,1.55,13.44,0.4548872180451128
03-25-2020,387,8,52,335,2.07,13.44,0.0
03-26-2020,502,9,63,439,1.79,12.55,0.2971576227390181
03-27-2020,589,13,72,517,2.21,12.22,0.17330677290836655
03-28-2020,690,18,72,618,2.61,10.43,0.17147707979626486
03-29-2020,745,19,72,673,2.55,9.66,0.07971014492753623
03-30-2020,820,23,228,592,2.8,27.8,0.10067114093959731
03-31-2020,1054,27,240,814,2.56,22.77,0.28536585365853656
04-01-2020,1054,28,248,806,2.66,23.53,0.0
04-02-2020,1133,36,256,877,3.18,22.59,0.07495256166982922
04-03-2020,1265,39,266,999,3.08,21.03,0.11650485436893204
04-04-2020,1451,43,279,1172,2.96,19.23,0.14703557312252966
04-05-2020,1451,44,280,1171,3.03,19.3,0.0
04-06-2020,1554,48,325,1229,3.09,20.91,0.0709855272226051
04-07-2020,1628,56,338,1290,3.44,20.76,0.047619047619047616
04-08-2020,1715,63,358,1357,3.67,20.87,0.05343980343980344
04-09-2020,1795,72,365,1430,4.01,20.33,0.04664723032069971
04-10-2020,1975,82,375,1600,4.15,18.99,0.10027855153203342
04-11-2020,1975,83,440,1535,4.2,22.28,0.0
04-12-2020,2142,90,468,1674,4.2,21.85,0.08455696202531646
04-13-2020,2208,97,515,1693,4.39,23.32,0.03081232492997199
04-14-2020,2277,102,559,1718,4.48,24.55,0.03125
04-15-2020,2443,111,596,1847,4.54,24.4,0.07290294246815986
