date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
02-04-2020,1,0,0,1,0.0,0.0,1
02-05-2020,1,0,0,1,0.0,0.0,1.0
02-06-2020,1,0,0,1,0.0,0.0,1.0
02-07-2020,1,0,0,1,0.0,0.0,1.0
02-08-2020,1,0,0,1,0.0,0.0,1.0
02-09-2020,1,0,0,1,0.0,0.0,1.0
02-10-2020,1,0,0,1,0.0,0.0,1.0
02-11-2020,1,0,0,1,0.0,0.0,1.0
02-12-2020,1,0,0,1,0.0,0.0,1.0
02-13-2020,1,0,0,1,0.0,0.0,1.0
02-14-2020,1,0,0,1,0.0,0.0,1.0
02-15-2020,1,0,0,1,0.0,0.0,1.0
02-16-2020,1,0,0,1,0.0,0.0,1.0
02-17-2020,1,0,1,0,0.0,100.0,1.0
02-18-2020,1,0,1,0,0.0,100.0,1.0
02-19-2020,1,0,1,0,0.0,100.0,1.0
02-20-2020,1,0,1,0,0.0,100.0,1.0
02-21-2020,1,0,1,0,0.0,100.0,1.0
02-22-2020,1,0,1,0,0.0,100.0,1.0
02-23-2020,1,0,1,0,0.0,100.0,1.0
02-24-2020,1,0,1,0,0.0,100.0,1.0
02-25-2020,1,0,1,0,0.0,100.0,1.0
02-26-2020,1,0,1,0,0.0,100.0,1.0
02-27-2020,1,0,1,0,0.0,100.0,1.0
02-28-2020,1,0,1,0,0.0,100.0,1.0
02-29-2020,1,0,1,0,0.0,100.0,1.0
03-01-2020,2,0,1,1,0.0,50.0,2.0
03-02-2020,8,0,1,7,0.0,12.5,4.0
03-03-2020,13,0,1,12,0.0,7.69,1.625
03-04-2020,23,0,1,22,0.0,4.35,1.7692307692307692
03-05-2020,50,0,1,49,0.0,2.0,2.1739130434782608
03-06-2020,109,0,1,108,0.0,0.92,2.1799999999999997
03-07-2020,169,0,1,168,0.0,0.59,1.5504587155963303
03-08-2020,200,0,1,199,0.0,0.5,1.183431952662722
03-09-2020,239,0,1,238,0.0,0.42,1.195
03-10-2020,267,0,1,266,0.0,0.37,1.1171548117154813
03-11-2020,314,3,1,313,0.96,0.32,1.1760299625468165
03-12-2020,314,3,1,313,0.96,0.32,1.0
