date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-22-2020,1,0,0,1,0.0,0.0,0
03-23-2020,1,0,0,1,0.0,0.0,0.0
03-24-2020,1,0,0,1,0.0,0.0,0.0
03-25-2020,5,0,0,5,0.0,0.0,4.0
03-26-2020,5,0,0,5,0.0,0.0,0.0
03-27-2020,5,0,0,5,0.0,0.0,0.0
03-28-2020,5,0,0,5,0.0,0.0,0.0
03-29-2020,9,1,0,9,11.11,0.0,0.8
03-30-2020,10,2,0,10,20.0,0.0,0.1111111111111111
03-31-2020,10,2,0,10,20.0,0.0,0.0
04-01-2020,10,2,0,10,20.0,0.0,0.0
04-02-2020,16,2,0,16,12.5,0.0,0.6
04-03-2020,16,2,0,16,12.5,0.0,0.0
04-04-2020,16,2,2,14,12.5,12.5,0.0
04-05-2020,19,2,2,17,10.53,10.53,0.1875
04-06-2020,19,2,2,17,10.53,10.53,0.0
04-07-2020,19,2,3,16,10.53,15.79,0.0
04-08-2020,19,2,4,15,10.53,21.05,0.0
04-09-2020,19,2,4,15,10.53,21.05,0.0
04-10-2020,19,2,4,15,10.53,21.05,0.0
04-11-2020,25,2,5,20,8.0,20.0,0.3157894736842105
04-12-2020,25,2,5,20,8.0,20.0,0.0
04-13-2020,25,2,5,20,8.0,20.0,0.0
