date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-22-2020,1,0,0,1,0.0,0.0,1
03-23-2020,1,0,0,1,0.0,0.0,1.0
03-24-2020,1,0,0,1,0.0,0.0,1.0
03-25-2020,5,0,0,5,0.0,0.0,5.0
03-26-2020,5,0,0,5,0.0,0.0,1.0
03-27-2020,5,0,0,5,0.0,0.0,1.0
03-28-2020,5,0,0,5,0.0,0.0,1.0
03-29-2020,9,1,0,9,11.11,0.0,1.8
03-30-2020,10,2,0,10,20.0,0.0,1.1111111111111112
03-31-2020,10,2,0,10,20.0,0.0,1.0
04-01-2020,10,2,0,10,20.0,0.0,1.0
04-02-2020,16,2,0,16,12.5,0.0,1.6
04-03-2020,16,2,0,16,12.5,0.0,1.0
04-04-2020,16,2,2,14,12.5,12.5,1.0
04-05-2020,19,2,2,17,10.53,10.53,1.1875
04-06-2020,19,2,2,17,10.53,10.53,1.0
04-07-2020,19,2,3,16,10.53,15.79,1.0
04-08-2020,19,2,4,15,10.53,21.05,1.0
04-09-2020,19,2,4,15,10.53,21.05,1.0
04-10-2020,19,2,4,15,10.53,21.05,1.0
04-11-2020,25,2,5,20,8.0,20.0,1.3157894736842106
04-12-2020,25,2,5,20,8.0,20.0,1.0
04-13-2020,25,2,5,20,8.0,20.0,1.0
04-14-2020,29,2,5,24,6.9,17.24,1.16
04-15-2020,33,2,5,28,6.06,15.15,1.1379310344827587
04-16-2020,33,2,5,28,6.06,15.15,1.0
04-17-2020,38,2,5,33,5.26,13.16,1.1515151515151516
04-18-2020,38,2,5,33,5.26,13.16,1.0
04-19-2020,39,3,5,34,7.69,12.82,1.0263157894736843
04-20-2020,39,3,5,34,7.69,12.82,1.0
04-21-2020,42,3,6,36,7.14,14.29,1.0769230769230769
04-22-2020,42,3,6,36,7.14,14.29,1.0
04-23-2020,42,3,6,36,7.14,14.29,1.0
04-24-2020,42,3,6,36,7.14,14.29,1.0
04-25-2020,42,3,11,31,7.14,26.19,1.0
04-26-2020,43,3,14,29,6.98,32.56,1.0238095238095237
04-27-2020,43,3,19,24,6.98,44.19,1.0
04-28-2020,43,3,21,22,6.98,48.84,1.0
04-29-2020,43,3,21,22,6.98,48.84,1.0
04-30-2020,43,3,21,22,6.98,48.84,1.0
05-01-2020,44,3,27,17,6.82,61.36,1.0232558139534884
05-02-2020,44,3,27,17,6.82,61.36,1.0
05-03-2020,44,3,27,17,6.82,61.36,1.0
