date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
02-29-2020,1,0,0,1,0.0,0.0,1
03-01-2020,1,0,0,1,0.0,0.0,1.0
03-02-2020,1,0,0,1,0.0,0.0,1.0
03-03-2020,1,0,0,1,0.0,0.0,1.0
03-04-2020,1,0,0,1,0.0,0.0,1.0
03-05-2020,1,0,0,1,0.0,0.0,1.0
03-06-2020,1,0,0,1,0.0,0.0,1.0
03-07-2020,1,0,0,1,0.0,0.0,1.0
03-08-2020,1,0,0,1,0.0,0.0,1.0
03-09-2020,1,0,0,1,0.0,0.0,1.0
03-10-2020,1,0,0,1,0.0,0.0,1.0
03-11-2020,1,0,0,1,0.0,0.0,1.0
03-12-2020,2,0,0,2,0.0,0.0,2.0
03-13-2020,2,0,0,2,0.0,0.0,1.0
03-14-2020,2,0,0,2,0.0,0.0,1.0
03-15-2020,2,0,0,2,0.0,0.0,1.0
03-16-2020,7,0,0,7,0.0,0.0,3.5
03-17-2020,7,0,0,7,0.0,0.0,1.0
03-18-2020,7,0,0,7,0.0,0.0,1.0
03-19-2020,7,0,0,7,0.0,0.0,1.0
03-20-2020,11,0,0,11,0.0,0.0,1.5714285714285714
03-21-2020,11,0,0,11,0.0,0.0,1.0
03-22-2020,23,0,1,22,0.0,4.35,2.090909090909091
03-23-2020,23,0,1,22,0.0,4.35,1.0
03-24-2020,23,0,1,22,0.0,4.35,1.0
03-25-2020,31,0,1,30,0.0,3.23,1.3478260869565217
03-26-2020,33,0,1,32,0.0,3.03,1.064516129032258
03-27-2020,42,0,1,41,0.0,2.38,1.2727272727272727
03-28-2020,42,0,1,41,0.0,2.38,1.0
03-29-2020,46,1,1,45,2.17,2.17,1.0952380952380953
03-30-2020,49,1,1,48,2.04,2.04,1.065217391304348
03-31-2020,52,1,2,50,1.92,3.85,1.0612244897959184
04-01-2020,55,1,2,53,1.82,3.64,1.0576923076923077
04-02-2020,60,1,2,58,1.67,3.33,1.0909090909090908
04-03-2020,64,1,3,61,1.56,4.69,1.0666666666666667
04-04-2020,66,1,3,63,1.52,4.55,1.03125
04-05-2020,73,1,3,70,1.37,4.11,1.106060606060606
04-06-2020,77,1,4,73,1.3,5.19,1.0547945205479452
04-07-2020,79,1,4,75,1.27,5.06,1.025974025974026
04-08-2020,81,1,4,77,1.23,4.94,1.0253164556962024
04-09-2020,84,1,5,79,1.19,5.95,1.037037037037037
04-10-2020,90,1,5,85,1.11,5.56,1.0714285714285714
04-11-2020,92,1,5,87,1.09,5.43,1.0222222222222221
04-12-2020,93,1,6,87,1.08,6.45,1.0108695652173914
04-13-2020,93,1,6,87,1.08,6.45,1.0
04-14-2020,93,1,6,87,1.08,6.45,1.0
04-15-2020,93,3,12,81,3.23,12.9,1.0
04-16-2020,93,3,12,81,3.23,12.9,1.0
04-17-2020,94,3,20,74,3.19,21.28,1.010752688172043
04-18-2020,94,3,22,72,3.19,23.4,1.0
04-19-2020,94,3,22,72,3.19,23.4,1.0
04-20-2020,94,3,23,71,3.19,24.47,1.0
04-21-2020,94,3,26,68,3.19,27.66,1.0
04-22-2020,94,3,26,68,3.19,27.66,1.0
04-23-2020,94,4,35,59,4.26,37.23,1.0
04-24-2020,94,4,41,53,4.26,43.62,1.0
04-25-2020,94,4,42,52,4.26,44.68,1.0
04-26-2020,94,4,42,52,4.26,44.68,1.0
04-27-2020,95,4,42,53,4.21,44.21,1.0106382978723405
