date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-20-2020,1,0,0,1,0.0,0.0,1
03-21-2020,3,0,0,3,0.0,0.0,3.0
03-22-2020,3,0,0,3,0.0,0.0,1.0
03-23-2020,3,0,0,3,0.0,0.0,1.0
03-24-2020,3,1,0,3,33.33,0.0,1.0
03-25-2020,4,1,0,4,25.0,0.0,1.3333333333333333
03-26-2020,4,1,0,4,25.0,0.0,1.0
03-27-2020,5,1,0,5,20.0,0.0,1.25
03-28-2020,5,1,0,5,20.0,0.0,1.0
03-29-2020,6,1,0,6,16.67,0.0,1.2
03-30-2020,6,1,0,6,16.67,0.0,1.0
03-31-2020,6,1,0,6,16.67,0.0,1.0
04-01-2020,6,1,0,6,16.67,0.0,1.0
04-02-2020,6,1,0,6,16.67,0.0,1.0
04-03-2020,6,1,0,6,16.67,0.0,1.0
04-04-2020,7,1,0,7,14.29,0.0,1.1666666666666667
04-05-2020,7,1,0,7,14.29,0.0,1.0
04-06-2020,7,1,1,6,14.29,14.29,1.0
04-07-2020,7,1,1,6,14.29,14.29,1.0
04-08-2020,7,1,1,6,14.29,14.29,1.0
04-09-2020,7,1,1,6,14.29,14.29,1.0
04-10-2020,7,1,1,6,14.29,14.29,1.0
04-11-2020,8,1,1,7,12.5,12.5,1.1428571428571428
04-12-2020,8,1,1,7,12.5,12.5,1.0
04-13-2020,10,1,1,9,10.0,10.0,1.25
04-14-2020,11,1,1,10,9.09,9.09,1.1
04-15-2020,56,1,1,55,1.79,1.79,5.090909090909091
04-16-2020,56,1,1,55,1.79,1.79,1.0
04-17-2020,56,1,1,55,1.79,1.79,1.0
04-18-2020,58,1,1,57,1.72,1.72,1.0357142857142858
04-19-2020,61,1,1,60,1.64,1.64,1.0517241379310345
04-20-2020,67,1,1,66,1.49,1.49,1.098360655737705
04-21-2020,68,1,1,67,1.47,1.47,1.0149253731343284
04-22-2020,73,1,1,72,1.37,1.37,1.0735294117647058
04-23-2020,82,1,1,81,1.22,1.22,1.1232876712328768
04-24-2020,88,1,1,87,1.14,1.14,1.0731707317073171
04-25-2020,90,1,1,89,1.11,1.11,1.0227272727272727
04-26-2020,106,1,1,105,0.94,0.94,1.1777777777777778
04-27-2020,109,1,1,108,0.92,0.92,1.028301886792453
04-28-2020,114,1,2,112,0.88,1.75,1.0458715596330275
