date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
01-01-2021,527,10,496,31,1.9,94.12,1
01-02-2021,527,10,496,31,1.9,94.12,1.0
01-03-2021,527,10,496,31,1.9,94.12,1.0
01-04-2021,531,10,513,18,1.88,96.61,1.0075901328273245
03-18-2020,3,0,0,3,0.0,0.0,1
03-19-2020,3,0,0,3,0.0,0.0,1.0
03-20-2020,12,0,0,12,0.0,0.0,4.0
03-21-2020,14,1,0,14,7.14,0.0,1.1666666666666667
03-22-2020,28,2,0,28,7.14,0.0,2.0
03-23-2020,36,2,0,36,5.56,0.0,1.2857142857142856
03-24-2020,42,2,0,42,4.76,0.0,1.1666666666666667
03-25-2020,48,2,0,48,4.17,0.0,1.1428571428571428
03-26-2020,81,2,0,81,2.47,0.0,1.6875
03-27-2020,94,2,0,94,2.13,0.0,1.1604938271604939
03-28-2020,102,2,0,102,1.96,0.0,1.0851063829787233
03-29-2020,107,3,0,107,2.8,0.0,1.0490196078431373
03-30-2020,128,3,0,128,2.34,0.0,1.1962616822429906
03-31-2020,143,5,0,143,3.5,0.0,1.1171875
04-01-2020,161,6,0,161,3.73,0.0,1.1258741258741258
04-02-2020,169,7,0,169,4.14,0.0,1.049689440993789
04-03-2020,186,7,0,186,3.76,0.0,1.1005917159763314
04-04-2020,196,7,7,189,3.57,3.57,1.053763440860215
04-05-2020,227,7,7,220,3.08,3.08,1.1581632653061225
04-06-2020,244,7,7,237,2.87,2.87,1.0748898678414096
04-07-2020,268,7,8,260,2.61,2.99,1.098360655737705
04-08-2020,273,7,19,254,2.56,6.96,1.0186567164179103
04-09-2020,314,7,23,291,2.23,7.32,1.15018315018315
04-10-2020,318,9,23,295,2.83,7.23,1.0127388535031847
04-11-2020,319,9,28,291,2.82,8.78,1.0031446540880504
04-12-2020,324,9,42,282,2.78,12.96,1.0156739811912225
04-13-2020,324,9,42,282,2.78,12.96,1.0
04-14-2020,324,9,51,273,2.78,15.74,1.0
04-15-2020,324,9,65,259,2.78,20.06,1.0
04-16-2020,324,9,81,243,2.78,25.0,1.0
04-17-2020,324,9,108,216,2.78,33.33,1.0
04-18-2020,325,9,180,145,2.77,55.38,1.0030864197530864
04-19-2020,328,9,208,120,2.74,63.41,1.0092307692307692
04-20-2020,328,9,224,104,2.74,68.29,1.0
04-21-2020,328,9,243,85,2.74,74.09,1.0
04-22-2020,329,9,261,68,2.74,79.33,1.0030487804878048
04-23-2020,331,9,266,65,2.72,80.36,1.006079027355623
04-24-2020,331,9,285,46,2.72,86.1,1.0
04-25-2020,331,9,295,36,2.72,89.12,1.0
04-26-2020,332,9,299,33,2.71,90.06,1.0030211480362539
04-27-2020,334,10,302,32,2.99,90.42,1.0060240963855422
04-28-2020,334,10,303,31,2.99,90.72,1.0
04-29-2020,332,10,306,26,3.01,92.17,1.0059880239520957
04-30-2020,332,10,310,22,3.01,93.37,1.0
05-01-2020,332,10,312,20,3.01,93.98,1.0
05-02-2020,332,10,314,18,3.01,94.58,1.0
05-03-2020,332,10,315,17,3.01,94.88,1.0
05-04-2020,332,10,316,16,3.01,95.18,1.0
05-05-2020,332,10,319,13,3.01,96.08,1.0
05-06-2020,332,10,320,12,3.01,96.39,1.0
05-07-2020,332,10,320,12,3.01,96.39,1.0
05-08-2020,332,10,320,12,3.01,96.39,1.0
05-09-2020,332,10,320,12,3.01,96.39,1.0
05-10-2020,332,10,320,12,3.01,96.39,1.0
05-11-2020,332,10,322,10,3.01,96.99,1.0
05-12-2020,332,10,322,10,3.01,96.99,1.0
05-13-2020,332,10,322,10,3.01,96.99,1.0
05-14-2020,332,10,322,10,3.01,96.99,1.0
05-15-2020,332,10,322,10,3.01,96.99,1.0
05-16-2020,332,10,322,10,3.01,96.99,1.0
05-17-2020,332,10,322,10,3.01,96.99,1.0
05-18-2020,332,10,322,10,3.01,96.99,1.0
05-19-2020,332,10,322,10,3.01,96.99,1.0
05-20-2020,332,10,322,10,3.01,96.99,1.0
05-21-2020,332,10,322,10,3.01,96.99,1.0
05-22-2020,332,10,322,10,3.01,96.99,1.0
05-23-2020,332,10,322,10,3.01,96.99,1.0
05-24-2020,334,10,322,12,2.99,96.41,1.0060240963855422
05-25-2020,334,10,322,12,2.99,96.41,1.0
05-26-2020,334,10,322,12,2.99,96.41,1.0
05-27-2020,334,10,322,12,2.99,96.41,1.0
05-28-2020,334,10,322,12,2.99,96.41,1.0
05-29-2020,335,10,322,13,2.99,96.12,1.0029940119760479
05-30-2020,335,10,322,13,2.99,96.12,1.0
05-31-2020,335,10,322,13,2.99,96.12,1.0
06-01-2020,335,10,322,13,2.99,96.12,1.0
06-02-2020,335,10,322,13,2.99,96.12,1.0
06-03-2020,335,10,322,13,2.99,96.12,1.0
06-04-2020,335,10,322,13,2.99,96.12,1.0
06-05-2020,337,10,324,13,2.97,96.14,1.0059701492537314
