date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
01-22-2020,1,0,0,1,0.0,0.0,1
01-23-2020,1,0,0,1,0.0,0.0,1.0
01-24-2020,2,0,0,2,0.0,0.0,2.0
01-25-2020,2,0,0,2,0.0,0.0,1.0
01-26-2020,3,0,0,3,0.0,0.0,1.5
01-27-2020,4,0,0,4,0.0,0.0,1.3333333333333333
01-28-2020,4,0,0,4,0.0,0.0,1.0
01-29-2020,4,0,0,4,0.0,0.0,1.0
01-30-2020,4,0,0,4,0.0,0.0,1.0
01-31-2020,11,0,0,11,0.0,0.0,2.75
02-01-2020,12,0,0,12,0.0,0.0,1.0909090909090908
02-02-2020,15,0,0,15,0.0,0.0,1.25
02-03-2020,15,0,0,15,0.0,0.0,1.0
02-04-2020,16,0,0,16,0.0,0.0,1.0666666666666667
02-05-2020,19,0,0,19,0.0,0.0,1.1875
02-06-2020,23,0,0,23,0.0,0.0,1.2105263157894737
02-07-2020,24,0,1,23,0.0,4.17,1.0434782608695652
02-08-2020,24,0,1,23,0.0,4.17,1.0
02-09-2020,25,0,3,22,0.0,12.0,1.0416666666666667
02-10-2020,27,0,3,24,0.0,11.11,1.08
02-11-2020,28,0,3,25,0.0,10.71,1.037037037037037
02-12-2020,28,0,7,21,0.0,25.0,1.0
02-13-2020,28,0,7,21,0.0,25.0,1.0
02-14-2020,28,0,7,21,0.0,25.0,1.0
02-15-2020,28,0,9,19,0.0,32.14,1.0
02-16-2020,29,0,9,20,0.0,31.03,1.0357142857142858
02-17-2020,30,0,10,20,0.0,33.33,1.0344827586206897
02-18-2020,31,0,12,19,0.0,38.71,1.0333333333333334
02-19-2020,31,0,12,19,0.0,38.71,1.0
02-20-2020,104,1,16,88,0.96,15.38,3.3548387096774195
02-21-2020,204,2,16,188,0.98,7.84,1.9615384615384617
02-22-2020,433,2,16,417,0.46,3.7,2.122549019607843
02-23-2020,602,6,18,584,1.0,2.99,1.3903002309468822
02-24-2020,833,8,18,815,0.96,2.16,1.3837209302325582
02-25-2020,977,10,22,955,1.02,2.25,1.1728691476590636
02-26-2020,1261,12,22,1239,0.95,1.74,1.2906857727737973
02-27-2020,1766,13,22,1744,0.74,1.25,1.4004758128469468
02-28-2020,2337,13,22,2315,0.56,0.94,1.3233295583238958
02-29-2020,3150,16,27,3123,0.51,0.86,1.3478818998716302
03-01-2020,3736,17,30,3706,0.46,0.8,1.186031746031746
03-02-2020,4335,28,30,4305,0.65,0.69,1.1603319057815846
03-03-2020,5186,28,30,5156,0.54,0.58,1.1963091118800462
03-04-2020,5621,35,41,5580,0.62,0.73,1.0838796760509062
03-05-2020,6088,35,41,6047,0.57,0.67,1.0830813022593844
03-06-2020,6593,42,135,6458,0.64,2.05,1.0829500657030224
03-07-2020,7041,44,135,6906,0.62,1.92,1.067950856969513
03-08-2020,7314,50,118,7196,0.68,1.61,1.0387729015764806
03-09-2020,7478,53,118,7360,0.71,1.58,1.0224227508887065
03-11-2020,7755,60,288,7467,0.77,3.71,1
03-12-2020,7869,66,333,7536,0.84,4.23,1.0147001934235977
