date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
01-22-2020,1,0,0,1,0.0,0.0,0.0
01-23-2020,1,0,0,1,0.0,0.0,0.0
01-24-2020,2,0,0,2,0.0,0.0,0.0
01-25-2020,2,0,0,2,0.0,0.0,0.0
01-26-2020,3,0,0,3,0.0,0.0,0.0
01-27-2020,4,0,0,4,0.0,0.0,0.0
01-28-2020,4,0,0,4,0.0,0.0,0.0
01-29-2020,4,0,0,4,0.0,0.0,0.0
01-30-2020,4,0,0,4,0.0,0.0,0.0
01-31-2020,11,0,0,11,0.0,0.0,0.0
02-01-2020,12,0,0,12,0.0,0.0,0.0
02-02-2020,15,0,0,15,0.0,0.0,0.0
02-03-2020,15,0,0,15,0.0,0.0,0.0
02-04-2020,16,0,0,16,0.0,0.0,0.0
02-05-2020,19,0,0,19,0.0,0.0,0.0
02-06-2020,23,0,0,23,0.0,0.0,0.0
02-07-2020,24,0,1,23,0.0,4.17,0.0
02-08-2020,24,0,1,23,0.0,4.17,0.0
02-09-2020,25,0,3,22,0.0,12.0,0.0
02-10-2020,27,0,3,24,0.0,11.11,0.0
02-11-2020,28,0,3,25,0.0,10.71,0.0
02-12-2020,28,0,7,21,0.0,25.0,0.0
02-13-2020,28,0,7,21,0.0,25.0,0.0
02-14-2020,28,0,7,21,0.0,25.0,0.0
02-15-2020,28,0,9,19,0.0,32.14,0.0
02-16-2020,29,0,9,20,0.0,31.03,0.0
02-17-2020,30,0,10,20,0.0,33.33,0.0
02-18-2020,31,0,12,19,0.0,38.71,0.0
02-19-2020,31,0,12,19,0.0,38.71,0.0
02-20-2020,104,1,16,88,0.96,15.38,0.0
02-21-2020,204,2,16,188,0.98,7.84,0.0
02-22-2020,433,2,16,417,0.46,3.7,0.0
02-23-2020,602,6,18,584,1.0,2.99,0.0
02-24-2020,833,8,18,815,0.96,2.16,0.0
02-25-2020,977,10,22,955,1.02,2.25,0.0
02-26-2020,1261,12,22,1239,0.95,1.74,0.0
02-27-2020,1766,13,22,1744,0.74,1.25,0.0
02-28-2020,2337,13,22,2315,0.56,0.94,0.0
02-29-2020,3150,16,27,3123,0.51,0.86,0.0
03-01-2020,3736,17,30,3706,0.46,0.8,0.0
03-02-2020,4335,28,30,4305,0.65,0.69,0.0
03-03-2020,5186,28,30,5156,0.54,0.58,0.0
03-04-2020,5621,35,41,5580,0.62,0.73,0.0
03-05-2020,6088,35,41,6047,0.57,0.67,0.0
03-06-2020,6593,42,135,6458,0.64,2.05,0.0
03-07-2020,7041,44,135,6906,0.62,1.92,0.0
03-08-2020,7314,50,118,7196,0.68,1.61,0.0
03-09-2020,7478,53,118,7360,0.71,1.58,0.0
03-11-2020,7755,60,288,7467,0.77,3.71,0.0
03-12-2020,7869,66,333,7536,0.84,4.23,0.0
03-13-2020,7979,66,510,7469,0.83,6.39,0.0
03-14-2020,8086,72,510,7576,0.89,6.31,0.0
03-15-2020,8162,75,510,7652,0.92,6.25,0.0
03-16-2020,8236,75,1137,7099,0.91,13.81,0.0
03-17-2020,8320,81,1407,6913,0.97,16.91,0.0
03-18-2020,8413,84,1540,6873,1.0,18.31,0.0
03-19-2020,8565,91,1540,7025,1.06,17.98,0.0
03-20-2020,8652,94,1540,7112,1.09,17.8,0.0
03-21-2020,8799,102,1540,7259,1.16,17.5,0.0
03-22-2020,8897,104,2909,5988,1.17,32.7,0.0
03-23-2020,8961,111,3166,5795,1.24,35.33,0.0
03-24-2020,9037,120,3507,5530,1.33,38.81,0.0
03-25-2020,9137,126,3730,5407,1.38,40.82,0.0
03-26-2020,9241,131,4144,5097,1.42,44.84,0.0
03-27-2020,9332,139,4528,4804,1.49,48.52,0.0
03-28-2020,9478,144,4811,4667,1.52,50.76,0.0
03-29-2020,9583,152,5033,4550,1.59,52.52,0.0
03-30-2020,9661,158,5228,4433,1.64,54.11,0.0
03-31-2020,9786,162,5408,4378,1.66,55.26,0.0
04-01-2020,9887,165,5567,4320,1.67,56.31,0.0
