date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
04-10-2020,1,0,0,1,0.0,0.0,1
04-11-2020,1,0,0,1,0.0,0.0,1.0
04-12-2020,1,0,0,1,0.0,0.0,1.0
04-13-2020,1,0,0,1,0.0,0.0,1.0
04-14-2020,1,0,0,1,0.0,0.0,1.0
04-15-2020,1,0,0,1,0.0,0.0,1.0
04-16-2020,1,0,0,1,0.0,0.0,1.0
04-17-2020,1,0,0,1,0.0,0.0,1.0
04-18-2020,1,0,0,1,0.0,0.0,1.0
04-19-2020,1,0,0,1,0.0,0.0,1.0
04-20-2020,1,0,0,1,0.0,0.0,1.0
04-21-2020,1,0,0,1,0.0,0.0,1.0
04-22-2020,1,0,0,1,0.0,0.0,1.0
04-23-2020,1,0,0,1,0.0,0.0,1.0
04-24-2020,1,0,1,0,0.0,100.0,1.0
04-25-2020,1,0,1,0,0.0,100.0,1.0
04-26-2020,1,0,1,0,0.0,100.0,1.0
04-27-2020,1,0,1,0,0.0,100.0,1.0
04-28-2020,1,0,1,0,0.0,100.0,1.0
04-29-2020,6,0,1,5,0.0,16.67,6.0
04-30-2020,6,2,1,5,33.33,16.67,1.0
05-01-2020,7,2,1,6,28.57,14.29,1.1666666666666667
05-02-2020,10,2,1,9,20.0,10.0,1.4285714285714286
05-03-2020,10,2,1,9,20.0,10.0,1.0
05-04-2020,12,2,1,11,16.67,8.33,1.2
05-05-2020,22,4,1,21,18.18,4.55,1.8333333333333335
05-06-2020,25,5,1,24,20.0,4.0,1.1363636363636362
05-07-2020,25,5,1,24,20.0,4.0,1.0
05-08-2020,34,7,1,33,20.59,2.94,1.3599999999999999
05-09-2020,34,7,1,33,20.59,2.94,1.0
05-10-2020,51,8,1,50,15.69,1.96,1.5
05-11-2020,56,9,1,55,16.07,1.79,1.0980392156862746
05-12-2020,65,10,1,64,15.38,1.54,1.1607142857142858
05-13-2020,70,12,1,69,17.14,1.43,1.0769230769230769
05-14-2020,85,12,1,84,14.12,1.18,1.2142857142857142
05-15-2020,106,15,1,105,14.15,0.94,1.2470588235294118
05-16-2020,122,18,1,121,14.75,0.82,1.150943396226415
05-17-2020,128,20,1,127,15.63,0.78,1.0491803278688525
05-18-2020,130,20,1,129,15.38,0.77,1.015625
05-19-2020,167,28,5,162,16.77,2.99,1.2846153846153845
