date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-25-2020,2,0,0,2,0.0,0.0,1
03-26-2020,2,0,0,2,0.0,0.0,1.0
03-27-2020,2,0,0,2,0.0,0.0,1.0
03-28-2020,2,0,0,2,0.0,0.0,1.0
03-29-2020,2,0,0,2,0.0,0.0,1.0
03-30-2020,8,0,0,8,0.0,0.0,4.0
03-31-2020,8,0,0,8,0.0,0.0,1.0
04-01-2020,9,0,0,9,0.0,0.0,1.125
04-02-2020,9,0,0,9,0.0,0.0,1.0
04-03-2020,15,0,0,15,0.0,0.0,1.6666666666666665
04-04-2020,18,0,0,18,0.0,0.0,1.2
04-05-2020,18,0,0,18,0.0,0.0,1.0
04-06-2020,18,0,0,18,0.0,0.0,1.0
04-07-2020,33,0,0,33,0.0,0.0,1.8333333333333335
04-08-2020,33,0,0,33,0.0,0.0,1.0
04-09-2020,36,0,0,36,0.0,0.0,1.0909090909090908
04-10-2020,36,0,0,36,0.0,0.0,1.0
04-11-2020,38,0,0,38,0.0,0.0,1.0555555555555556
04-12-2020,38,0,0,38,0.0,0.0,1.0
04-13-2020,38,0,0,38,0.0,0.0,1.0
04-14-2020,38,0,0,38,0.0,0.0,1.0
04-15-2020,43,0,0,43,0.0,0.0,1.131578947368421
04-16-2020,43,0,0,43,0.0,0.0,1.0
04-17-2020,43,0,0,43,0.0,0.0,1.0
04-18-2020,46,0,0,46,0.0,0.0,1.069767441860465
04-19-2020,50,0,3,47,0.0,6.0,1.0869565217391304
04-20-2020,50,0,3,47,0.0,6.0,1.0
04-21-2020,50,0,3,47,0.0,6.0,1.0
04-22-2020,50,0,3,47,0.0,6.0,1.0
04-23-2020,50,0,3,47,0.0,6.0,1.0
04-24-2020,52,0,3,49,0.0,5.77,1.04
04-25-2020,52,0,3,49,0.0,5.77,1.0
04-26-2020,53,1,3,50,1.89,5.66,1.0192307692307692
04-27-2020,73,1,18,55,1.37,24.66,1.3773584905660377
04-28-2020,73,1,18,55,1.37,24.66,1.0
04-29-2020,205,1,19,186,0.49,9.27,2.808219178082192
