date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-05-2020,2,0,0,2,0,0,1
03-06-2020,2,0,0,2,0,0,1.0
03-07-2020,3,0,0,3,0,0,1.5
03-08-2020,3,0,0,3,0,0,1.0
03-09-2020,3,0,0,3,0,0,1.0
03-10-2020,5,0,0,5,0,0,1.6666666666666665
03-11-2020,7,0,0,7,0,0,1.4
03-12-2020,11,0,0,11,0,0,1.5714285714285714
03-13-2020,13,0,0,13,0,0,1.1818181818181819
03-14-2020,18,0,0,18,0,0,1.3846153846153846
03-15-2020,24,0,0,24,0,0,1.3333333333333333
03-16-2020,25,0,0,25,0,0,1.0416666666666667
03-17-2020,26,0,2,24,0,7.69,1.04
03-18-2020,38,0,2,36,0,5.26,1.4615384615384617
03-19-2020,63,0,2,61,0,3.17,1.6578947368421053
03-20-2020,89,0,2,87,0,2.25,1.4126984126984126
03-21-2020,93,1,2,91,1.08,2.15,1.0449438202247192
03-22-2020,126,1,2,124,0.79,1.59,1.3548387096774195
03-23-2020,132,1,2,130,0.76,1.52,1.0476190476190477
03-24-2020,166,3,2,164,1.81,1.2,1.2575757575757576
03-25-2020,176,3,2,174,1.7,1.14,1.0602409638554218
03-26-2020,191,3,2,189,1.57,1.05,1.0852272727272727
03-27-2020,237,4,5,232,1.69,2.11,1.2408376963350785
03-28-2020,258,5,5,253,1.94,1.94,1.0886075949367089
03-29-2020,323,6,8,315,1.86,2.48,1.251937984496124
03-30-2020,368,10,17,351,2.72,4.62,1.1393188854489165
03-31-2020,420,13,17,403,3.1,4.05,1.141304347826087
04-01-2020,459,13,19,440,2.83,4.14,1.092857142857143
04-02-2020,533,16,20,513,3.0,3.75,1.1612200435729847
04-03-2020,579,17,27,552,2.94,4.66,1.0863039399624765
04-04-2020,624,21,30,594,3.37,4.81,1.077720207253886
04-05-2020,654,23,30,624,3.52,4.59,1.0480769230769231
04-06-2020,674,29,47,627,4.3,6.97,1.0305810397553516
