date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-02-2020,1,0,0,1,0.0,0.0,1
03-03-2020,1,0,0,1,0.0,0.0,1.0
03-04-2020,1,0,0,1,0.0,0.0,1.0
03-05-2020,5,0,0,5,0.0,0.0,5.0
03-06-2020,5,0,0,5,0.0,0.0,1.0
03-07-2020,5,0,0,5,0.0,0.0,1.0
03-08-2020,11,0,0,11,0.0,0.0,2.2
03-09-2020,15,0,0,15,0.0,0.0,1.3636363636363638
03-10-2020,20,0,1,19,0.0,5.0,1.3333333333333333
03-11-2020,21,0,1,20,0.0,4.76,1.05
03-12-2020,45,0,1,44,0.0,2.22,2.142857142857143
03-13-2020,86,0,1,85,0.0,1.16,1.911111111111111
03-14-2020,103,0,1,102,0.0,0.97,1.197674418604651
03-15-2020,103,0,1,102,0.0,0.97,1.0
03-16-2020,118,0,2,116,0.0,1.69,1.145631067961165
03-17-2020,171,0,6,165,0.0,3.51,1.4491525423728815
03-18-2020,171,0,6,165,0.0,3.51,1.0
03-19-2020,274,0,6,268,0.0,2.19,1.6023391812865497
03-20-2020,344,0,8,336,0.0,2.33,1.2554744525547445
03-21-2020,392,0,16,376,0.0,4.08,1.1395348837209303
03-22-2020,511,0,17,494,0.0,3.33,1.3035714285714286
03-23-2020,562,0,19,543,0.0,3.38,1.0998043052837574
03-24-2020,767,1,28,739,0.13,3.65,1.3647686832740213
03-25-2020,900,2,29,871,0.22,3.22,1.1734028683181226
03-26-2020,1012,3,33,979,0.3,3.26,1.1244444444444444
03-27-2020,1104,3,35,1069,0.27,3.17,1.0909090909090908
03-28-2020,1203,4,37,1166,0.33,3.08,1.0896739130434783
03-29-2020,1299,8,66,1233,0.62,5.08,1.0798004987531171
03-30-2020,1453,8,115,1338,0.55,7.91,1.1185527328714395
03-31-2020,1563,10,165,1398,0.64,10.56,1.075705437026841
04-01-2020,1720,16,264,1456,0.93,15.35,1.1004478566858604
04-02-2020,1885,21,328,1557,1.11,17.4,1.0959302325581395
04-03-2020,2039,25,351,1688,1.23,17.21,1.0816976127320954
04-04-2020,2179,29,420,1759,1.33,19.27,1.0686611083864639
04-05-2020,2402,34,488,1914,1.42,20.32,1.1023405231757688
04-06-2020,2605,38,551,2054,1.46,21.15,1.0845129059117402
04-07-2020,2795,41,615,2180,1.47,22.0,1.072936660268714
04-08-2020,2932,41,631,2301,1.4,21.52,1.049016100178891
04-09-2020,3287,44,666,2621,1.34,20.26,1.1210777626193724
04-10-2020,3651,47,685,2966,1.29,18.76,1.1107392759355035
04-11-2020,4033,52,720,3313,1.29,17.85,1.1046288688030677
04-12-2020,4462,59,761,3701,1.32,17.06,1.1063724274733449
04-13-2020,4934,65,805,4129,1.32,16.32,1.1057821604661586
04-14-2020,5369,73,889,4480,1.36,16.56,1.0881637616538307
04-15-2020,5862,79,931,4931,1.35,15.88,1.0918234308064816
04-16-2020,6380,83,990,5390,1.3,15.52,1.0883657454793585
04-17-2020,7142,87,1049,6093,1.22,14.69,1.119435736677116
04-18-2020,8274,92,1329,6945,1.11,16.06,1.158499019882386
04-19-2020,9362,97,1398,7964,1.04,14.93,1.1314962533236645
04-20-2020,10484,103,1490,8994,0.98,14.21,1.119846186712241
04-21-2020,11631,109,1640,9991,0.94,14.1,1.1094048073254483
04-22-2020,12772,114,1812,10960,0.89,14.19,1.098099905425157
04-23-2020,13930,121,1925,12005,0.87,13.82,1.0906670842467898
04-24-2020,15102,127,2049,13053,0.84,13.57,1.08413496051687
04-25-2020,16299,136,2215,14084,0.83,13.59,1.0792610250297974
04-26-2020,17522,139,2357,15165,0.79,13.45,1.0750352782379287
04-27-2020,18811,144,2531,16280,0.77,13.45,1.073564661568314
04-28-2020,20077,152,2784,17293,0.76,13.87,1.067301047259582
04-29-2020,21402,157,2953,18449,0.73,13.8,1.0659959157244607
04-30-2020,22753,162,3163,19590,0.71,13.9,1.0631249415942436
05-01-2020,24097,169,3555,20542,0.7,14.75,1.0590691337406057
05-02-2020,25459,176,3765,21694,0.69,14.79,1.0565215587002532
05-03-2020,27011,184,4134,22877,0.68,15.3,1.060960760438352
05-04-2020,28656,191,4476,24180,0.67,15.62,1.060901114360816
05-05-2020,30251,200,5431,24820,0.66,17.95,1.0556602456728086
05-06-2020,31938,209,6783,25155,0.65,21.24,1.0557667515123468
05-07-2020,33731,219,7798,25933,0.65,23.12,1.0561400212912517
05-08-2020,35432,229,9120,26312,0.65,25.74,1.0504283893154664
05-09-2020,37136,239,10144,26992,0.64,27.32,1.048092120117408
05-10-2020,39048,246,11457,27591,0.63,29.34,1.0514864282636796
05-11-2020,41014,255,12737,28277,0.62,31.06,1.0503482892849827
05-12-2020,42925,264,15257,27668,0.62,35.54,1.0465938460038036
05-13-2020,44830,273,17622,27208,0.61,39.31,1.044379732090856
05-14-2020,46869,283,19051,27818,0.6,40.65,1.0454829355342405
05-15-2020,49176,292,21869,27307,0.59,44.47,1.049222300454458
05-16-2020,52016,302,23666,28350,0.58,45.5,1.0577517488205628
05-17-2020,54752,312,25722,29030,0.57,46.98,1.0525992002460782
05-18-2020,57345,320,28748,28597,0.56,50.13,1.0473590005844535
05-19-2020,59854,329,31634,28220,0.55,52.85,1.0437527247362455
05-20-2020,62545,339,33478,29067,0.54,53.53,1.04495940120961
05-21-2020,65077,351,36040,29037,0.54,55.38,1.0404828523463105
05-22-2020,67719,364,39003,28716,0.54,57.6,1.0405980607587935
05-23-2020,70161,379,41236,28925,0.54,58.77,1.0360607805785673
05-24-2020,72560,390,43520,29040,0.54,59.98,1.034192785165548
05-25-2020,74795,399,45668,29127,0.53,61.06,1.0308020948180816
