date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
01-01-2021,1,0,1,0,0.0,100.0,1
01-02-2021,1,0,1,0,0.0,100.0,1.0
01-03-2021,1,0,1,0,0.0,100.0,1.0
01-04-2021,1,0,1,0,0.0,100.0,1.0
11-10-2020,1,0,0,1,0.0,0.0,1
11-11-2020,1,0,0,1,0.0,0.0,1.0
11-12-2020,1,0,0,1,0.0,0.0,1.0
11-13-2020,1,0,0,1,0.0,0.0,1.0
11-14-2020,1,0,0,1,0.0,0.0,1.0
11-15-2020,1,0,0,1,0.0,0.0,1.0
11-16-2020,1,0,0,1,0.0,0.0,1.0
11-17-2020,1,0,0,1,0.0,0.0,1.0
11-18-2020,1,0,0,1,0.0,0.0,1.0
11-19-2020,1,0,0,1,0.0,0.0,1.0
11-20-2020,1,0,0,1,0.0,0.0,1.0
11-21-2020,1,0,0,1,0.0,0.0,1.0
11-22-2020,1,0,0,1,0.0,0.0,1.0
11-23-2020,1,0,0,1,0.0,0.0,1.0
11-24-2020,1,0,0,1,0.0,0.0,1.0
11-25-2020,1,0,0,1,0.0,0.0,1.0
11-26-2020,1,0,0,1,0.0,0.0,1.0
11-27-2020,1,0,0,1,0.0,0.0,1.0
11-28-2020,1,0,0,1,0.0,0.0,1.0
11-29-2020,1,0,0,1,0.0,0.0,1.0
11-30-2020,1,0,0,1,0.0,0.0,1.0
12-01-2020,1,0,0,1,0.0,0.0,1.0
12-02-2020,1,0,0,1,0.0,0.0,1.0
12-03-2020,1,0,1,0,0.0,100.0,1.0
12-04-2020,1,0,1,0,0.0,100.0,1.0
12-05-2020,1,0,1,0,0.0,100.0,1.0
12-06-2020,1,0,1,0,0.0,100.0,1.0
12-07-2020,1,0,1,0,0.0,100.0,1.0
12-08-2020,1,0,1,0,0.0,100.0,1.0
12-09-2020,1,0,1,0,0.0,100.0,1.0
12-10-2020,1,0,1,0,0.0,100.0,1.0
12-11-2020,1,0,1,0,0.0,100.0,1.0
12-12-2020,1,0,1,0,0.0,100.0,1.0
12-13-2020,1,0,1,0,0.0,100.0,1.0
12-14-2020,1,0,1,0,0.0,100.0,1.0
12-15-2020,1,0,1,0,0.0,100.0,1.0
12-16-2020,1,0,1,0,0.0,100.0,1.0
12-17-2020,1,0,1,0,0.0,100.0,1.0
12-18-2020,1,0,1,0,0.0,100.0,1.0
12-19-2020,1,0,1,0,0.0,100.0,1.0
12-20-2020,1,0,1,0,0.0,100.0,1.0
12-21-2020,1,0,1,0,0.0,100.0,1.0
12-22-2020,1,0,1,0,0.0,100.0,1.0
12-23-2020,1,0,1,0,0.0,100.0,1.0
12-24-2020,1,0,1,0,0.0,100.0,1.0
12-25-2020,1,0,1,0,0.0,100.0,1.0
12-26-2020,1,0,1,0,0.0,100.0,1.0
12-27-2020,1,0,1,0,0.0,100.0,1.0
12-28-2020,1,0,1,0,0.0,100.0,1.0
12-29-2020,1,0,1,0,0.0,100.0,1.0
12-30-2020,1,0,1,0,0.0,100.0,1.0
12-31-2020,1,0,1,0,0.0,100.0,1.0
