date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-08-2020,4,0,0,4,0.0,0.0,1
03-09-2020,4,0,0,4,0.0,0.0,1.0
03-10-2020,6,0,0,6,0.0,0.0,1.5
03-11-2020,8,0,0,8,0.0,0.0,1.3333333333333333
03-12-2020,8,0,0,8,0.0,0.0,1.0
03-13-2020,9,0,0,9,0.0,0.0,1.125
03-14-2020,10,0,0,10,0.0,0.0,1.1111111111111112
03-15-2020,13,0,0,13,0.0,0.0,1.3
03-16-2020,13,0,0,13,0.0,0.0,1.0
03-17-2020,13,0,0,13,0.0,0.0,1.0
03-18-2020,13,0,0,13,0.0,0.0,1.0
03-19-2020,13,0,0,13,0.0,0.0,1.0
03-20-2020,13,0,0,13,0.0,0.0,1.0
03-21-2020,13,0,0,13,0.0,0.0,1.0
03-22-2020,13,0,3,10,0.0,23.08,1.0
03-23-2020,13,0,5,8,0.0,38.46,1.0
03-24-2020,13,0,5,8,0.0,38.46,1.0
03-25-2020,13,0,8,5,0.0,61.54,1.0
03-26-2020,13,0,8,5,0.0,61.54,1.0
03-27-2020,16,0,9,7,0.0,56.25,1.2307692307692308
03-28-2020,16,0,9,7,0.0,56.25,1.0
03-29-2020,17,0,13,4,0.0,76.47,1.0625
03-30-2020,17,0,13,4,0.0,76.47,1.0
03-31-2020,18,0,13,5,0.0,72.22,1.0588235294117647
04-01-2020,19,0,13,6,0.0,68.42,1.0555555555555556
04-02-2020,19,0,13,6,0.0,68.42,1.0
04-03-2020,19,0,13,6,0.0,68.42,1.0
04-04-2020,19,0,13,6,0.0,68.42,1.0
04-05-2020,19,0,13,6,0.0,68.42,1.0
04-06-2020,19,0,13,6,0.0,68.42,1.0
04-07-2020,19,0,13,6,0.0,68.42,1.0
04-08-2020,19,0,13,6,0.0,68.42,1.0
04-09-2020,19,0,13,6,0.0,68.42,1.0
04-10-2020,19,0,13,6,0.0,68.42,1.0
04-11-2020,19,0,13,6,0.0,68.42,1.0
04-12-2020,20,0,14,6,0.0,70.0,1.0526315789473684
04-13-2020,20,0,14,6,0.0,70.0,1.0
04-14-2020,20,0,16,4,0.0,80.0,1.0
04-15-2020,22,0,16,6,0.0,72.73,1.1
04-16-2020,25,0,16,9,0.0,64.0,1.1363636363636362
04-17-2020,28,0,16,12,0.0,57.14,1.12
04-18-2020,35,0,16,19,0.0,45.71,1.25
04-19-2020,52,0,16,36,0.0,30.77,1.4857142857142858
04-20-2020,69,0,16,53,0.0,23.19,1.3269230769230769
04-21-2020,83,0,16,67,0.0,19.28,1.2028985507246377
04-22-2020,86,0,16,70,0.0,18.6,1.036144578313253
04-23-2020,108,0,16,92,0.0,14.81,1.255813953488372
04-24-2020,129,0,16,113,0.0,12.4,1.1944444444444444
04-25-2020,177,0,17,160,0.0,9.6,1.372093023255814
04-26-2020,214,0,17,197,0.0,7.94,1.2090395480225988
04-27-2020,226,0,17,209,0.0,7.52,1.0560747663551402
04-28-2020,250,0,17,233,0.0,6.8,1.1061946902654867
04-29-2020,278,1,17,261,0.36,6.12,1.112
04-30-2020,468,1,17,451,0.21,3.63,1.683453237410072
05-01-2020,491,1,17,474,0.2,3.46,1.0491452991452992
05-02-2020,519,1,18,501,0.19,3.47,1.0570264765784114
05-03-2020,527,1,18,509,0.19,3.42,1.0154142581888246
05-04-2020,541,1,18,523,0.18,3.33,1.0265654648956357
