date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
02-29-2020,1,0,0,1,0.0,0.0,1
03-01-2020,1,0,0,1,0.0,0.0,1.0
03-02-2020,1,0,0,1,0.0,0.0,1.0
03-03-2020,1,0,0,1,0.0,0.0,1.0
03-04-2020,1,0,0,1,0.0,0.0,1.0
03-05-2020,1,0,0,1,0.0,0.0,1.0
03-06-2020,2,0,0,2,0.0,0.0,2.0
03-07-2020,2,0,0,2,0.0,0.0,1.0
03-08-2020,3,0,0,3,0.0,0.0,1.5
03-09-2020,3,0,0,3,0.0,0.0,1.0
03-10-2020,5,0,0,5,0.0,0.0,1.6666666666666665
03-11-2020,7,0,0,7,0.0,0.0,1.4
03-12-2020,19,0,0,19,0.0,0.0,2.7142857142857144
03-13-2020,34,0,0,34,0.0,0.0,1.7894736842105263
03-14-2020,51,1,0,51,1.96,0.0,1.5
03-15-2020,59,1,0,59,1.69,0.0,1.156862745098039
03-16-2020,77,1,0,77,1.3,0.0,1.305084745762712
03-17-2020,140,1,0,140,0.71,0.0,1.8181818181818183
03-18-2020,203,2,0,203,0.99,0.0,1.45
03-19-2020,335,4,0,335,1.19,0.0,1.6502463054187193
03-20-2020,484,4,0,484,0.83,0.0,1.4447761194029851
03-21-2020,670,8,0,670,1.19,0.0,1.384297520661157
03-22-2020,798,8,6,792,1.0,0.75,1.191044776119403
03-23-2020,875,8,6,869,0.91,0.69,1.0964912280701755
03-24-2020,1099,8,6,1093,0.73,0.55,1.256
03-25-2020,1333,8,6,1327,0.6,0.45,1.2129208371246587
03-26-2020,1453,9,6,1447,0.62,0.41,1.0900225056264066
03-27-2020,1605,15,40,1565,0.93,2.49,1.1046111493461803
03-28-2020,1831,18,40,1791,0.98,2.18,1.140809968847352
03-29-2020,1950,21,40,1910,1.08,2.05,1.0649918077553249
03-30-2020,1988,22,40,1948,1.11,2.01,1.0194871794871796
03-31-2020,2178,23,80,2098,1.06,3.67,1.095573440643863
04-01-2020,2319,29,80,2239,1.25,3.45,1.0647382920110193
04-02-2020,2487,30,80,2407,1.21,3.22,1.072445019404916
04-03-2020,2612,31,500,2112,1.19,19.14,1.0502613590671492
04-04-2020,2729,31,500,2229,1.14,18.32,1.0447932618683002
04-05-2020,2804,36,500,2304,1.28,17.83,1.0274825943569073
04-06-2020,2843,41,500,2343,1.44,17.59,1.0139087018544937
04-07-2020,2970,44,500,2470,1.48,16.84,1.0446711220541682
04-08-2020,3034,46,500,2534,1.52,16.48,1.0215488215488215
04-09-2020,3115,52,500,2615,1.67,16.05,1.0266974291364535
04-10-2020,3223,54,500,2723,1.68,15.51,1.0346709470304976
04-11-2020,3270,62,500,2770,1.9,15.29,1.0145826869376358
04-12-2020,3281,66,500,2781,2.01,15.24,1.0033639143730886
04-13-2020,3292,69,500,2792,2.1,15.19,1.003352636391344
04-14-2020,3307,67,500,2807,2.03,15.12,1.0045565006075334
04-15-2020,3373,69,526,2847,2.05,15.59,1.0199576655579075
04-16-2020,3444,69,552,2892,2.0,16.03,1.0210495108212274
04-17-2020,3480,72,579,2901,2.07,16.64,1.0104529616724738
04-18-2020,3537,72,601,2936,2.04,16.99,1.0163793103448275
04-19-2020,3550,73,627,2923,2.06,17.66,1.0036754311563472
04-20-2020,3558,75,637,2921,2.11,17.9,1.0022535211267605
04-21-2020,3618,78,670,2948,2.16,18.52,1.0168634064080944
