date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-11-2020,1,0,0,1,0.0,0.0,0
03-12-2020,1,0,0,1,0.0,0.0,0.0
03-13-2020,5,0,0,5,0.0,0.0,4.0
03-14-2020,5,0,0,5,0.0,0.0,0.0
03-15-2020,6,0,0,6,0.0,0.0,0.2
03-16-2020,18,0,0,18,0.0,0.0,2.0
03-17-2020,47,1,0,47,2.13,0.0,1.6111111111111112
03-18-2020,98,1,0,98,1.02,0.0,1.0851063829787233
03-19-2020,192,3,0,192,1.56,0.0,0.9591836734693877
03-20-2020,359,4,0,359,1.11,0.0,0.8697916666666666
03-21-2020,670,9,0,670,1.34,0.0,0.8662952646239555
03-22-2020,1236,30,0,1236,2.43,0.0,0.844776119402985
03-23-2020,1529,37,0,1529,2.42,0.0,0.23705501618122976
03-24-2020,1872,44,0,1872,2.35,0.0,0.22432962720732505
03-25-2020,2433,59,26,2407,2.42,1.07,0.29967948717948717
03-26-2020,3629,75,26,3603,2.07,0.72,0.49157418824496507
03-27-2020,5698,92,42,5656,1.61,0.74,0.5701295122623312
03-28-2020,7402,108,70,7332,1.46,0.95,0.2990522990522991
03-29-2020,9217,131,105,9112,1.42,1.14,0.24520399891921102
03-30-2020,10827,168,162,10665,1.55,1.5,0.1746772268634046
03-31-2020,13531,214,243,13288,1.58,1.8,0.2497460053569779
04-01-2020,15679,277,333,15346,1.77,2.12,0.15874658192299165
04-02-2020,18135,356,415,17720,1.96,2.29,0.15664264302570316
