date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-14-2020,2,0,0,2,0,0,1
03-15-2020,2,0,0,2,0,0,1.0
03-16-2020,4,0,0,4,0,0,2.0
03-17-2020,5,0,0,5,0,0,1.25
03-18-2020,7,0,0,7,0,0,1.4
03-19-2020,9,0,0,9,0,0,1.2857142857142856
03-20-2020,9,0,0,9,0,0,1.0
03-21-2020,49,0,1,48,0,2.04,5.444444444444445
03-22-2020,50,0,0,50,0,0,1.0204081632653061
03-23-2020,51,0,0,51,0,0,1.02
03-24-2020,57,0,0,57,0,0,1.1176470588235294
03-25-2020,60,1,0,60,1.67,0,1.0526315789473684
03-26-2020,65,1,0,65,1.54,0,1.0833333333333333
03-27-2020,66,2,1,65,3.03,1.52,1.0153846153846153
03-28-2020,74,3,1,73,4.05,1.35,1.121212121212121
03-29-2020,78,3,1,77,3.85,1.28,1.054054054054054
03-30-2020,82,3,1,81,3.66,1.22,1.0512820512820513
03-31-2020,87,3,1,86,3.45,1.15,1.0609756097560976
04-01-2020,90,5,1,89,5.56,1.11,1.0344827586206897
04-02-2020,94,5,1,93,5.32,1.06,1.0444444444444445
04-03-2020,98,6,1,97,6.12,1.02,1.0425531914893618
04-04-2020,103,6,1,102,5.83,0.97,1.0510204081632653
04-05-2020,104,7,1,103,6.73,0.96,1.0097087378640777
04-06-2020,105,8,1,104,7.62,0.95,1.0096153846153846
04-07-2020,107,8,1,106,7.48,0.93,1.019047619047619
04-08-2020,107,8,1,106,7.48,0.93,1.0
04-09-2020,109,8,1,108,7.34,0.92,1.0186915887850467
04-10-2020,109,8,1,108,7.34,0.92,1.0
04-11-2020,112,8,12,100,7.14,10.71,1.0275229357798166
04-12-2020,113,8,16,97,7.08,14.16,1.0089285714285714
04-13-2020,113,8,16,97,7.08,14.16,1.0
04-14-2020,113,8,17,96,7.08,15.04,1.0
04-15-2020,114,8,19,95,7.02,16.67,1.008849557522124
04-16-2020,114,8,20,94,7.02,17.54,1.0
04-17-2020,114,8,20,94,7.02,17.54,1.0
04-18-2020,114,8,21,93,7.02,18.42,1.0
04-19-2020,114,8,21,93,7.02,18.42,1.0
04-20-2020,114,8,22,92,7.02,19.3,1.0
04-21-2020,115,8,28,87,6.96,24.35,1.0087719298245614
04-22-2020,115,8,37,78,6.96,32.17,1.0
04-23-2020,115,8,48,67,6.96,41.74,1.0
04-24-2020,115,8,48,67,6.96,41.74,1.0
04-25-2020,115,8,53,62,6.96,46.09,1.0
04-26-2020,115,8,54,61,6.96,46.96,1.0
04-27-2020,116,8,59,57,6.9,50.86,1.008695652173913
04-28-2020,116,8,59,57,6.9,50.86,1.0
04-29-2020,116,8,71,45,6.9,61.21,1.0
04-30-2020,116,8,72,44,6.9,62.07,1.0
05-01-2020,116,8,83,33,6.9,71.55,1.0
05-02-2020,116,8,88,28,6.9,75.86,1.0
05-03-2020,116,8,93,23,6.9,80.17,1.0
05-04-2020,116,8,99,17,6.9,85.34,1.0
05-05-2020,116,8,103,13,6.9,88.79,1.0
05-06-2020,116,8,103,13,6.9,88.79,1.0
05-07-2020,116,8,103,13,6.9,88.79,1.0
05-08-2020,116,8,103,13,6.9,88.79,1.0
05-09-2020,116,8,104,12,6.9,89.66,1.0
05-10-2020,116,8,107,9,6.9,92.24,1.0
05-11-2020,116,8,107,9,6.9,92.24,1.0
05-12-2020,116,8,107,9,6.9,92.24,1.0
05-13-2020,116,8,107,9,6.9,92.24,1.0
05-14-2020,116,8,107,9,6.9,92.24,1.0
05-15-2020,116,8,107,9,6.9,92.24,1.0
05-16-2020,116,8,107,9,6.9,92.24,1.0
05-17-2020,116,8,107,9,6.9,92.24,1.0
05-18-2020,116,8,107,9,6.9,92.24,1.0
05-19-2020,116,8,107,9,6.9,92.24,1.0
05-20-2020,116,8,107,9,6.9,92.24,1.0
05-21-2020,116,8,108,8,6.9,93.1,1.0
05-22-2020,116,8,108,8,6.9,93.1,1.0
05-23-2020,116,8,108,8,6.9,93.1,1.0
05-24-2020,116,8,108,8,6.9,93.1,1.0
05-25-2020,116,8,108,8,6.9,93.1,1.0
05-26-2020,116,8,108,8,6.9,93.1,1.0
05-27-2020,116,8,108,8,6.9,93.1,1.0
05-28-2020,116,8,108,8,6.9,93.1,1.0
05-29-2020,116,8,108,8,6.9,93.1,1.0
05-30-2020,117,8,108,9,6.84,92.31,1.0086206896551724
05-31-2020,117,8,108,9,6.84,92.31,1.0
06-01-2020,117,8,108,9,6.84,92.31,1.0
06-02-2020,117,8,108,9,6.84,92.31,1.0
06-03-2020,117,8,108,9,6.84,92.31,1.0
06-04-2020,117,8,108,9,6.84,92.31,1.0
06-05-2020,117,8,108,9,6.84,92.31,1.0
06-06-2020,117,8,108,9,6.84,92.31,1.0
06-07-2020,117,8,108,9,6.84,92.31,1.0
06-08-2020,117,8,109,8,6.84,93.16,1.0
06-09-2020,117,8,109,8,6.84,93.16,1.0
06-10-2020,117,8,109,8,6.84,93.16,1.0
06-11-2020,117,8,109,8,6.84,93.16,1.0
06-12-2020,117,8,109,8,6.84,93.16,1.0
06-13-2020,117,8,109,8,6.84,93.16,1.0
06-14-2020,123,8,109,14,6.5,88.62,1.0512820512820513
06-15-2020,123,8,109,14,6.5,88.62,1.0
06-16-2020,123,8,109,14,6.5,88.62,1.0
06-17-2020,123,8,109,14,6.5,88.62,1.0
06-18-2020,123,8,109,14,6.5,88.62,1.0
06-19-2020,123,8,109,14,6.5,88.62,1.0
06-20-2020,123,8,109,14,6.5,88.62,1.0
06-21-2020,123,8,109,14,6.5,88.62,1.0
06-22-2020,123,8,109,14,6.5,88.62,1.0
06-23-2020,123,8,109,14,6.5,88.62,1.0
06-24-2020,123,8,109,14,6.5,88.62,1.0
06-25-2020,123,8,109,14,6.5,88.62,1.0
06-26-2020,124,8,109,15,6.45,87.9,1.008130081300813
06-27-2020,126,8,109,17,6.35,86.51,1.0161290322580645
06-28-2020,126,8,109,17,6.35,86.51,1.0
06-29-2020,126,8,109,17,6.35,86.51,1.0
06-30-2020,130,8,113,17,6.15,86.92,1.0317460317460316
07-01-2020,130,8,115,15,6.15,88.46,1.0
07-02-2020,130,8,115,15,6.15,88.46,1.0
07-03-2020,130,8,115,15,6.15,88.46,1.0
07-04-2020,130,8,115,15,6.15,88.46,1.0
07-05-2020,133,8,115,18,6.02,86.47,1.023076923076923
07-06-2020,133,8,117,16,6.02,87.97,1.0
07-07-2020,133,8,117,16,6.02,87.97,1.0
07-08-2020,133,8,117,16,6.02,87.97,1.0
07-09-2020,133,8,120,13,6.02,90.23,1.0
07-10-2020,133,8,120,13,6.02,90.23,1.0
07-11-2020,133,8,120,13,6.02,90.23,1.0
07-12-2020,133,8,120,13,6.02,90.23,1.0
07-13-2020,133,8,124,9,6.02,93.23,1.0
07-14-2020,133,8,124,9,6.02,93.23,1.0
07-15-2020,133,8,124,9,6.02,93.23,1.0
07-16-2020,133,8,124,9,6.02,93.23,1.0
07-17-2020,136,8,124,12,5.88,91.18,1.0225563909774436
07-18-2020,137,8,124,13,5.84,90.51,1.0073529411764706
07-19-2020,137,8,124,13,5.84,90.51,1.0
07-20-2020,137,8,124,13,5.84,90.51,1.0
07-21-2020,139,8,124,15,5.76,89.21,1.0145985401459854
07-22-2020,141,8,127,14,5.67,90.07,1.014388489208633
07-23-2020,141,8,128,13,5.67,90.78,1.0
07-24-2020,142,8,128,14,5.63,90.14,1.0070921985815602
07-25-2020,147,8,128,19,5.44,87.07,1.0352112676056338
07-26-2020,147,8,128,19,5.44,87.07,1.0
07-27-2020,148,8,128,20,5.41,86.49,1.0068027210884354
07-28-2020,153,8,128,25,5.23,83.66,1.0337837837837838
07-29-2020,156,8,128,28,5.13,82.05,1.0196078431372548
07-30-2020,164,8,130,34,4.88,79.27,1.0512820512820513
07-31-2020,169,8,132,37,4.73,78.11,1.0304878048780488
08-01-2020,173,8,132,41,4.62,76.3,1.0236686390532543
08-02-2020,182,8,132,50,4.4,72.53,1.0520231213872833
08-03-2020,182,8,135,47,4.4,74.18,1.0
08-04-2020,194,8,135,59,4.12,69.59,1.065934065934066
08-05-2020,199,8,135,64,4.02,67.84,1.0257731958762886
08-06-2020,210,8,135,75,3.81,64.29,1.0552763819095476
08-07-2020,225,8,135,90,3.56,60.0,1.0714285714285714
08-08-2020,275,8,135,140,2.91,49.09,1.2222222222222223
08-09-2020,279,8,135,144,2.87,48.39,1.0145454545454546
08-10-2020,281,8,138,143,2.85,49.11,1.007168458781362
08-11-2020,300,8,139,161,2.67,46.33,1.0676156583629894
08-12-2020,326,8,139,187,2.45,42.64,1.0866666666666667
08-13-2020,404,8,139,265,1.98,34.41,1.2392638036809815
08-14-2020,426,10,139,287,2.35,32.63,1.0544554455445545
08-15-2020,497,10,139,358,2.01,27.97,1.1666666666666667
08-16-2020,552,11,140,412,1.99,25.36,1.1106639839034205
08-17-2020,588,12,140,448,2.04,23.81,1.065217391304348
08-18-2020,629,12,140,489,1.91,22.26,1.0697278911564625
08-19-2020,686,12,140,546,1.75,20.41,1.0906200317965025
08-20-2020,767,12,140,627,1.56,18.25,1.1180758017492711
08-21-2020,864,12,162,702,1.39,18.75,1.1264667535853976
08-22-2020,930,13,165,765,1.4,17.74,1.0763888888888888
08-23-2020,1007,14,165,842,1.39,16.39,1.0827956989247312
08-24-2020,1099,15,165,934,1.36,15.01,1.0913604766633564
08-25-2020,1252,15,178,1074,1.2,14.22,1.1392174704276614
08-26-2020,1411,15,192,1219,1.06,13.61,1.126996805111821
08-27-2020,1429,15,192,1237,1.05,13.44,1.0127569099929128
08-28-2020,1554,19,628,926,1.22,40.41,1.0874737578726381
08-29-2020,1645,19,894,751,1.16,54.35,1.0585585585585586
08-30-2020,1683,21,672,1011,1.25,39.93,1.0231003039513678
08-31-2020,1759,22,676,1083,1.25,38.43,1.0451574569221629
09-01-2020,1797,27,685,1112,1.5,38.12,1.021603183627061
09-02-2020,1920,28,691,1229,1.46,35.99,1.0684474123539232
09-03-2020,1984,29,700,1284,1.46,35.28,1.0333333333333334
09-04-2020,2040,31,707,1333,1.52,34.66,1.028225806451613
09-05-2020,2230,33,717,1513,1.48,32.15,1.093137254901961
09-06-2020,2250,34,724,1526,1.51,32.18,1.0089686098654709
09-07-2020,2277,37,734,1543,1.62,32.24,1.012
09-08-2020,2391,39,743,1648,1.63,31.07,1.0500658761528328
09-09-2020,2588,39,749,1839,1.51,28.94,1.082392304475115
09-10-2020,2698,43,755,1943,1.59,27.98,1.0425038639876352
09-11-2020,2825,50,762,2063,1.77,26.97,1.0470719051149
09-12-2020,2993,51,766,2227,1.7,25.59,1.0594690265486726
09-13-2020,3042,53,772,2270,1.74,25.38,1.0163715335783494
09-14-2020,3141,55,787,2354,1.75,25.06,1.032544378698225
09-15-2020,3223,56,798,2425,1.74,24.76,1.0261063355619229
09-16-2020,3327,58,810,2517,1.74,24.35,1.0322680732237046
09-17-2020,3434,60,1469,1965,1.75,42.78,1.032161106101593
09-18-2020,3651,60,1586,2065,1.64,43.44,1.063191613278975
09-19-2020,3853,61,1695,2158,1.58,43.99,1.0553273075869625
09-20-2020,3901,65,1753,2148,1.67,44.94,1.012457825071373
09-21-2020,3945,65,1802,2143,1.65,45.68,1.0112791591899513
09-22-2020,4026,65,1871,2155,1.61,46.47,1.020532319391635
09-23-2020,4136,67,1960,2176,1.62,47.39,1.0273224043715847
09-24-2020,4235,67,2047,2188,1.58,48.34,1.023936170212766
09-25-2020,4277,70,2122,2155,1.64,49.61,1.0099173553719007
09-26-2020,4312,70,2185,2127,1.62,50.67,1.0081833060556464
09-27-2020,4362,71,2234,2128,1.63,51.22,1.011595547309833
09-28-2020,4386,72,2275,2111,1.64,51.87,1.0055020632737277
09-29-2020,4463,74,2454,2009,1.66,54.99,1.0175558595531236
09-30-2020,4531,76,2560,1971,1.68,56.5,1.015236388079767
10-01-2020,4570,76,2629,1941,1.66,57.53,1.008607371441183
10-02-2020,4629,76,2729,1900,1.64,58.95,1.0129102844638949
10-03-2020,4715,79,2802,1913,1.68,59.43,1.0185785266796283
10-04-2020,4763,81,2843,1920,1.7,59.69,1.0101802757158007
10-05-2020,4767,82,2884,1883,1.72,60.5,1.0008398068444258
10-06-2020,4846,83,2951,1895,1.71,60.9,1.0165722676735893
10-07-2020,4887,84,3010,1877,1.72,61.59,1.0084605860503508
10-08-2020,4963,86,3076,1887,1.73,61.98,1.0155514630652753
10-09-2020,5021,89,3150,1871,1.77,62.74,1.011686479951642
10-10-2020,5043,90,3221,1822,1.78,63.87,1.0043815972913763
10-11-2020,5043,90,3221,1822,1.78,63.87,1.0
10-12-2020,5116,92,3303,1813,1.8,64.56,1.0144755106087646
10-13-2020,5127,93,3367,1760,1.81,65.67,1.0021501172791243
10-14-2020,5154,93,3452,1702,1.8,66.98,1.005266237565828
10-15-2020,5194,93,3502,1692,1.79,67.42,1.0077609623593327
10-16-2020,5241,95,3545,1696,1.81,67.64,1.0090489025798999
10-17-2020,5281,95,3584,1697,1.8,67.87,1.007632131272658
10-18-2020,5297,96,3652,1645,1.81,68.94,1.003029729217951
10-19-2020,5298,97,3696,1602,1.83,69.76,1.0001887861053427
10-20-2020,5333,98,3758,1575,1.84,70.47,1.0066062665156663
10-21-2020,5392,101,3822,1570,1.87,70.88,1.0110631914494657
10-22-2020,5446,103,3876,1570,1.89,71.17,1.0100148367952522
10-23-2020,5487,104,3945,1542,1.9,71.9,1.0075284612559676
10-24-2020,5503,105,4018,1485,1.91,73.01,1.0029159832330965
10-25-2020,5511,105,4085,1426,1.91,74.12,1.001453752498637
10-26-2020,5535,106,4126,1409,1.92,74.54,1.004354926510615
10-27-2020,5568,106,4186,1382,1.9,75.18,1.0059620596205963
10-28-2020,5594,107,4246,1348,1.91,75.9,1.004669540229885
10-29-2020,5636,107,4293,1343,1.9,76.17,1.007508044333214
10-30-2020,5668,107,4455,1213,1.89,78.6,1.0056777856635912
10-31-2020,5692,108,4610,1082,1.9,80.99,1.0042342978122796
11-01-2020,5704,109,4763,941,1.91,83.5,1.0021082220660575
11-02-2020,5704,109,4887,817,1.91,85.68,1.0
11-03-2020,5754,110,4929,825,1.91,85.66,1.008765778401122
11-04-2020,5764,110,4993,771,1.91,86.62,1.0017379214459508
11-05-2020,5774,111,5024,750,1.92,87.01,1.001734906315059
11-06-2020,5798,111,5084,714,1.91,87.69,1.0041565639071701
11-07-2020,5838,111,5127,711,1.9,87.82,1.0068989306657468
11-08-2020,5849,111,5132,717,1.9,87.74,1.001884206920178
11-09-2020,5849,111,5203,646,1.9,88.96,1.0
11-10-2020,5880,111,5238,642,1.89,89.08,1.005300051290819
11-11-2020,5904,111,5284,620,1.88,89.5,1.0040816326530613
11-12-2020,5930,111,5317,613,1.87,89.66,1.0044037940379404
11-13-2020,5980,111,5343,637,1.86,89.35,1.0084317032040473
11-14-2020,6077,112,5373,704,1.84,88.42,1.0162207357859532
11-15-2020,6080,112,5402,678,1.84,88.85,1.0004936646371565
11-16-2020,6096,112,5440,656,1.84,89.24,1.0026315789473683
11-17-2020,6135,113,5460,675,1.84,89.0,1.0063976377952757
11-18-2020,6180,113,5505,675,1.83,89.08,1.0073349633251834
11-19-2020,6233,113,5531,702,1.81,88.74,1.0085760517799354
11-20-2020,6261,113,5559,702,1.8,88.79,1.0044922188352319
11-21-2020,6324,115,5559,765,1.82,87.9,1.0100622903689507
11-22-2020,6450,115,5610,840,1.78,86.98,1.0199240986717268
11-23-2020,6475,115,5622,853,1.78,86.83,1.003875968992248
11-24-2020,6488,115,5639,849,1.77,86.91,1.002007722007722
11-25-2020,6503,116,5655,848,1.78,86.96,1.0023119605425401
11-26-2020,6570,116,5680,890,1.77,86.45,1.010302937105951
11-27-2020,6586,118,5710,876,1.79,86.7,1.0024353120243532
11-28-2020,6630,118,5732,898,1.78,86.46,1.0066808381415122
11-29-2020,6660,120,5745,915,1.8,86.26,1.004524886877828
11-30-2020,6669,120,5771,898,1.8,86.53,1.0013513513513514
12-01-2020,6685,120,5807,878,1.8,86.87,1.002399160293897
12-02-2020,6704,121,5843,861,1.8,87.16,1.0028421839940165
12-03-2020,6725,121,5861,864,1.8,87.15,1.0031324582338903
12-04-2020,6735,121,5884,851,1.8,87.36,1.0014869888475837
12-05-2020,6751,122,5907,844,1.81,87.5,1.0023756495916851
12-06-2020,6767,122,5937,830,1.8,87.73,1.0023700192564065
12-07-2020,6775,122,5962,813,1.8,88.0,1.0011822077730161
12-08-2020,6782,122,5996,786,1.8,88.41,1.0010332103321034
12-09-2020,6808,122,6036,772,1.79,88.66,1.0038336773813035
12-10-2020,6833,122,6060,773,1.79,88.69,1.0036721504112809
12-11-2020,6852,122,6103,749,1.78,89.07,1.002780623445046
12-12-2020,6864,122,6126,738,1.78,89.25,1.001751313485114
12-13-2020,6879,122,6145,734,1.77,89.33,1.0021853146853146
12-14-2020,6885,123,6180,705,1.79,89.76,1.0008722197993893
12-15-2020,6900,123,6204,696,1.78,89.91,1.0021786492374727
12-16-2020,6917,123,6230,687,1.78,90.07,1.002463768115942
12-17-2020,6940,123,6385,555,1.77,92.0,1.0033251409570623
12-18-2020,6955,123,6405,550,1.77,92.09,1.0021613832853027
12-19-2020,6974,123,6426,548,1.76,92.14,1.0027318475916607
12-20-2020,7000,123,6457,543,1.76,92.24,1.0037281330656724
12-21-2020,7012,125,6471,541,1.78,92.28,1.0017142857142858
12-22-2020,7024,125,6488,536,1.78,92.37,1.0017113519680547
12-23-2020,7071,125,6495,576,1.77,91.85,1.0066913439635536
12-24-2020,7089,125,6503,586,1.76,91.73,1.0025456088247773
12-25-2020,7097,125,6527,570,1.76,91.97,1.00112850895754
12-26-2020,7104,125,6545,559,1.76,92.13,1.0009863322530648
12-27-2020,7112,125,6551,561,1.76,92.11,1.0011261261261262
12-28-2020,7115,125,6570,545,1.76,92.34,1.0004218222722159
12-29-2020,7127,125,6595,532,1.75,92.54,1.001686577652846
12-30-2020,7132,126,6628,504,1.77,92.93,1.0007015574575557
12-31-2020,7150,127,6650,500,1.78,93.01,1.0025238362310713
01-01-2021,7158,127,6671,487,1.77,93.2,1.0011188811188811
01-02-2021,7162,127,6680,482,1.77,93.27,1.0005588153115395
01-03-2021,7168,127,6690,478,1.77,93.33,1.0008377548170901
01-04-2021,7178,127,6718,460,1.77,93.59,1.0013950892857142
01-05-2021,7186,127,6735,451,1.77,93.72,1.001114516578434
01-06-2021,7196,127,6744,452,1.76,93.72,1.0013915947676038
01-07-2021,7210,127,6774,436,1.76,93.95,1.0019455252918288
01-08-2021,7219,127,6832,387,1.76,94.64,1.00124826629681
01-09-2021,7244,128,6844,400,1.77,94.48,1.0034630835295748
01-10-2021,7265,128,6857,408,1.76,94.38,1.0028989508558808
01-11-2021,7273,128,6863,410,1.76,94.36,1.0011011699931176
01-12-2021,7286,128,6883,403,1.76,94.47,1.0017874329712635
01-13-2021,7305,129,6891,414,1.77,94.33,1.002607740872907
01-14-2021,7320,130,6896,424,1.78,94.21,1.002053388090349
01-15-2021,7343,130,6913,430,1.77,94.14,1.0031420765027323
01-16-2021,7370,131,6923,447,1.78,93.93,1.0036769712651505
01-17-2021,7393,132,6930,463,1.79,93.74,1.0031207598371779
01-18-2021,7399,132,6938,461,1.78,93.77,1.0008115785202218
01-19-2021,7415,132,6945,470,1.78,93.66,1.0021624543857277
01-20-2021,7430,133,6965,465,1.79,93.74,1.002022926500337
01-21-2021,7450,133,6974,476,1.79,93.61,1.002691790040377
01-22-2021,7456,133,6991,465,1.78,93.76,1.0008053691275167
