date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-11-2020,48,1,17,31,2.08,35.42,1
03-12-2020,49,1,20,29,2.04,40.82,1.0208333333333333
03-13-2020,50,1,20,30,2.0,40.0,1.0204081632653061
03-14-2020,53,1,20,33,1.89,37.74,1.06
03-15-2020,59,1,20,39,1.69,33.9,1.1132075471698113
03-16-2020,67,1,20,47,1.49,29.85,1.1355932203389831
03-17-2020,77,1,22,55,1.3,28.57,1.1492537313432836
03-18-2020,100,1,22,78,1.0,22.0,1.2987012987012987
03-19-2020,108,1,26,82,0.93,24.07,1.08
03-20-2020,135,2,26,109,1.48,19.26,1.25
03-21-2020,153,2,28,125,1.31,18.3,1.1333333333333333
03-22-2020,169,2,28,141,1.18,16.57,1.1045751633986929
03-23-2020,195,2,28,167,1.03,14.36,1.1538461538461537
03-24-2020,215,2,29,186,0.93,13.49,1.1025641025641026
03-25-2020,235,2,29,206,0.85,12.34,1.0930232558139534
03-26-2020,252,2,29,223,0.79,11.51,1.0723404255319149
03-27-2020,267,2,29,238,0.75,10.86,1.0595238095238095
03-28-2020,283,2,30,253,0.71,10.6,1.0599250936329587
03-29-2020,298,2,30,268,0.67,10.07,1.0530035335689045
03-30-2020,306,5,39,267,1.63,12.75,1.0268456375838926
03-31-2020,322,5,39,283,1.55,12.11,1.0522875816993464
04-01-2020,329,5,39,290,1.52,11.85,1.0217391304347827
04-02-2020,339,5,45,294,1.47,13.27,1.0303951367781155
04-03-2020,348,5,50,298,1.44,14.37,1.0265486725663717
04-04-2020,355,5,50,305,1.41,14.08,1.0201149425287357
04-05-2020,363,5,50,313,1.38,13.77,1.0225352112676056
04-06-2020,373,5,57,316,1.34,15.28,1.0275482093663912
04-07-2020,376,5,57,319,1.33,15.16,1.0080428954423593
04-08-2020,379,5,61,318,1.32,16.09,1.0079787234042554
04-09-2020,380,5,67,313,1.32,17.63,1.0026385224274406
04-10-2020,382,6,91,291,1.57,23.82,1.0052631578947369
04-11-2020,385,6,99,286,1.56,25.71,1.0078534031413613
04-12-2020,388,6,109,279,1.55,28.09,1.0077922077922077
04-13-2020,393,6,109,284,1.53,27.74,1.0128865979381443
04-14-2020,393,6,124,269,1.53,31.55,1.0
04-15-2020,395,6,124,271,1.52,31.39,1.005089058524173
04-16-2020,395,6,155,240,1.52,39.24,1.0
04-17-2020,395,6,166,229,1.52,42.03,1.0
04-18-2020,398,6,178,220,1.51,44.72,1.0075949367088608
04-19-2020,420,6,189,231,1.43,45.0,1.0552763819095476
04-20-2020,422,6,203,219,1.42,48.1,1.0047619047619047
04-21-2020,425,6,217,208,1.41,51.06,1.0071090047393365
04-22-2020,426,6,236,190,1.41,55.4,1.0023529411764707
04-23-2020,427,6,253,174,1.41,59.25,1.0023474178403755
04-24-2020,428,6,264,164,1.4,61.68,1.0023419203747073
04-25-2020,429,6,275,154,1.4,64.1,1.0023364485981308
04-26-2020,429,6,281,148,1.4,65.5,1.0
04-27-2020,429,6,290,139,1.4,67.6,1.0
04-28-2020,429,6,307,122,1.4,71.56,1.0
04-29-2020,429,6,311,118,1.4,72.49,1.0
04-30-2020,429,6,322,107,1.4,75.06,1.0
05-01-2020,429,6,324,105,1.4,75.52,1.0
05-02-2020,432,6,324,108,1.39,75.0,1.006993006993007
05-03-2020,436,6,332,104,1.38,76.15,1.0092592592592593
05-04-2020,438,6,334,104,1.37,76.26,1.0045871559633028
05-05-2020,438,6,334,104,1.37,76.26,1.0
05-06-2020,439,6,339,100,1.37,77.22,1.0022831050228311
05-07-2020,440,6,347,93,1.36,78.86,1.0022779043280183
05-08-2020,440,6,355,85,1.36,80.68,1.0
05-09-2020,440,6,361,79,1.36,82.05,1.0
05-10-2020,440,6,366,74,1.36,83.18,1.0
05-11-2020,440,7,368,72,1.59,83.64,1.0
05-12-2020,440,7,372,68,1.59,84.55,1.0
05-13-2020,440,7,375,65,1.59,85.23,1.0
05-14-2020,440,7,383,57,1.59,87.05,1.0
05-15-2020,440,7,387,53,1.59,87.95,1.0
05-16-2020,440,7,389,51,1.59,88.41,1.0
05-17-2020,440,7,395,45,1.59,89.77,1.0
05-18-2020,440,7,398,42,1.59,90.45,1.0
05-19-2020,440,7,398,42,1.59,90.45,1.0
05-20-2020,440,7,398,42,1.59,90.45,1.0
05-21-2020,440,7,398,42,1.59,90.45,1.0
05-22-2020,441,7,408,33,1.59,92.52,1.0022727272727272
05-23-2020,441,7,411,30,1.59,93.2,1.0
05-24-2020,441,7,414,27,1.59,93.88,1.0
05-25-2020,441,7,415,26,1.59,94.1,1.0
05-26-2020,441,7,416,25,1.59,94.33,1.0
05-27-2020,441,7,419,22,1.59,95.01,1.0
05-28-2020,441,7,420,21,1.59,95.24,1.0
05-29-2020,442,7,420,22,1.58,95.02,1.002267573696145
05-30-2020,442,7,421,21,1.58,95.25,1.0
05-31-2020,442,7,423,19,1.58,95.7,1.0
06-01-2020,443,7,427,16,1.58,96.39,1.002262443438914
06-02-2020,443,7,427,16,1.58,96.39,1.0
06-03-2020,443,7,428,15,1.58,96.61,1.0
06-04-2020,443,7,428,15,1.58,96.61,1.0
06-05-2020,443,7,429,14,1.58,96.84,1.0
06-06-2020,443,7,429,14,1.58,96.84,1.0
06-07-2020,443,7,430,13,1.58,97.07,1.0
06-08-2020,443,7,430,13,1.58,97.07,1.0
06-09-2020,443,7,431,12,1.58,97.29,1.0
06-10-2020,443,7,431,12,1.58,97.29,1.0
06-11-2020,443,7,431,12,1.58,97.29,1.0
06-12-2020,443,7,431,12,1.58,97.29,1.0
06-13-2020,443,7,431,12,1.58,97.29,1.0
06-14-2020,443,7,431,12,1.58,97.29,1.0
