date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-02-2020,1,0,0,1,0.0,0.0,1
03-03-2020,1,0,0,1,0.0,0.0,1.0
03-04-2020,1,0,0,1,0.0,0.0,1.0
03-05-2020,1,0,0,1,0.0,0.0,1.0
03-06-2020,1,0,0,1,0.0,0.0,1.0
03-07-2020,1,0,0,1,0.0,0.0,1.0
03-08-2020,1,0,0,1,0.0,0.0,1.0
03-09-2020,1,0,0,1,0.0,0.0,1.0
03-10-2020,1,0,0,1,0.0,0.0,1.0
03-11-2020,1,0,0,1,0.0,0.0,1.0
03-12-2020,1,0,1,0,0.0,100.0,1.0
03-13-2020,1,0,0,1,0.0,0.0,1.0
03-14-2020,1,0,1,0,0.0,100.0,1.0
03-15-2020,1,0,1,0,0.0,100.0,1.0
03-16-2020,2,0,1,1,0.0,50.0,2.0
03-17-2020,39,0,1,38,0.0,2.56,19.5
03-18-2020,39,0,1,38,0.0,2.56,1.0
03-19-2020,53,0,1,52,0.0,1.89,1.358974358974359
03-20-2020,75,0,1,74,0.0,1.33,1.4150943396226414
03-21-2020,88,0,1,87,0.0,1.14,1.1733333333333333
03-22-2020,113,1,1,112,0.88,0.88,1.2840909090909092
03-23-2020,133,1,1,132,0.75,0.75,1.176991150442478
03-24-2020,164,1,1,163,0.61,0.61,1.2330827067669172
03-25-2020,188,1,1,187,0.53,0.53,1.146341463414634
03-26-2020,224,3,1,223,1.34,0.45,1.1914893617021276
03-27-2020,267,3,1,266,1.12,0.37,1.1919642857142858
03-28-2020,308,3,1,307,0.97,0.32,1.1535580524344569
03-29-2020,334,6,1,333,1.8,0.3,1.0844155844155845
03-30-2020,370,8,10,360,2.16,2.7,1.1077844311377245
03-31-2020,376,12,10,366,3.19,2.66,1.0162162162162163
04-01-2020,390,14,10,380,3.59,2.56,1.0372340425531914
04-02-2020,428,15,10,418,3.5,2.34,1.0974358974358975
04-03-2020,439,16,16,423,3.64,3.64,1.0257009345794392
04-04-2020,466,17,21,445,3.65,4.51,1.061503416856492
04-05-2020,501,18,26,475,3.59,5.19,1.0751072961373391
04-06-2020,525,21,31,494,4.0,5.9,1.0479041916167664
04-07-2020,545,22,39,506,4.04,7.16,1.0380952380952382
04-08-2020,564,23,52,512,4.08,9.22,1.034862385321101
04-09-2020,583,25,58,525,4.29,9.95,1.0336879432624113
04-10-2020,601,26,71,530,4.33,11.81,1.0308747855917668
04-11-2020,601,26,71,530,4.33,11.81,1.0
04-12-2020,638,29,128,510,4.55,20.06,1.0615640599001663
04-13-2020,646,29,128,518,4.49,19.81,1.0125391849529781
04-14-2020,659,31,128,531,4.7,19.42,1.020123839009288
04-15-2020,673,33,169,504,4.9,25.11,1.0212443095599393
04-16-2020,673,33,169,504,4.9,25.11,1.0
04-17-2020,696,35,191,505,5.03,27.44,1.0341753343239228
04-18-2020,704,35,205,499,4.97,29.12,1.0114942528735633
04-19-2020,713,36,235,478,5.05,32.96,1.0127840909090908
04-20-2020,717,37,248,469,5.16,34.59,1.0056100981767182
04-21-2020,717,37,282,435,5.16,39.33,1.0
04-22-2020,723,37,309,414,5.12,42.74,1.00836820083682
04-23-2020,723,37,333,390,5.12,46.06,1.0
04-24-2020,731,40,344,387,5.47,47.06,1.0110650069156293
04-25-2020,738,40,344,394,5.42,46.61,1.009575923392613
04-26-2020,738,40,344,394,5.42,46.61,1.0
04-27-2020,743,40,385,358,5.38,51.82,1.0067750677506775
04-28-2020,743,41,398,345,5.52,53.57,1.0
