date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-07-2020,3,0,0,3,0.0,0.0,0
03-08-2020,3,0,0,3,0.0,0.0,0.0
03-09-2020,3,0,0,3,0.0,0.0,0.0
03-10-2020,5,0,0,5,0.0,0.0,0.6666666666666666
03-11-2020,6,0,0,6,0.0,0.0,0.2
03-12-2020,6,0,0,6,0.0,0.0,0.0
03-13-2020,12,0,1,11,0.0,8.33,1.0
03-14-2020,18,0,1,17,0.0,5.56,0.5
03-15-2020,21,0,1,20,0.0,4.76,0.16666666666666666
03-16-2020,30,0,2,28,0.0,6.67,0.42857142857142855
03-17-2020,38,0,2,36,0.0,5.26,0.26666666666666666
03-18-2020,38,0,2,36,0.0,5.26,0.0
03-19-2020,53,0,2,51,0.0,3.77,0.39473684210526316
03-20-2020,64,0,2,62,0.0,3.13,0.20754716981132076
03-21-2020,73,0,2,71,0.0,2.74,0.140625
03-22-2020,90,0,2,88,0.0,2.22,0.2328767123287671
03-23-2020,107,0,2,105,0.0,1.87,0.18888888888888888
03-24-2020,110,0,2,108,0.0,1.82,0.028037383177570093
03-25-2020,129,0,2,127,0.0,1.55,0.17272727272727273
03-26-2020,134,0,2,132,0.0,1.49,0.03875968992248062
03-27-2020,139,0,2,137,0.0,1.44,0.03731343283582089
03-28-2020,149,0,2,147,0.0,1.34,0.07194244604316546
03-29-2020,151,0,2,149,0.0,1.32,0.013422818791946308
03-30-2020,156,0,2,154,0.0,1.28,0.033112582781456956
03-31-2020,169,0,2,167,0.0,1.18,0.08333333333333333
04-01-2020,188,0,2,186,0.0,1.06,0.11242603550295859
04-02-2020,196,0,2,194,0.0,1.02,0.0425531914893617
04-03-2020,202,0,2,200,0.0,0.99,0.030612244897959183
04-04-2020,213,0,2,211,0.0,0.94,0.054455445544554455
04-05-2020,227,0,5,222,0.0,2.2,0.06572769953051644
04-06-2020,241,0,5,236,0.0,2.07,0.06167400881057269
04-07-2020,293,0,5,288,0.0,1.71,0.2157676348547718
