date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
02-29-2020,1,0,0,1,0.0,0.0,0
03-01-2020,1,0,0,1,0.0,0.0,0.0
03-02-2020,1,0,0,1,0.0,0.0,0.0
03-03-2020,2,0,0,2,0.0,0.0,1.0
03-04-2020,6,0,0,6,0.0,0.0,2.0
03-05-2020,6,0,0,6,0.0,0.0,0.0
03-06-2020,18,0,0,18,0.0,0.0,2.0
03-07-2020,18,0,0,18,0.0,0.0,0.0
03-08-2020,19,0,0,19,0.0,0.0,0.05555555555555555
03-09-2020,21,0,0,21,0.0,0.0,0.10526315789473684
03-10-2020,34,0,0,34,0.0,0.0,0.6190476190476191
03-11-2020,43,1,0,43,2.33,0.0,0.2647058823529412
03-12-2020,43,1,0,43,2.33,0.0,0.0
03-13-2020,90,1,0,90,1.11,0.0,1.0930232558139534
03-14-2020,129,2,0,129,1.55,0.0,0.43333333333333335
03-15-2020,129,2,0,129,1.55,0.0,0.0
03-16-2020,169,2,0,169,1.18,0.0,0.31007751937984496
03-17-2020,223,2,5,218,0.9,2.24,0.31952662721893493
03-18-2020,292,2,5,287,0.68,1.71,0.3094170403587444
03-19-2020,557,3,5,552,0.54,0.9,0.9075342465753424
03-20-2020,683,3,5,678,0.44,0.73,0.22621184919210055
03-21-2020,785,3,5,780,0.38,0.64,0.1493411420204978
03-22-2020,906,4,5,901,0.44,0.55,0.15414012738853503
03-23-2020,1125,6,5,1120,0.53,0.44,0.24172185430463577
03-24-2020,1329,7,5,1324,0.53,0.38,0.18133333333333335
03-25-2020,1564,9,5,1559,0.58,0.32,0.17682468021068473
03-26-2020,1819,19,5,1814,1.04,0.27,0.16304347826086957
03-27-2020,2121,22,5,2116,1.04,0.24,0.16602528862012095
03-28-2020,2415,36,5,2410,1.49,0.21,0.13861386138613863
03-29-2020,2615,46,5,2610,1.76,0.19,0.08281573498964803
03-30-2020,2910,54,5,2905,1.86,0.17,0.11281070745697896
03-31-2020,3235,71,5,3230,2.19,0.15,0.11168384879725086
04-01-2020,3447,85,5,3442,2.47,0.15,0.06553323029366306
04-02-2020,3849,98,5,3844,2.55,0.13,0.11662315056570931
04-03-2020,4273,120,5,4268,2.81,0.12,0.11015848272278514
04-04-2020,4604,137,25,4579,2.98,0.54,0.07746314065059677
04-05-2020,4994,158,25,4969,3.16,0.5,0.08470894874022589
04-06-2020,5364,174,25,5339,3.24,0.47,0.07408890668802563
04-07-2020,5709,210,25,5684,3.68,0.44,0.06431767337807606
04-08-2020,6074,235,25,6049,3.87,0.41,0.06393413907864776
04-09-2020,6574,263,25,6549,4.0,0.38,0.08231807704972012
04-10-2020,8089,287,25,8064,3.55,0.31,0.23045330088226346
04-11-2020,8928,320,25,8903,3.58,0.28,0.10372110273210533
04-12-2020,9655,334,25,9630,3.46,0.26,0.08142921146953405
04-13-2020,10647,365,25,10622,3.43,0.23,0.10274469186949767
