date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-14-2020,1,0,0,1,0.0,0.0,0
03-15-2020,1,0,0,1,0.0,0.0,0.0
03-16-2020,2,1,0,2,50.0,0.0,1.0
03-17-2020,6,1,0,6,16.67,0.0,2.0
03-18-2020,6,1,0,6,16.67,0.0,0.0
03-19-2020,9,1,0,9,11.11,0.0,0.5
03-20-2020,12,1,0,12,8.33,0.0,0.3333333333333333
03-21-2020,17,1,0,17,5.88,0.0,0.4166666666666667
03-22-2020,19,1,0,19,5.26,0.0,0.11764705882352941
03-23-2020,20,1,0,20,5.0,0.0,0.05263157894736842
03-24-2020,21,1,0,21,4.76,0.0,0.05
03-25-2020,24,1,4,20,4.17,16.67,0.14285714285714285
03-26-2020,25,1,4,21,4.0,16.0,0.041666666666666664
03-27-2020,28,1,4,24,3.57,14.29,0.12
03-28-2020,34,1,10,24,2.94,29.41,0.21428571428571427
03-29-2020,34,1,10,24,2.94,29.41,0.0
03-30-2020,36,1,10,26,2.78,27.78,0.058823529411764705
03-31-2020,38,1,12,26,2.63,31.58,0.05555555555555555
04-01-2020,39,1,12,27,2.56,30.77,0.02631578947368421
04-02-2020,47,1,12,35,2.13,25.53,0.20512820512820512
04-03-2020,50,1,12,38,2.0,24.0,0.06382978723404255
04-04-2020,61,2,15,46,3.28,24.59,0.22
04-05-2020,61,2,15,46,3.28,24.59,0.0
04-06-2020,70,3,15,55,4.29,21.43,0.14754098360655737
04-07-2020,77,3,17,60,3.9,22.08,0.1
