date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
01-01-2021,475820,9248,439895,35925,1.94,92.45,1
01-02-2021,476916,9253,439942,36974,1.94,92.25,1.0023033920390063
01-03-2021,477807,9257,448258,29549,1.94,93.82,1.0018682535289234
01-04-2021,478761,9263,448279,30482,1.93,93.63,1.0019966220670689
01-23-2020,0,0,0,0,NaN,NaN,1
01-30-2020,1,0,0,1,0.0,0.0,1
01-31-2020,1,0,0,1,0.0,0.0,1.0
02-01-2020,1,0,0,1,0.0,0.0,1.0
02-02-2020,2,1,0,2,50.0,0.0,2.0
02-03-2020,2,1,0,2,50.0,0.0,1.0
02-04-2020,2,1,0,2,50.0,0.0,1.0
02-05-2020,2,1,0,2,50.0,0.0,1.0
02-06-2020,2,1,0,2,50.0,0.0,1.0
02-07-2020,3,1,0,3,33.33,0.0,1.5
02-08-2020,3,1,0,3,33.33,0.0,1.0
02-09-2020,3,1,0,3,33.33,0.0,1.0
02-10-2020,3,1,0,3,33.33,0.0,1.0
02-11-2020,3,1,0,3,33.33,0.0,1.0
02-12-2020,3,1,1,2,33.33,33.33,1.0
02-13-2020,3,1,1,2,33.33,33.33,1.0
02-14-2020,3,1,1,2,33.33,33.33,1.0
02-15-2020,3,1,1,2,33.33,33.33,1.0
02-16-2020,3,1,1,2,33.33,33.33,1.0
02-17-2020,3,1,1,2,33.33,33.33,1.0
02-18-2020,3,1,1,2,33.33,33.33,1.0
02-19-2020,3,1,1,2,33.33,33.33,1.0
02-20-2020,3,1,1,2,33.33,33.33,1.0
02-21-2020,3,1,1,2,33.33,33.33,1.0
02-22-2020,3,1,1,2,33.33,33.33,1.0
02-23-2020,3,1,1,2,33.33,33.33,1.0
02-24-2020,3,1,1,2,33.33,33.33,1.0
02-25-2020,3,1,1,2,33.33,33.33,1.0
02-26-2020,3,1,1,2,33.33,33.33,1.0
02-27-2020,3,1,1,2,33.33,33.33,1.0
02-28-2020,3,1,1,2,33.33,33.33,1.0
02-29-2020,3,1,1,2,33.33,33.33,1.0
03-01-2020,3,1,1,2,33.33,33.33,1.0
03-02-2020,3,1,1,2,33.33,33.33,1.0
03-03-2020,3,1,1,2,33.33,33.33,1.0
03-04-2020,3,1,1,2,33.33,33.33,1.0
03-05-2020,3,1,1,2,33.33,33.33,1.0
03-06-2020,5,1,1,4,20.0,20.0,1.6666666666666665
03-07-2020,6,1,1,5,16.67,16.67,1.2
03-08-2020,10,1,1,9,10.0,10.0,1.6666666666666665
03-09-2020,20,1,1,19,5.0,5.0,2.0
03-10-2020,33,1,2,31,3.03,6.06,1.65
03-11-2020,49,1,2,47,2.04,4.08,1.4848484848484849
03-12-2020,52,2,2,50,3.85,3.85,1.0612244897959184
03-13-2020,64,5,2,62,7.81,3.13,1.2307692307692308
03-14-2020,111,8,2,109,7.21,1.8,1.734375
03-15-2020,140,11,2,138,7.86,1.43,1.2612612612612613
03-16-2020,142,12,2,140,8.45,1.41,1.0142857142857142
03-17-2020,187,12,5,182,6.42,2.67,1.3169014084507042
03-18-2020,202,19,5,197,9.41,2.48,1.0802139037433156
03-19-2020,217,17,8,209,7.83,3.69,1.0742574257425743
03-20-2020,230,18,8,222,7.83,3.48,1.0599078341013826
03-21-2020,307,19,13,294,6.19,4.23,1.3347826086956522
03-22-2020,380,25,15,365,6.58,3.95,1.237785016286645
03-23-2020,462,33,18,444,7.14,3.9,1.2157894736842105
03-24-2020,552,35,20,532,6.34,3.62,1.1948051948051948
03-25-2020,636,38,26,610,5.97,4.09,1.1521739130434783
03-26-2020,707,45,28,679,6.36,3.96,1.1116352201257862
03-27-2020,803,54,31,772,6.72,3.86,1.1357850070721358
03-28-2020,1075,68,35,1040,6.33,3.26,1.3387297633872977
03-29-2020,1418,71,42,1376,5.01,2.96,1.3190697674418606
03-30-2020,1546,78,42,1504,5.05,2.72,1.0902679830747533
03-31-2020,2084,88,49,2035,4.22,2.35,1.3479948253557568
04-01-2020,2311,96,50,2261,4.15,2.16,1.1089251439539347
04-02-2020,2633,107,51,2582,4.06,1.94,1.1393336218087409
04-03-2020,3018,136,52,2966,4.51,1.72,1.1462210406380555
