date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-14-2020,1,0,0,1,0,0,1
03-15-2020,1,0,0,1,0,0,1.0
03-16-2020,1,0,0,1,0,0,1.0
03-17-2020,1,0,0,1,0,0,1.0
03-18-2020,1,0,0,1,0,0,1.0
03-19-2020,1,0,0,1,0,0,1.0
03-20-2020,1,0,0,1,0,0,1.0
03-21-2020,1,0,0,1,0,0,1.0
03-22-2020,1,0,0,1,0,0,1.0
03-23-2020,1,0,0,1,0,0,1.0
03-24-2020,1,0,0,1,0,0,1.0
03-25-2020,1,0,0,1,0,0,1.0
03-26-2020,1,0,0,1,0,0,1.0
03-27-2020,1,0,0,1,0,0,1.0
03-28-2020,1,0,1,0,0,100.0,1.0
03-29-2020,1,0,1,0,0,100.0,1.0
03-30-2020,1,0,1,0,0,100.0,1.0
03-31-2020,1,0,1,0,0,100.0,1.0
04-01-2020,1,0,1,0,0,100.0,1.0
04-02-2020,2,0,1,1,0,50.0,2.0
04-03-2020,3,0,1,2,0,33.33,1.5
04-04-2020,7,0,1,6,0,14.29,2.333333333333333
04-05-2020,7,0,1,6,0,14.29,1.0
04-06-2020,7,0,1,6,0,14.29,1.0
04-07-2020,8,0,1,7,0,12.5,1.1428571428571428
04-08-2020,8,0,1,7,0,12.5,1.0
04-09-2020,12,0,1,11,0,8.33,1.5
04-10-2020,12,0,1,11,0,8.33,1.0
04-11-2020,12,0,1,11,0,8.33,1.0
04-12-2020,12,0,1,11,0,8.33,1.0
04-13-2020,12,0,1,11,0,8.33,1.0
04-14-2020,12,0,1,11,0,8.33,1.0
04-15-2020,12,0,1,11,0,8.33,1.0
04-16-2020,12,0,1,11,0,8.33,1.0
04-17-2020,12,0,1,11,0,8.33,1.0
04-18-2020,12,0,1,11,0,8.33,1.0
04-19-2020,12,0,1,11,0,8.33,1.0
04-20-2020,12,0,1,11,0,8.33,1.0
04-21-2020,12,0,2,10,0,16.67,1.0
04-22-2020,13,0,3,10,0,23.08,1.0833333333333333
04-23-2020,13,0,3,10,0,23.08,1.0
