date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-14-2020,1,0,0,1,0.0,0.0,0
03-15-2020,1,0,0,1,0.0,0.0,0.0
03-16-2020,1,0,0,1,0.0,0.0,0.0
03-17-2020,1,0,0,1,0.0,0.0,0.0
03-18-2020,1,0,0,1,0.0,0.0,0.0
03-19-2020,1,0,0,1,0.0,0.0,0.0
03-20-2020,1,0,0,1,0.0,0.0,0.0
03-21-2020,1,0,0,1,0.0,0.0,0.0
03-22-2020,1,0,0,1,0.0,0.0,0.0
03-23-2020,1,0,0,1,0.0,0.0,0.0
03-24-2020,1,0,0,1,0.0,0.0,0.0
03-25-2020,1,0,0,1,0.0,0.0,0.0
03-26-2020,1,0,0,1,0.0,0.0,0.0
03-27-2020,1,0,0,1,0.0,0.0,0.0
03-28-2020,1,0,1,0,0.0,100.0,0.0
03-29-2020,1,0,1,0,0.0,100.0,0.0
03-30-2020,1,0,1,0,0.0,100.0,0.0
03-31-2020,1,0,1,0,0.0,100.0,0.0
04-01-2020,1,0,1,0,0.0,100.0,0.0
04-02-2020,2,0,1,1,0.0,50.0,1.0
04-03-2020,3,0,1,2,0.0,33.33,0.5
04-04-2020,7,0,1,6,0.0,14.29,1.3333333333333333
04-05-2020,7,0,1,6,0.0,14.29,0.0
