date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-17-2020,2,0,0,2,0,0,1
03-18-2020,1,0,0,1,0,0,1.5
03-19-2020,3,0,0,3,0,0,3.0
03-20-2020,14,0,0,14,0,0,4.666666666666666
03-21-2020,14,0,0,14,0,0,1.0
03-22-2020,21,0,0,21,0,0,1.5
03-23-2020,27,1,0,27,3.7,0,1.2857142857142856
03-24-2020,47,1,0,47,2.13,0,1.7407407407407407
03-25-2020,52,1,0,52,1.92,0,1.1063829787234043
03-26-2020,69,1,0,69,1.45,0,1.3269230769230769
03-27-2020,82,1,0,82,1.22,0,1.1884057971014492
03-28-2020,84,1,0,84,1.19,0,1.024390243902439
03-29-2020,85,1,0,85,1.18,0,1.0119047619047619
03-30-2020,91,1,0,91,1.1,0,1.0705882352941176
03-31-2020,109,2,0,109,1.83,0,1.1978021978021978
04-01-2020,123,2,0,123,1.63,0,1.1284403669724772
04-02-2020,144,2,0,144,1.39,0,1.170731707317073
04-03-2020,174,2,1,173,1.15,0.57,1.2083333333333333
04-04-2020,201,2,1,200,1.0,0.5,1.1551724137931034
04-05-2020,214,2,1,213,0.93,0.47,1.064676616915423
04-06-2020,233,2,1,232,0.86,0.43,1.088785046728972
04-07-2020,241,2,4,237,0.83,1.66,1.0343347639484979
04-08-2020,248,2,4,244,0.81,1.61,1.0290456431535269
04-09-2020,252,2,4,248,0.79,1.59,1.0161290322580645
04-10-2020,255,2,4,251,0.78,1.57,1.0119047619047619
04-11-2020,263,2,5,258,0.76,1.9,1.0313725490196077
04-12-2020,272,3,5,267,1.1,1.84,1.0342205323193916
04-13-2020,274,3,5,269,1.09,1.82,1.0073529411764706
04-14-2020,283,4,46,237,1.41,16.25,1.032846715328467
04-15-2020,288,4,55,233,1.39,19.1,1.017667844522968
04-16-2020,303,4,55,248,1.32,18.15,1.0520833333333333
04-17-2020,303,5,55,248,1.65,18.15,1.0
04-18-2020,307,5,55,252,1.63,17.92,1.0132013201320131
04-19-2020,308,5,55,253,1.62,17.86,1.003257328990228
04-20-2020,312,5,88,224,1.6,28.21,1.0129870129870129
04-21-2020,313,5,101,212,1.6,32.27,1.0032051282051282
04-22-2020,315,5,116,199,1.59,36.83,1.0063897763578276
04-23-2020,316,5,123,193,1.58,38.92,1.0031746031746032
04-24-2020,319,6,123,196,1.88,38.56,1.009493670886076
04-25-2020,320,6,153,167,1.88,47.81,1.0031347962382444
04-26-2020,321,7,153,168,2.18,47.66,1.003125
04-27-2020,321,7,189,132,2.18,58.88,1.0
04-28-2020,321,7,199,122,2.18,61.99,1.0
04-29-2020,322,7,203,119,2.17,63.04,1.0031152647975077
04-30-2020,322,7,214,108,2.17,66.46,1.0
05-01-2020,322,7,233,89,2.17,72.36,1.0
05-02-2020,322,8,245,77,2.48,76.09,1.0
05-03-2020,322,8,249,73,2.48,77.33,1.0
05-04-2020,323,8,253,70,2.48,78.33,1.0031055900621118
05-05-2020,324,8,253,71,2.47,78.09,1.0030959752321982
05-06-2020,324,8,261,63,2.47,80.56,1.0
05-07-2020,324,8,265,59,2.47,81.79,1.0
05-08-2020,324,8,267,57,2.47,82.41,1.0
05-09-2020,324,8,274,50,2.47,84.57,1.0
05-10-2020,324,9,290,34,2.78,89.51,1.0
05-11-2020,324,9,294,30,2.78,90.74,1.0
05-12-2020,324,9,298,26,2.78,91.98,1.0
05-13-2020,324,9,307,17,2.78,94.75,1.0
05-14-2020,324,9,309,15,2.78,95.37,1.0
05-15-2020,324,9,311,13,2.78,95.99,1.0
05-16-2020,324,9,311,13,2.78,95.99,1.0
05-17-2020,324,9,311,13,2.78,95.99,1.0
05-18-2020,324,9,311,13,2.78,95.99,1.0
05-19-2020,324,9,312,12,2.78,96.3,1.0
05-20-2020,324,9,312,12,2.78,96.3,1.0
05-21-2020,324,9,314,10,2.78,96.91,1.0
05-22-2020,324,9,314,10,2.78,96.91,1.0
05-23-2020,324,9,314,10,2.78,96.91,1.0
05-24-2020,324,9,315,9,2.78,97.22,1.0
05-25-2020,324,9,315,9,2.78,97.22,1.0
05-26-2020,324,9,315,9,2.78,97.22,1.0
05-27-2020,324,9,315,9,2.78,97.22,1.0
05-28-2020,324,9,315,9,2.78,97.22,1.0
05-29-2020,324,9,315,9,2.78,97.22,1.0
05-30-2020,324,9,315,9,2.78,97.22,1.0
05-31-2020,324,9,315,9,2.78,97.22,1.0
06-01-2020,324,9,315,9,2.78,97.22,1.0
06-02-2020,324,9,315,9,2.78,97.22,1.0
06-03-2020,324,9,315,9,2.78,97.22,1.0
06-04-2020,324,9,315,9,2.78,97.22,1.0
06-05-2020,324,9,315,9,2.78,97.22,1.0
06-06-2020,324,9,315,9,2.78,97.22,1.0
06-07-2020,324,9,315,9,2.78,97.22,1.0
06-08-2020,324,9,315,9,2.78,97.22,1.0
06-09-2020,324,9,315,9,2.78,97.22,1.0
06-10-2020,324,9,315,9,2.78,97.22,1.0
06-11-2020,324,9,315,9,2.78,97.22,1.0
06-12-2020,324,9,315,9,2.78,97.22,1.0
06-13-2020,324,9,315,9,2.78,97.22,1.0
06-14-2020,325,9,315,10,2.77,96.92,1.0030864197530864
06-15-2020,326,9,315,11,2.76,96.63,1.003076923076923
06-16-2020,326,9,315,11,2.76,96.63,1.0
06-17-2020,333,9,315,18,2.7,94.59,1.021472392638037
06-18-2020,337,9,315,22,2.67,93.47,1.012012012012012
06-19-2020,355,9,315,40,2.54,88.73,1.053412462908012
06-20-2020,359,9,315,44,2.51,87.74,1.0112676056338028
06-21-2020,362,9,315,47,2.49,87.02,1.0083565459610029
06-22-2020,367,9,315,52,2.45,85.83,1.0138121546961325
06-23-2020,378,9,315,63,2.38,83.33,1.0299727520435966
06-24-2020,389,9,315,74,2.31,80.98,1.029100529100529
06-25-2020,414,9,315,99,2.17,76.09,1.06426735218509
06-26-2020,439,9,315,124,2.05,71.75,1.0603864734299517
06-27-2020,469,9,315,154,1.92,67.16,1.0683371298405466
