date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-24-2020,1,0,0,1,0.0,0.0,0
03-25-2020,1,0,0,1,0.0,0.0,0.0
03-26-2020,1,0,0,1,0.0,0.0,0.0
03-27-2020,1,0,0,1,0.0,0.0,0.0
03-28-2020,3,0,0,3,0.0,0.0,2.0
03-29-2020,8,0,0,8,0.0,0.0,1.6666666666666667
03-30-2020,8,0,0,8,0.0,0.0,0.0
03-31-2020,10,0,1,9,0.0,10.0,0.25
04-01-2020,10,0,0,10,0.0,0.0,0.0
04-02-2020,11,1,0,11,9.09,0.0,0.1
04-03-2020,11,1,0,11,9.09,0.0,0.0
04-04-2020,18,1,0,18,5.56,0.0,0.6363636363636364
04-05-2020,18,1,0,18,5.56,0.0,0.0
04-06-2020,19,1,1,18,5.26,5.26,0.05555555555555555
04-07-2020,20,1,1,19,5.0,5.0,0.05263157894736842
04-08-2020,21,1,8,13,4.76,38.1,0.05
04-09-2020,24,1,8,16,4.17,33.33,0.14285714285714285
04-10-2020,24,1,8,16,4.17,33.33,0.0
04-11-2020,24,1,8,16,4.17,33.33,0.0
04-12-2020,25,1,9,16,4.0,36.0,0.041666666666666664
04-13-2020,26,1,9,17,3.85,34.62,0.04
04-14-2020,35,1,9,26,2.86,25.71,0.34615384615384615
04-15-2020,48,1,9,39,2.08,18.75,0.37142857142857144
04-16-2020,49,1,11,38,2.04,22.45,0.020833333333333332
04-17-2020,49,1,11,38,2.04,22.45,0.0
04-18-2020,49,1,11,38,2.04,22.45,0.0
04-19-2020,51,1,11,40,1.96,21.57,0.04081632653061224
04-20-2020,51,1,15,36,1.96,29.41,0.0
04-21-2020,51,1,15,36,1.96,29.41,0.0
04-22-2020,59,1,15,44,1.69,25.42,0.1568627450980392
04-23-2020,60,2,15,45,3.33,25.0,0.01694915254237288
