date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-12-2020,1,1,0,1,100.0,0.0,1
03-13-2020,1,1,0,1,100.0,0.0,1.0
03-14-2020,1,1,0,1,100.0,0.0,1.0
03-15-2020,4,1,0,4,25.0,0.0,4.0
03-16-2020,4,1,0,4,25.0,0.0,1.0
03-17-2020,7,1,0,7,14.29,0.0,1.75
03-18-2020,7,1,0,7,14.29,0.0,1.0
03-19-2020,7,1,0,7,14.29,0.0,1.0
03-20-2020,7,1,0,7,14.29,0.0,1.0
03-21-2020,7,1,0,7,14.29,0.0,1.0
03-22-2020,18,1,0,18,5.56,0.0,2.571428571428571
03-23-2020,20,1,0,20,5.0,0.0,1.1111111111111112
03-24-2020,5,1,0,5,20.0,0.0,1.75
03-25-2020,5,1,0,5,20.0,0.0,1.0
03-26-2020,5,1,0,5,20.0,0.0,1.0
03-27-2020,5,1,0,5,20.0,0.0,1.0
03-28-2020,8,1,0,8,12.5,0.0,1.6
03-29-2020,8,1,0,8,12.5,0.0,1.0
03-30-2020,8,1,0,8,12.5,0.0,1.0
03-31-2020,12,2,0,12,16.67,0.0,1.5
04-01-2020,19,2,0,19,10.53,0.0,1.5833333333333335
04-02-2020,19,4,0,19,21.05,0.0,1.0
04-03-2020,23,4,0,23,17.39,0.0,1.2105263157894737
04-04-2020,23,4,0,23,17.39,0.0,1.0
04-05-2020,24,4,0,24,16.67,0.0,1.0434782608695652
04-06-2020,31,4,8,23,12.9,25.81,1.2916666666666667
04-07-2020,33,5,8,25,15.15,24.24,1.064516129032258
04-08-2020,37,6,8,29,16.22,21.62,1.121212121212121
04-09-2020,37,6,8,29,16.22,21.62,1.0
04-10-2020,37,6,8,29,16.22,21.62,1.0
04-11-2020,45,6,8,37,13.33,17.78,1.2162162162162162
04-12-2020,45,6,8,37,13.33,17.78,1.0
04-13-2020,45,6,8,37,13.33,17.78,1.0
04-14-2020,47,6,8,39,12.77,17.02,1.0444444444444445
04-15-2020,55,6,8,47,10.91,14.55,1.1702127659574468
04-16-2020,55,6,8,47,10.91,14.55,1.0
04-17-2020,63,6,9,54,9.52,14.29,1.1454545454545455
04-18-2020,63,6,9,54,9.52,14.29,1.0
04-19-2020,65,7,9,56,10.77,13.85,1.0317460317460316
04-20-2020,65,7,9,56,10.77,13.85,1.0
04-21-2020,66,7,9,57,10.61,13.64,1.0153846153846153
04-22-2020,67,7,9,58,10.45,13.43,1.0151515151515151
04-23-2020,70,7,9,61,10.0,12.86,1.044776119402985
04-24-2020,73,7,12,61,9.59,16.44,1.042857142857143
04-25-2020,73,7,12,61,9.59,16.44,1.0
04-26-2020,74,8,12,62,10.81,16.22,1.0136986301369864
04-27-2020,74,8,15,59,10.81,20.27,1.0
04-28-2020,74,8,15,59,10.81,20.27,1.0
04-29-2020,78,8,18,60,10.26,23.08,1.054054054054054
04-30-2020,82,9,22,60,10.98,26.83,1.0512820512820513
05-01-2020,82,9,22,60,10.98,26.83,1.0
05-02-2020,82,9,22,60,10.98,26.83,1.0
05-03-2020,82,9,22,60,10.98,26.83,1.0
05-04-2020,92,9,27,65,9.78,29.35,1.1219512195121952
05-05-2020,93,10,27,66,10.75,29.03,1.0108695652173914
05-06-2020,93,10,27,66,10.75,29.03,1.0
05-07-2020,93,10,27,66,10.75,29.03,1.0
05-08-2020,94,10,35,59,10.64,37.23,1.010752688172043
05-09-2020,94,10,35,59,10.64,37.23,1.0
05-10-2020,104,10,35,69,9.62,33.65,1.1063829787234043
05-11-2020,109,10,36,73,9.17,33.03,1.0480769230769231
05-12-2020,113,10,36,77,8.85,31.86,1.036697247706422
05-13-2020,113,10,41,72,8.85,36.28,1.0
05-14-2020,113,10,42,71,8.85,37.17,1.0
05-15-2020,116,10,43,73,8.62,37.07,1.0265486725663717
05-16-2020,117,10,43,74,8.55,36.75,1.0086206896551724
05-17-2020,117,10,43,74,8.55,36.75,1.0
05-18-2020,124,10,44,80,8.06,35.48,1.0598290598290598
05-19-2020,125,10,46,79,8.0,36.8,1.0080645161290323
05-20-2020,125,10,47,78,8.0,37.6,1.0
05-21-2020,127,10,57,70,7.87,44.88,1.016
05-22-2020,127,10,57,70,7.87,44.88,1.0
05-23-2020,127,10,58,69,7.87,45.67,1.0
05-24-2020,135,10,62,73,7.41,45.93,1.0629921259842519
05-25-2020,137,11,62,75,8.03,45.26,1.0148148148148148
05-26-2020,139,11,62,77,7.91,44.6,1.0145985401459854
05-27-2020,139,11,67,72,7.91,48.2,1.0
05-28-2020,150,11,67,83,7.33,44.67,1.079136690647482
05-29-2020,150,11,67,83,7.33,44.67,1.0
05-30-2020,152,12,67,85,7.89,44.08,1.0133333333333334
05-31-2020,153,12,70,83,7.84,45.75,1.006578947368421
06-01-2020,153,12,70,83,7.84,45.75,1.0
06-02-2020,153,12,70,83,7.84,45.75,1.0
06-03-2020,153,12,70,83,7.84,45.75,1.0
06-04-2020,153,12,77,76,7.84,50.33,1.0
06-05-2020,153,12,77,76,7.84,50.33,1.0
06-06-2020,154,12,80,74,7.79,51.95,1.0065359477124183
06-07-2020,154,12,80,74,7.79,51.95,1.0
06-08-2020,154,12,84,70,7.79,54.55,1.0
06-09-2020,156,12,86,70,7.69,55.13,1.0129870129870129
06-10-2020,156,12,92,64,7.69,58.97,1.0
06-11-2020,158,12,92,66,7.59,58.23,1.0128205128205128
06-12-2020,159,12,95,64,7.55,59.75,1.0063291139240507
06-13-2020,159,12,95,64,7.55,59.75,1.0
06-14-2020,159,12,99,60,7.55,62.26,1.0
06-15-2020,159,12,99,60,7.55,62.26,1.0
06-16-2020,171,12,99,72,7.02,57.89,1.0754716981132075
06-17-2020,171,12,102,69,7.02,59.65,1.0
06-18-2020,183,12,102,81,6.56,55.74,1.0701754385964912
06-19-2020,183,12,102,81,6.56,55.74,1.0
06-20-2020,183,12,102,81,6.56,55.74,1.0
06-21-2020,184,12,103,81,6.52,55.98,1.005464480874317
06-22-2020,205,12,103,102,5.85,50.24,1.1141304347826086
06-23-2020,206,12,107,99,5.83,51.94,1.0048780487804878
06-24-2020,209,12,107,102,5.74,51.2,1.0145631067961165
06-25-2020,215,12,108,107,5.58,50.23,1.0287081339712918
