date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
01-26-2020,1,0,0,1,0.0,0.0,1
01-27-2020,1,0,0,1,0.0,0.0,1.0
01-28-2020,2,0,0,2,0.0,0.0,2.0
01-29-2020,2,0,0,2,0.0,0.0,1.0
01-30-2020,3,0,0,3,0.0,0.0,1.5
01-31-2020,3,0,0,3,0.0,0.0,1.0
02-01-2020,4,0,0,4,0.0,0.0,1.3333333333333333
02-02-2020,4,0,0,4,0.0,0.0,1.0
02-03-2020,4,0,0,4,0.0,0.0,1.0
02-04-2020,4,0,0,4,0.0,0.0,1.0
02-05-2020,5,0,0,5,0.0,0.0,1.25
02-06-2020,5,0,0,5,0.0,0.0,1.0
02-07-2020,7,0,0,7,0.0,0.0,1.4
02-08-2020,7,0,0,7,0.0,0.0,1.0
02-09-2020,7,0,0,7,0.0,0.0,1.0
02-10-2020,7,0,0,7,0.0,0.0,1.0
02-11-2020,7,0,0,7,0.0,0.0,1.0
02-12-2020,7,0,1,6,0.0,14.29,1.0
02-13-2020,7,0,1,6,0.0,14.29,1.0
02-14-2020,7,0,1,6,0.0,14.29,1.0
02-15-2020,7,0,1,6,0.0,14.29,1.0
02-16-2020,7,0,1,6,0.0,14.29,1.0
02-17-2020,8,0,1,7,0.0,12.5,1.1428571428571428
02-18-2020,8,0,1,7,0.0,12.5,1.0
02-19-2020,8,0,1,7,0.0,12.5,1.0
02-20-2020,8,0,1,7,0.0,12.5,1.0
02-21-2020,9,0,3,6,0.0,33.33,1.125
02-22-2020,9,0,3,6,0.0,33.33,1.0
02-23-2020,9,0,3,6,0.0,33.33,1.0
02-24-2020,10,0,3,7,0.0,30.0,1.1111111111111112
02-25-2020,11,0,3,8,0.0,27.27,1.1
02-26-2020,11,0,3,8,0.0,27.27,1.0
02-27-2020,13,0,6,7,0.0,46.15,1.1818181818181819
02-28-2020,14,0,6,8,0.0,42.86,1.0769230769230769
02-29-2020,20,0,6,14,0.0,30.0,1.4285714285714286
03-01-2020,24,0,6,18,0.0,25.0,1.2
03-02-2020,27,0,6,21,0.0,22.22,1.125
03-03-2020,30,0,6,24,0.0,20.0,1.1111111111111112
03-04-2020,33,0,6,27,0.0,18.18,1.1
03-05-2020,37,0,6,31,0.0,16.22,1.121212121212121
03-06-2020,49,0,6,43,0.0,12.24,1.3243243243243243
03-07-2020,54,0,8,46,0.0,14.81,1.1020408163265305
03-08-2020,64,0,8,56,0.0,12.5,1.1851851851851851
03-09-2020,76,1,8,68,1.32,10.53,1.1875
03-10-2020,79,1,8,71,1.27,10.13,1.0394736842105263
03-11-2020,108,1,8,100,0.93,7.41,1.3670886075949367
03-12-2020,117,1,8,109,0.85,6.84,1.0833333333333333
03-13-2020,193,1,8,185,0.52,4.15,1.6495726495726495
03-14-2020,196,1,8,188,0.51,4.08,1.0155440414507773
03-15-2020,250,1,8,242,0.4,3.2,1.2755102040816326
03-16-2020,415,4,9,406,0.96,2.17,1.6600000000000001
03-17-2020,478,6,9,469,1.26,1.88,1.1518072289156627
03-18-2020,657,11,9,648,1.67,1.37,1.3744769874476988
03-19-2020,800,11,9,791,1.38,1.13,1.21765601217656
03-20-2020,943,15,9,934,1.59,0.95,1.17875
03-21-2020,1278,19,10,1268,1.49,0.78,1.3552492046659597
03-22-2020,1470,22,0,1470,1.5,0.0,1.1502347417840375
03-23-2020,2088,29,0,2088,1.39,0.0,1.420408163265306
03-24-2020,2790,33,110,2680,1.18,3.94,1.3362068965517242
03-25-2020,3251,42,183,3068,1.29,5.63,1.1652329749103942
03-26-2020,4042,57,184,3858,1.41,4.55,1.2433097508458935
