date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
01-23-2020,0,0,0,0,NaN,NaN,1
01-25-2020,4,0,0,4,0.0,0.0,1
01-26-2020,4,0,0,4,0.0,0.0,1.0
01-27-2020,5,0,0,5,0.0,0.0,1.25
01-28-2020,5,0,0,5,0.0,0.0,1.0
01-29-2020,5,0,0,5,0.0,0.0,1.0
01-30-2020,9,0,2,7,0.0,22.22,1.8
01-31-2020,9,0,2,7,0.0,22.22,1.0
02-01-2020,12,0,2,10,0.0,16.67,1.3333333333333333
02-02-2020,12,0,2,10,0.0,16.67,1.0
02-03-2020,12,0,2,10,0.0,16.67,1.0
02-04-2020,13,0,2,11,0.0,15.38,1.0833333333333333
02-05-2020,13,0,2,11,0.0,15.38,1.0
02-06-2020,14,0,2,12,0.0,14.29,1.0769230769230769
02-07-2020,15,0,2,13,0.0,13.33,1.0714285714285714
02-08-2020,15,0,2,13,0.0,13.33,1.0
02-09-2020,15,0,2,13,0.0,13.33,1.0
02-10-2020,15,0,2,13,0.0,13.33,1.0
02-11-2020,15,0,2,13,0.0,13.33,1.0
02-12-2020,15,0,2,13,0.0,13.33,1.0
02-13-2020,15,0,8,7,0.0,53.33,1.0
02-14-2020,15,0,8,7,0.0,53.33,1.0
02-15-2020,15,0,8,7,0.0,53.33,1.0
02-16-2020,15,0,8,7,0.0,53.33,1.0
02-17-2020,15,0,10,5,0.0,66.67,1.0
02-18-2020,15,0,10,5,0.0,66.67,1.0
02-19-2020,15,0,10,5,0.0,66.67,1.0
02-20-2020,15,0,10,5,0.0,66.67,1.0
02-21-2020,19,0,11,8,0.0,57.89,1.2666666666666666
02-22-2020,22,0,11,11,0.0,50.0,1.1578947368421053
02-23-2020,22,0,11,11,0.0,50.0,1.0
02-24-2020,22,0,11,11,0.0,50.0,1.0
02-25-2020,22,0,11,11,0.0,50.0,1.0
02-26-2020,22,0,11,11,0.0,50.0,1.0
02-27-2020,23,0,11,12,0.0,47.83,1.0454545454545454
02-28-2020,23,0,11,12,0.0,47.83,1.0
02-29-2020,25,0,11,14,0.0,44.0,1.0869565217391304
03-01-2020,27,1,11,16,3.7,40.74,1.08
03-02-2020,30,1,11,19,3.33,36.67,1.1111111111111112
03-03-2020,39,1,11,28,2.56,28.21,1.3
03-04-2020,52,2,11,41,3.85,21.15,1.3333333333333333
03-05-2020,55,2,21,34,3.64,38.18,1.0576923076923077
03-06-2020,60,2,21,39,3.33,35.0,1.0909090909090908
03-07-2020,63,2,21,42,3.17,33.33,1.05
03-08-2020,76,4,21,55,5.26,27.63,1.2063492063492063
03-09-2020,91,4,21,70,4.4,23.08,1.1973684210526316
03-10-2020,107,3,21,86,2.8,19.63,1.1758241758241759
03-11-2020,128,3,21,107,2.34,16.41,1.1962616822429906
03-12-2020,128,3,21,107,2.34,16.41,1.0
03-13-2020,200,3,23,177,1.5,11.5,1.5625
03-14-2020,250,3,23,227,1.2,9.2,1.25
03-15-2020,297,3,23,274,1.01,7.74,1.188
03-16-2020,377,3,23,354,0.8,6.1,1.2693602693602695
03-17-2020,452,5,23,429,1.11,5.09,1.1989389920424403
03-18-2020,568,6,23,545,1.06,4.05,1.2566371681415929
03-19-2020,681,6,26,655,0.88,3.82,1.198943661971831
03-20-2020,791,7,26,765,0.88,3.29,1.1615271659324522
03-21-2020,1071,7,26,1045,0.65,2.43,1.3539823008849559
03-22-2020,1490,7,92,1398,0.47,6.17,1.3912231559290382
03-23-2020,1682,7,119,1563,0.42,7.07,1.1288590604026845
03-24-2020,2044,8,119,1925,0.39,5.82,1.2152199762187872
03-25-2020,2364,8,119,2245,0.34,5.03,1.1565557729941291
03-26-2020,2810,13,172,2638,0.46,6.12,1.1886632825719121
