date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-13-2020,1,0,0,1,0.0,0.0,1
03-14-2020,1,0,0,1,0.0,0.0,1.0
03-15-2020,1,0,0,1,0.0,0.0,1.0
03-16-2020,5,0,0,5,0.0,0.0,5.0
03-17-2020,5,0,0,5,0.0,0.0,1.0
03-18-2020,6,0,0,6,0.0,0.0,1.2
03-19-2020,6,0,0,6,0.0,0.0,1.0
03-20-2020,9,0,0,9,0.0,0.0,1.5
03-21-2020,9,0,0,9,0.0,0.0,1.0
03-22-2020,11,0,0,11,0.0,0.0,1.2222222222222223
03-23-2020,11,0,0,11,0.0,0.0,1.0
03-24-2020,12,0,0,12,0.0,0.0,1.0909090909090908
03-25-2020,12,0,0,12,0.0,0.0,1.0
03-26-2020,12,0,0,12,0.0,0.0,1.0
03-27-2020,16,0,0,16,0.0,0.0,1.3333333333333333
03-28-2020,16,0,1,15,0.0,6.25,1.0
03-29-2020,21,0,1,20,0.0,4.76,1.3125
03-30-2020,23,0,4,19,0.0,17.39,1.0952380952380953
03-31-2020,26,0,2,24,0.0,7.69,1.1304347826086956
04-01-2020,29,0,2,27,0.0,6.9,1.1153846153846154
04-02-2020,29,0,3,26,0.0,10.34,1.0
04-03-2020,35,0,3,32,0.0,8.57,1.206896551724138
04-04-2020,38,0,4,34,0.0,10.53,1.0857142857142856
04-05-2020,43,2,4,39,4.65,9.3,1.131578947368421
04-06-2020,44,2,4,40,4.55,9.09,1.0232558139534884
04-07-2020,52,2,4,48,3.85,7.69,1.1818181818181819
04-08-2020,55,2,4,51,3.64,7.27,1.0576923076923077
04-09-2020,56,2,4,52,3.57,7.14,1.018181818181818
04-10-2020,65,3,4,61,4.62,6.15,1.1607142857142858
04-11-2020,69,3,10,59,4.35,14.49,1.0615384615384615
04-12-2020,71,3,10,61,4.23,14.08,1.0289855072463767
04-13-2020,74,3,14,60,4.05,18.92,1.0422535211267605
04-14-2020,82,3,14,68,3.66,17.07,1.1081081081081081
04-15-2020,85,3,15,70,3.53,17.65,1.0365853658536586
04-16-2020,92,3,15,77,3.26,16.3,1.0823529411764705
04-17-2020,96,3,15,81,3.13,15.63,1.0434782608695652
04-18-2020,105,3,16,89,2.86,15.24,1.09375
04-19-2020,108,3,16,92,2.78,14.81,1.0285714285714285
04-20-2020,111,3,16,95,2.7,14.41,1.0277777777777777
04-21-2020,114,3,16,98,2.63,14.04,1.027027027027027
04-22-2020,116,3,21,95,2.59,18.1,1.0175438596491229
04-23-2020,116,3,21,95,2.59,18.1,1.0
04-24-2020,117,3,25,92,2.56,21.37,1.0086206896551724
04-25-2020,122,3,29,93,2.46,23.77,1.0427350427350428
04-26-2020,123,3,41,82,2.44,33.33,1.0081967213114753
04-27-2020,124,3,50,74,2.42,40.32,1.008130081300813
04-28-2020,126,3,50,76,2.38,39.68,1.0161290322580645
04-29-2020,130,3,58,72,2.31,44.62,1.0317460317460316
04-30-2020,131,3,59,72,2.29,45.04,1.0076923076923077
05-01-2020,133,3,66,67,2.26,49.62,1.015267175572519
05-02-2020,133,3,69,64,2.26,51.88,1.0
05-03-2020,135,3,75,60,2.22,55.56,1.0150375939849625
05-04-2020,140,3,75,65,2.14,53.57,1.037037037037037
05-05-2020,145,4,91,54,2.76,62.76,1.0357142857142858
05-06-2020,162,4,93,69,2.47,57.41,1.1172413793103448
05-07-2020,191,4,93,98,2.09,48.69,1.1790123456790123
05-08-2020,194,4,95,99,2.06,48.97,1.0157068062827226
05-09-2020,210,5,97,113,2.38,46.19,1.0824742268041236
05-10-2020,239,5,99,140,2.09,41.42,1.138095238095238
05-11-2020,250,5,105,145,2.0,42.0,1.0460251046025104
05-12-2020,261,5,106,155,1.92,40.61,1.044
05-13-2020,263,5,108,155,1.9,41.06,1.0076628352490422
05-14-2020,272,5,108,164,1.84,39.71,1.0342205323193916
05-15-2020,287,5,112,175,1.74,39.02,1.0551470588235294
05-16-2020,306,5,113,193,1.63,36.93,1.0662020905923344
05-17-2020,317,5,113,204,1.58,35.65,1.0359477124183007
05-18-2020,352,5,116,236,1.42,32.95,1.110410094637224
05-19-2020,365,5,120,245,1.37,32.88,1.0369318181818181
05-20-2020,389,5,122,267,1.29,31.36,1.0657534246575342
05-21-2020,399,5,123,276,1.25,30.83,1.025706940874036
05-22-2020,433,5,128,305,1.15,29.56,1.0852130325814535
05-23-2020,494,5,151,343,1.01,30.57,1.140877598152425
05-24-2020,582,5,152,430,0.86,26.12,1.1781376518218623
05-25-2020,655,5,159,496,0.76,24.27,1.1254295532646048
05-26-2020,701,6,167,534,0.86,23.82,1.0702290076335879
05-27-2020,731,6,181,550,0.82,24.76,1.042796005706134
05-28-2020,831,7,191,640,0.84,22.98,1.136798905608755
05-29-2020,968,8,197,771,0.83,20.35,1.1648616125150422
05-30-2020,1063,8,208,855,0.75,19.57,1.0981404958677685
