date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-25-2020,2,0,0,2,0.0,0.0,1
03-26-2020,2,0,0,2,0.0,0.0,1.0
03-27-2020,2,0,0,2,0.0,0.0,1.0
03-28-2020,2,0,0,2,0.0,0.0,1.0
03-29-2020,2,0,0,2,0.0,0.0,1.0
03-30-2020,7,0,0,7,0.0,0.0,3.5
03-31-2020,8,0,0,8,0.0,0.0,1.1428571428571428
04-01-2020,8,0,0,8,0.0,0.0,1.0
04-02-2020,9,0,0,9,0.0,0.0,1.125
04-03-2020,9,0,0,9,0.0,0.0,1.0
04-04-2020,9,0,0,9,0.0,0.0,1.0
04-05-2020,10,0,0,10,0.0,0.0,1.1111111111111112
04-06-2020,10,0,0,10,0.0,0.0,1.0
04-07-2020,11,0,0,11,0.0,0.0,1.1
04-08-2020,11,0,0,11,0.0,0.0,1.0
04-09-2020,11,0,0,11,0.0,0.0,1.0
04-10-2020,12,0,0,12,0.0,0.0,1.0909090909090908
04-11-2020,12,0,0,12,0.0,0.0,1.0
04-12-2020,12,0,0,12,0.0,0.0,1.0
04-13-2020,12,0,0,12,0.0,0.0,1.0
04-14-2020,14,0,0,14,0.0,0.0,1.1666666666666667
04-15-2020,14,0,0,14,0.0,0.0,1.0
04-16-2020,14,0,0,14,0.0,0.0,1.0
04-17-2020,14,0,0,14,0.0,0.0,1.0
04-18-2020,14,0,0,14,0.0,0.0,1.0
04-19-2020,14,0,0,14,0.0,0.0,1.0
04-20-2020,15,0,0,15,0.0,0.0,1.0714285714285714
04-21-2020,15,0,0,15,0.0,0.0,1.0
04-22-2020,15,0,1,14,0.0,6.67,1.0
04-23-2020,15,0,1,14,0.0,6.67,1.0
04-24-2020,15,0,2,13,0.0,13.33,1.0
04-25-2020,15,0,2,13,0.0,13.33,1.0
04-26-2020,15,0,2,13,0.0,13.33,1.0
04-27-2020,15,0,2,13,0.0,13.33,1.0
04-28-2020,15,0,4,11,0.0,26.67,1.0
04-29-2020,15,0,4,11,0.0,26.67,1.0
04-30-2020,15,0,6,9,0.0,40.0,1.0
05-01-2020,15,0,8,7,0.0,53.33,1.0
05-02-2020,15,0,8,7,0.0,53.33,1.0
