date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-22-2020,4,0,0,4,0.0,0.0,1
03-23-2020,4,0,0,4,0.0,0.0,1.0
03-24-2020,5,0,1,4,0.0,20.0,1.25
03-25-2020,5,0,1,4,0.0,20.0,1.0
03-26-2020,9,0,1,8,0.0,11.11,1.8
03-27-2020,10,0,1,9,0.0,10.0,1.1111111111111112
03-28-2020,10,0,1,9,0.0,10.0,1.0
03-29-2020,11,0,1,10,0.0,9.09,1.1
03-30-2020,14,0,1,13,0.0,7.14,1.2727272727272727
03-31-2020,14,0,1,13,0.0,7.14,1.0
04-01-2020,21,1,1,20,4.76,4.76,1.5
04-02-2020,24,1,1,23,4.17,4.17,1.1428571428571428
04-03-2020,24,1,1,23,4.17,4.17,1.0
04-04-2020,28,4,0,28,14.29,0.0,1.1666666666666667
04-05-2020,28,4,0,28,14.29,0.0,1.0
04-06-2020,29,5,4,25,17.24,13.79,1.0357142857142858
04-07-2020,33,6,5,28,18.18,15.15,1.1379310344827587
04-08-2020,40,7,5,35,17.5,12.5,1.2121212121212122
04-09-2020,41,8,5,36,19.51,12.2,1.025
04-10-2020,42,8,5,37,19.05,11.9,1.024390243902439
04-11-2020,46,8,5,41,17.39,10.87,1.0952380952380953
04-12-2020,46,8,5,41,17.39,10.87,1.0
04-13-2020,47,8,6,41,17.02,12.77,1.0217391304347827
04-14-2020,49,8,6,43,16.33,12.24,1.0425531914893618
04-15-2020,49,8,6,43,16.33,12.24,1.0
04-16-2020,53,8,6,47,15.09,11.32,1.0816326530612246
04-17-2020,54,9,6,48,16.67,11.11,1.0188679245283019
04-18-2020,55,9,10,45,16.36,18.18,1.0185185185185186
04-19-2020,55,9,10,45,16.36,18.18,1.0
04-20-2020,60,9,11,49,15.0,18.33,1.0909090909090908
04-21-2020,65,9,12,53,13.85,18.46,1.0833333333333333
04-22-2020,65,9,12,53,13.85,18.46,1.0
04-23-2020,72,11,14,58,15.28,19.44,1.1076923076923078
04-24-2020,73,11,15,58,15.07,20.55,1.0138888888888888
04-25-2020,78,11,15,63,14.1,19.23,1.0684931506849316
04-26-2020,80,11,22,58,13.75,27.5,1.0256410256410255
04-27-2020,80,11,22,58,13.75,27.5,1.0
04-28-2020,80,11,23,57,13.75,28.75,1.0
04-29-2020,80,11,23,57,13.75,28.75,1.0
04-30-2020,81,11,25,56,13.58,30.86,1.0125
05-01-2020,81,11,24,57,13.58,29.63,1.0
05-02-2020,83,11,24,59,13.25,28.92,1.0246913580246915
05-03-2020,83,11,24,59,13.25,28.92,1.0
05-04-2020,83,11,25,58,13.25,30.12,1.0
05-05-2020,89,11,26,63,12.36,29.21,1.072289156626506
05-06-2020,92,11,26,66,11.96,28.26,1.0337078651685394
05-07-2020,92,11,26,66,11.96,28.26,1.0
05-08-2020,92,11,31,61,11.96,33.7,1.0
05-09-2020,92,11,37,55,11.96,40.22,1.0
05-10-2020,92,11,37,55,11.96,40.22,1.0
05-11-2020,93,11,39,54,11.83,41.94,1.0108695652173914
05-12-2020,93,11,39,54,11.83,41.94,1.0
05-13-2020,94,11,41,53,11.7,43.62,1.010752688172043
05-14-2020,96,11,41,55,11.46,42.71,1.0212765957446808
05-15-2020,96,11,41,55,11.46,42.71,1.0
05-16-2020,96,11,42,54,11.46,43.75,1.0
05-17-2020,96,11,42,54,11.46,43.75,1.0
05-18-2020,96,11,43,53,11.46,44.79,1.0
05-19-2020,96,11,43,53,11.46,44.79,1.0
05-20-2020,97,11,43,54,11.34,44.33,1.0104166666666667
05-21-2020,97,11,44,53,11.34,45.36,1.0
05-22-2020,97,11,44,53,11.34,45.36,1.0
05-23-2020,100,11,45,55,11.0,45.0,1.0309278350515463
05-24-2020,100,11,45,55,11.0,45.0,1.0
05-25-2020,100,11,46,54,11.0,46.0,1.0
05-26-2020,100,11,46,54,11.0,46.0,1.0
05-27-2020,100,11,46,54,11.0,46.0,1.0
05-28-2020,101,11,47,54,10.89,46.53,1.01
05-29-2020,102,11,48,54,10.78,47.06,1.00990099009901
05-30-2020,102,11,48,54,10.78,47.06,1.0
05-31-2020,102,11,48,54,10.78,47.06,1.0
06-01-2020,102,11,49,53,10.78,48.04,1.0
06-02-2020,102,11,49,53,10.78,48.04,1.0
06-03-2020,102,11,55,47,10.78,53.92,1.0
06-04-2020,102,11,55,47,10.78,53.92,1.0
06-05-2020,102,11,55,47,10.78,53.92,1.0
06-06-2020,103,11,62,41,10.68,60.19,1.0098039215686274
06-07-2020,103,11,62,41,10.68,60.19,1.0
06-08-2020,103,11,64,39,10.68,62.14,1.0
06-09-2020,103,11,64,39,10.68,62.14,1.0
06-10-2020,103,11,67,36,10.68,65.05,1.0
06-11-2020,103,11,68,35,10.68,66.02,1.0
06-12-2020,103,11,68,35,10.68,66.02,1.0
06-13-2020,103,11,68,35,10.68,66.02,1.0
06-14-2020,103,11,68,35,10.68,66.02,1.0
