date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-06-2020,1,1,0,1,100.0,0,1
03-07-2020,1,1,0,1,100.0,0,1.0
03-08-2020,6,2,0,6,33.33,0,6.0
03-09-2020,7,2,0,7,28.57,0,1.1666666666666667
03-10-2020,11,2,0,11,18.18,0,1.5714285714285714
03-11-2020,11,2,0,11,18.18,0,1.0
03-12-2020,15,3,0,15,20.0,0,1.3636363636363638
03-13-2020,28,3,0,28,10.71,0,1.8666666666666667
03-14-2020,38,3,0,38,7.89,0,1.3571428571428572
03-15-2020,43,5,0,43,11.63,0,1.131578947368421
03-16-2020,86,5,0,86,5.81,0,2.0
03-17-2020,117,9,1,116,7.69,0.85,1.3604651162790697
03-18-2020,145,15,1,144,10.34,0.69,1.2393162393162394
03-19-2020,234,20,1,233,8.55,0.43,1.613793103448276
03-20-2020,234,26,1,233,11.11,0.43,1.0
03-21-2020,318,30,1,317,9.43,0.31,1.358974358974359
03-22-2020,363,34,1,362,9.37,0.28,1.1415094339622642
03-23-2020,395,39,1,394,9.87,0.25,1.0881542699724518
03-24-2020,416,45,1,415,10.82,0.24,1.0531645569620254
03-25-2020,480,57,1,479,11.88,0.21,1.1538461538461537
03-26-2020,580,63,14,566,10.86,2.41,1.2083333333333333
03-27-2020,635,71,16,619,11.18,2.52,1.0948275862068966
03-28-2020,671,86,16,655,12.82,2.38,1.0566929133858267
03-29-2020,852,95,16,836,11.15,1.88,1.2697466467958272
03-30-2020,950,113,53,897,11.89,5.58,1.1150234741784038
03-31-2020,1065,138,394,671,12.96,37.0,1.1210526315789473
04-01-2020,1323,161,394,929,12.17,29.78,1.2422535211267607
04-02-2020,1414,183,537,877,12.94,37.98,1.0687830687830688
04-03-2020,1595,209,537,1058,13.1,33.67,1.128005657708628
04-04-2020,1746,258,914,832,14.78,52.35,1.0946708463949844
04-05-2020,2281,317,989,1292,13.9,43.36,1.3064146620847652
04-06-2020,2561,360,997,1564,14.06,38.93,1.122753178430513
04-07-2020,2954,423,1301,1653,14.32,44.04,1.1534556813744632
04-08-2020,4342,471,1333,3009,10.85,30.7,1.4698713608666214
04-09-2020,5256,569,1438,3818,10.83,27.36,1.210502072777522
