date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-20-2020,1,0,0,1,0.0,0.0,1
03-21-2020,2,0,0,2,0.0,0.0,2.0
03-22-2020,2,0,0,2,0.0,0.0,1.0
03-23-2020,3,0,0,3,0.0,0.0,1.5
03-24-2020,3,0,0,3,0.0,0.0,1.0
03-25-2020,3,0,0,3,0.0,0.0,1.0
03-26-2020,4,0,0,4,0.0,0.0,1.3333333333333333
03-27-2020,4,0,0,4,0.0,0.0,1.0
03-28-2020,5,0,0,5,0.0,0.0,1.25
03-29-2020,7,2,0,7,28.57,0.0,1.4
03-30-2020,7,2,0,7,28.57,0.0,1.0
03-31-2020,7,2,1,6,28.57,14.29,1.0
04-01-2020,8,2,1,7,25.0,12.5,1.1428571428571428
04-02-2020,8,2,1,7,25.0,12.5,1.0
04-03-2020,8,2,1,7,25.0,12.5,1.0
04-04-2020,10,2,2,8,20.0,20.0,1.25
04-05-2020,14,2,2,12,14.29,14.29,1.4
04-06-2020,16,2,2,14,12.5,12.5,1.1428571428571428
04-07-2020,17,2,2,15,11.76,11.76,1.0625
04-08-2020,19,2,2,17,10.53,10.53,1.1176470588235294
04-09-2020,19,2,2,17,10.53,10.53,1.0
04-10-2020,19,2,2,17,10.53,10.53,1.0
04-11-2020,19,2,4,15,10.53,21.05,1.0
04-12-2020,19,2,4,15,10.53,21.05,1.0
04-13-2020,19,2,4,15,10.53,21.05,1.0
04-14-2020,19,2,5,14,10.53,26.32,1.0
04-15-2020,19,2,5,14,10.53,26.32,1.0
04-16-2020,19,2,5,14,10.53,26.32,1.0
04-17-2020,19,2,5,14,10.53,26.32,1.0
04-18-2020,24,2,6,18,8.33,25.0,1.263157894736842
04-19-2020,24,2,6,18,8.33,25.0,1.0
04-20-2020,24,2,6,18,8.33,25.0,1.0
04-21-2020,24,2,6,18,8.33,25.0,1.0
04-22-2020,25,2,6,19,8.0,24.0,1.0416666666666667
04-23-2020,25,2,6,19,8.0,24.0,1.0
04-24-2020,25,2,6,19,8.0,24.0,1.0
04-25-2020,25,2,6,19,8.0,24.0,1.0
04-26-2020,26,2,6,20,7.69,23.08,1.04
04-27-2020,27,2,6,21,7.41,22.22,1.0384615384615385
04-28-2020,27,2,6,21,7.41,22.22,1.0
04-29-2020,27,2,7,20,7.41,25.93,1.0
04-30-2020,27,2,7,20,7.41,25.93,1.0
05-01-2020,30,2,11,19,6.67,36.67,1.1111111111111112
05-02-2020,35,2,11,24,5.71,31.43,1.1666666666666667
05-03-2020,35,2,11,24,5.71,31.43,1.0
05-04-2020,35,2,11,24,5.71,31.43,1.0
05-05-2020,36,2,11,25,5.56,30.56,1.0285714285714285
05-06-2020,36,2,11,25,5.56,30.56,1.0
05-07-2020,36,2,11,25,5.56,30.56,1.0
05-08-2020,43,2,11,32,4.65,25.58,1.1944444444444444
05-09-2020,43,2,13,30,4.65,30.23,1.0
05-10-2020,45,2,13,32,4.44,28.89,1.0465116279069768
05-11-2020,45,2,13,32,4.44,28.89,1.0
05-12-2020,45,2,13,32,4.44,28.89,1.0
05-13-2020,45,2,14,31,4.44,31.11,1.0
05-14-2020,48,2,14,34,4.17,29.17,1.0666666666666667
05-15-2020,48,2,17,31,4.17,35.42,1.0
05-16-2020,48,2,17,31,4.17,35.42,1.0
05-17-2020,48,2,17,31,4.17,35.42,1.0
05-18-2020,50,3,17,33,6.0,34.0,1.0416666666666667
05-19-2020,52,3,17,35,5.77,32.69,1.04
05-20-2020,52,3,17,35,5.77,32.69,1.0
05-21-2020,58,3,17,41,5.17,29.31,1.1153846153846154
05-22-2020,60,3,17,43,5.0,28.33,1.0344827586206897
05-23-2020,61,4,18,43,6.56,29.51,1.0166666666666666
05-24-2020,69,4,18,51,5.8,26.09,1.1311475409836065
05-25-2020,70,4,18,52,5.71,25.71,1.0144927536231885
05-26-2020,70,4,18,52,5.71,25.71,1.0
05-27-2020,71,4,18,53,5.63,25.35,1.0142857142857142
05-28-2020,74,4,18,56,5.41,24.32,1.0422535211267605
05-29-2020,81,4,18,63,4.94,22.22,1.0945945945945945
05-30-2020,84,4,18,66,4.76,21.43,1.037037037037037
