date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-11-2020,1,0,0,1,0.0,0.0,1
03-12-2020,1,0,0,1,0.0,0.0,1.0
03-13-2020,2,0,0,2,0.0,0.0,2.0
03-14-2020,2,0,0,2,0.0,0.0,1.0
03-15-2020,2,0,0,2,0.0,0.0,1.0
03-16-2020,2,0,0,2,0.0,0.0,1.0
03-17-2020,3,0,0,3,0.0,0.0,1.5
03-18-2020,4,0,0,4,0.0,0.0,1.3333333333333333
03-19-2020,14,0,0,14,0.0,0.0,3.5
03-20-2020,18,0,0,18,0.0,0.0,1.2857142857142856
03-21-2020,23,1,0,23,4.35,0.0,1.2777777777777777
03-22-2020,30,1,0,30,3.33,0.0,1.3043478260869565
03-23-2020,36,1,0,36,2.78,0.0,1.2
03-24-2020,45,2,0,45,4.44,0.0,1.25
03-25-2020,48,2,0,48,4.17,0.0,1.0666666666666667
03-26-2020,51,3,0,51,5.88,0.0,1.0625
03-27-2020,51,3,2,49,5.88,3.92,1.0
03-28-2020,65,6,2,63,9.23,3.08,1.2745098039215685
03-29-2020,65,6,2,63,9.23,3.08,1.0
03-30-2020,81,8,2,79,9.88,2.47,1.2461538461538462
03-31-2020,98,8,2,96,8.16,2.04,1.2098765432098766
04-01-2020,109,9,3,106,8.26,2.75,1.1122448979591837
04-02-2020,134,13,3,131,9.7,2.24,1.2293577981651376
04-03-2020,134,13,3,131,9.7,2.24,1.0
04-04-2020,154,18,3,151,11.69,1.95,1.1492537313432836
04-05-2020,154,18,3,151,11.69,1.95,1.0
04-06-2020,161,18,5,156,11.18,3.11,1.0454545454545454
04-07-2020,180,18,9,171,10.0,5.0,1.1180124223602483
04-08-2020,180,18,9,171,10.0,5.0,1.0
04-09-2020,180,18,9,171,10.0,5.0,1.0
04-10-2020,215,20,13,202,9.3,6.05,1.1944444444444444
04-11-2020,223,20,16,207,8.97,7.17,1.0372093023255813
04-12-2020,234,20,16,218,8.55,6.84,1.0493273542600896
04-13-2020,235,20,17,218,8.51,7.23,1.0042735042735043
04-14-2020,241,20,20,221,8.3,8.3,1.025531914893617
04-15-2020,254,21,21,233,8.27,8.27,1.053941908713693
04-16-2020,267,22,23,244,8.24,8.61,1.0511811023622046
04-17-2020,287,23,25,262,8.01,8.71,1.0749063670411985
04-18-2020,307,25,26,281,8.14,8.47,1.0696864111498259
04-19-2020,327,25,26,301,7.65,7.95,1.0651465798045603
04-20-2020,332,25,27,305,7.53,8.13,1.0152905198776758
04-21-2020,350,25,35,315,7.14,10.0,1.0542168674698795
04-22-2020,359,25,45,314,6.96,12.53,1.0257142857142858
04-23-2020,377,25,47,330,6.63,12.47,1.0501392757660166
04-24-2020,394,25,48,346,6.35,12.18,1.0450928381962865
04-25-2020,416,28,49,367,6.73,11.78,1.0558375634517767
04-26-2020,442,28,50,392,6.33,11.31,1.0625
04-27-2020,459,28,50,409,6.1,10.89,1.0384615384615385
04-28-2020,471,30,56,415,6.37,11.89,1.026143790849673
04-29-2020,491,30,59,432,6.11,12.02,1.0424628450106157
04-30-2020,572,31,73,499,5.42,12.76,1.164969450101833
05-01-2020,604,32,75,529,5.3,12.42,1.055944055944056
05-02-2020,674,33,75,599,4.9,11.13,1.1158940397350994
05-03-2020,674,33,75,599,4.9,11.13,1.0
05-04-2020,682,34,80,602,4.99,11.73,1.0118694362017804
05-05-2020,705,34,90,615,4.82,12.77,1.033724340175953
05-06-2020,797,35,92,705,4.39,11.54,1.1304964539007092
05-07-2020,863,36,103,760,4.17,11.94,1.0828105395232122
05-08-2020,937,39,130,807,4.16,13.87,1.085747392815759
05-09-2020,937,39,130,807,4.16,13.87,1.0
05-10-2020,991,41,136,855,4.14,13.72,1.0576307363927429
05-11-2020,1024,41,141,883,4.0,13.77,1.0332996972754793
05-12-2020,1102,44,146,956,3.99,13.25,1.076171875
05-13-2020,1169,50,148,1021,4.28,12.66,1.0607985480943738
05-14-2020,1242,50,157,1085,4.03,12.64,1.0624465355004278
05-15-2020,1298,50,212,1086,3.85,16.33,1.0450885668276972
05-16-2020,1455,61,270,1185,4.19,18.56,1.12095531587057
05-17-2020,1455,61,270,1185,4.19,18.56,1.0
05-18-2020,1538,61,272,1266,3.97,17.69,1.057044673539519
05-19-2020,1629,61,290,1339,3.74,17.8,1.0591677503250976
05-20-2020,1731,61,302,1429,3.52,17.45,1.0626151012891345
05-21-2020,1835,61,303,1532,3.32,16.51,1.0600808781051416
05-22-2020,1945,63,312,1633,3.24,16.04,1.0599455040871935
05-23-2020,2025,63,312,1713,3.11,15.41,1.0411311053984575
05-24-2020,2141,63,317,1824,2.94,14.81,1.057283950617284
05-25-2020,2297,67,337,1960,2.92,14.67,1.0728631480616535
05-26-2020,2403,68,340,2063,2.83,14.15,1.046147148454506
05-27-2020,2546,68,365,2181,2.67,14.34,1.0595089471493966
05-28-2020,2660,69,381,2279,2.59,14.32,1.044776119402985
05-29-2020,2833,69,400,2433,2.44,14.12,1.0650375939849623
05-30-2020,2966,69,428,2538,2.33,14.43,1.046946699611719
05-31-2020,3070,72,448,2622,2.35,14.59,1.0350640593391773
06-01-2020,3195,72,454,2741,2.25,14.21,1.0407166123778502
06-02-2020,3326,72,482,2844,2.16,14.49,1.0410015649452269
06-03-2020,3495,75,492,3003,2.15,14.08,1.050811785929044
06-04-2020,3644,78,495,3149,2.14,13.58,1.0426323319027182
06-05-2020,3764,81,512,3252,2.15,13.6,1.0329308452250274
06-06-2020,3878,82,537,3341,2.11,13.85,1.0302869287991498
06-07-2020,4016,85,537,3479,2.12,13.37,1.035585353274884
06-08-2020,4106,88,537,3569,2.14,13.08,1.0224103585657371
06-09-2020,4259,90,539,3720,2.11,12.66,1.0372625426205553
06-10-2020,4390,96,565,3825,2.19,12.87,1.0307583939891993
06-11-2020,4515,98,567,3948,2.17,12.56,1.0284738041002277
06-12-2020,4637,101,580,4057,2.18,12.51,1.0270210409745293
06-13-2020,4724,106,595,4129,2.24,12.6,1.0187621306879449
06-14-2020,4778,107,600,4178,2.24,12.56,1.0114309906858594
06-15-2020,4837,112,613,4224,2.32,12.67,1.0123482628714944
06-16-2020,4974,112,628,4346,2.25,12.63,1.0283233409137895
06-17-2020,5100,115,640,4460,2.25,12.55,1.0253317249698433
06-18-2020,5283,117,685,4598,2.21,12.97,1.0358823529411765
06-19-2020,5477,122,719,4758,2.23,13.13,1.0367215597198562
06-20-2020,5672,125,807,4865,2.2,14.23,1.03560343253606
06-21-2020,5826,130,841,4985,2.23,14.44,1.027150916784203
06-22-2020,5924,135,856,5068,2.28,14.45,1.0168211465842774
06-23-2020,6027,135,861,5166,2.24,14.29,1.0173869007427414
06-24-2020,6213,142,870,5343,2.29,14.0,1.03086112493778
06-25-2020,6411,142,885,5526,2.21,13.8,1.031868662481893
06-26-2020,6552,149,900,5652,2.27,13.74,1.0219934487599438
06-27-2020,6690,153,937,5753,2.29,14.01,1.021062271062271
06-28-2020,6827,157,985,5842,2.3,14.43,1.0204783258594918
06-29-2020,6939,167,1050,5889,2.41,15.13,1.016405448952688
06-30-2020,7039,170,1426,5613,2.42,20.26,1.0144112984579912
07-01-2020,7122,175,1785,5337,2.46,25.06,1.0117914476488137
07-02-2020,7189,176,2317,4872,2.45,32.23,1.0094074698118507
07-03-2020,7311,179,2684,4627,2.45,36.71,1.0169703714007512
07-04-2020,7379,182,2961,4418,2.47,40.13,1.0093010532074955
07-05-2020,7411,182,3184,4227,2.46,42.96,1.0043366309798076
07-06-2020,7432,182,3226,4206,2.45,43.41,1.0028336256915396
07-07-2020,7432,182,3226,4206,2.45,43.41,1.0
07-08-2020,7432,182,3226,4206,2.45,43.41,1.0
07-09-2020,7846,189,3513,4333,2.41,44.77,1.0557050592034445
07-10-2020,7905,189,3513,4392,2.39,44.44,1.0075197552893194
07-11-2020,7971,189,3615,4356,2.37,45.35,1.0083491461100569
07-12-2020,8033,189,3615,4418,2.35,45.0,1.0077781959603562
07-13-2020,8075,190,3620,4455,2.35,44.83,1.0052284327150505
07-14-2020,8135,190,3948,4187,2.34,48.53,1.0074303405572755
07-15-2020,8163,192,3983,4180,2.35,48.79,1.003441917639828
07-16-2020,8199,193,4248,3951,2.35,51.81,1.0044101433296582
07-17-2020,8249,193,4248,4001,2.34,51.5,1.0060983046713015
07-18-2020,8324,193,4313,4011,2.32,51.81,1.009092011152867
07-19-2020,8403,194,4335,4068,2.31,51.59,1.0094906295050456
07-20-2020,8443,194,4335,4108,2.3,51.34,1.0047602046888016
07-21-2020,8534,196,4528,4006,2.3,53.06,1.0107781594220064
07-22-2020,8626,197,4790,3836,2.28,55.53,1.0107804077806422
07-23-2020,8720,201,5105,3615,2.31,58.54,1.0108972872710411
07-24-2020,8767,201,5109,3658,2.29,58.28,1.0053899082568807
07-25-2020,8801,204,5305,3496,2.32,60.28,1.0038781795368998
07-26-2020,8831,204,5510,3321,2.31,62.39,1.003408703556414
