date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-02-2020,2,0,0,2,0.0,0.0,1
03-03-2020,2,0,0,2,0.0,0.0,1.0
03-04-2020,5,0,0,5,0.0,0.0,2.5
03-05-2020,8,0,0,8,0.0,0.0,1.6
03-06-2020,13,0,0,13,0.0,0.0,1.625
03-07-2020,20,0,0,20,0.0,0.0,1.5384615384615383
03-08-2020,30,0,0,30,0.0,0.0,1.5
03-09-2020,30,0,0,30,0.0,0.0,1.0
03-10-2020,41,0,0,41,0.0,0.0,1.3666666666666667
03-11-2020,59,0,0,59,0.0,0.0,1.4390243902439024
03-12-2020,59,0,0,59,0.0,0.0,1.0
03-13-2020,112,0,1,111,0.0,0.89,1.8983050847457628
03-14-2020,169,0,2,167,0.0,1.18,1.5089285714285714
03-15-2020,245,0,2,243,0.0,0.82,1.4497041420118344
03-16-2020,331,0,3,328,0.0,0.91,1.3510204081632653
03-17-2020,448,1,3,445,0.22,0.67,1.353474320241692
03-18-2020,448,2,3,445,0.45,0.67,1.0
03-19-2020,785,3,3,782,0.38,0.38,1.7522321428571428
03-20-2020,1020,6,5,1015,0.59,0.49,1.2993630573248407
03-21-2020,1280,12,5,1275,0.94,0.39,1.2549019607843137
03-22-2020,1600,14,5,1595,0.88,0.31,1.25
03-23-2020,2060,23,14,2046,1.12,0.68,1.2875
03-24-2020,2362,33,22,2340,1.4,0.93,1.1466019417475728
03-25-2020,2995,43,22,2973,1.44,0.73,1.2679932260795936
03-26-2020,3544,60,43,3501,1.69,1.21,1.18330550918197
03-27-2020,4268,76,43,4225,1.78,1.01,1.2042889390519187
03-28-2020,5170,100,43,5127,1.93,0.83,1.211340206185567
03-29-2020,5962,119,43,5919,2.0,0.72,1.1531914893617021
03-30-2020,6408,140,43,6365,2.18,0.67,1.0748071117074807
03-31-2020,7443,160,43,7400,2.15,0.58,1.1615168539325842
04-01-2020,8251,187,43,8208,2.27,0.52,1.108558376998522
04-02-2020,9034,209,68,8966,2.31,0.75,1.0948975881711307
04-03-2020,9886,246,68,9818,2.49,0.69,1.0943103829975647
04-04-2020,10524,266,75,10449,2.53,0.71,1.0645357070604895
04-05-2020,11278,295,75,11203,2.62,0.67,1.071645762067655
04-06-2020,11730,311,140,11590,2.65,1.19,1.0400780280191524
04-07-2020,12442,345,184,12258,2.77,1.48,1.060699062233589
04-08-2020,13141,380,196,12945,2.89,1.49,1.0561806783475325
04-09-2020,13956,409,205,13751,2.93,1.47,1.0620196332090404
04-10-2020,15472,435,233,15239,2.81,1.51,1.1086271137861852
04-11-2020,15987,470,266,15721,2.94,1.66,1.033285935884178
04-12-2020,16585,504,277,16308,3.04,1.67,1.0374053918809032
04-13-2020,16934,535,277,16657,3.16,1.64,1.021043111245101
04-14-2020,17448,567,347,17101,3.25,1.99,1.0303531357033187
04-15-2020,18091,599,383,17708,3.31,2.12,1.036852361302155
04-16-2020,18841,629,493,18348,3.34,2.62,1.041457078105135
04-17-2020,19022,657,519,18503,3.45,2.73,1.0096067087734197
04-18-2020,19685,687,610,19075,3.49,3.1,1.0348543791399432
04-19-2020,20206,714,610,19596,3.53,3.02,1.0264668529337058
04-20-2020,20863,735,610,20253,3.52,2.92,1.0325150945263784
04-21-2020,21379,762,917,20462,3.56,4.29,1.0247327805205388
04-22-2020,21982,785,1143,20839,3.57,5.2,1.028205248140699
04-23-2020,22353,820,1201,21152,3.67,5.37,1.016877445182422
04-24-2020,22797,854,1228,21569,3.75,5.39,1.0198631056234062
04-25-2020,23392,880,1277,22115,3.76,5.46,1.0260999254287846
04-26-2020,23864,903,1329,22535,3.78,5.57,1.0201778385772913
04-27-2020,24027,928,1357,22670,3.86,5.65,1.0068303721086156
04-28-2020,24322,948,1389,22933,3.9,5.71,1.0122778540808257
04-29-2020,24505,973,1470,23035,3.97,6.0,1.0075240522983306
04-30-2020,25045,989,1519,23526,3.95,6.07,1.0220363191185473
05-01-2020,25351,1007,1647,23704,3.97,6.5,1.0122180075863445
05-02-2020,25190,1023,1671,23519,4.06,6.63,1.0063508342866159
05-03-2020,25282,1043,1689,23593,4.13,6.68,1.003652242953553
05-04-2020,25524,1063,1712,23812,4.16,6.71,1.0095720275294675
05-05-2020,25702,1074,1743,23959,4.18,6.78,1.0069738285535184
05-06-2020,26182,1089,2076,24106,4.16,7.93,1.018675589448292
05-07-2020,26715,1105,2258,24457,4.14,8.45,1.0203574975173784
05-08-2020,27268,1114,2422,24846,4.09,8.88,1.0206999812839228
05-09-2020,27406,1126,2499,24907,4.11,9.12,1.005060877218718
05-10-2020,27581,1135,2549,25032,4.12,9.24,1.006385463037291
05-11-2020,27679,1144,2549,25130,4.13,9.21,1.0035531706609622
05-12-2020,27913,1163,3013,24900,4.17,10.79,1.008454062646772
05-13-2020,28132,1175,3182,24950,4.18,11.31,1.007845806613406
05-14-2020,28319,1184,3198,25121,4.18,11.29,1.0066472344660884
05-15-2020,28583,1190,3328,25255,4.16,11.64,1.0093223630777923
05-16-2020,28810,1203,3822,24988,4.18,13.27,1.007941783577651
05-17-2020,29036,1218,4636,24400,4.19,15.97,1.0078444984380424
05-18-2020,29209,1231,6430,22779,4.21,22.01,1.0059581209532993
05-19-2020,29432,1247,6431,23001,4.24,21.85,1.007634633161012
05-20-2020,29660,1263,6452,23208,4.26,21.75,1.00774667029084
05-21-2020,29912,1277,6452,23460,4.27,21.57,1.008496291301416
05-22-2020,30200,1289,7590,22610,4.27,25.13,1.0096282428456806
05-23-2020,30471,1302,7705,22766,4.27,25.29,1.0089735099337749
05-24-2020,30623,1316,17549,13074,4.3,57.31,1.0049883495782876
05-25-2020,30788,1330,17822,12966,4.32,57.89,1.005388106978415
05-26-2020,31007,1342,18096,12911,4.33,58.36,1.0071131609718071
05-27-2020,31292,1356,18349,12943,4.33,58.64,1.0091914728932176
05-28-2020,31596,1369,18637,12959,4.33,58.99,1.0097149431164514
05-29-2020,31946,1383,18911,13035,4.33,59.2,1.011077351563489
05-30-2020,32203,1396,19186,13017,4.33,59.58,1.008044825643273
05-31-2020,32500,1410,19409,13091,4.34,59.72,1.009222743222681
06-01-2020,32700,1424,19552,13148,4.35,59.79,1.0061538461538462
06-02-2020,32895,1436,19869,13026,4.37,60.4,1.0059633027522936
06-03-2020,33261,1447,20079,13182,4.35,60.37,1.0111263109895121
06-04-2020,33592,1455,20323,13269,4.33,60.5,1.0099515949610656
06-05-2020,33969,1465,20526,13443,4.31,60.43,1.0112229102167183
06-06-2020,34351,1474,20807,13544,4.29,60.57,1.0112455474108746
06-07-2020,34693,1479,20995,13698,4.26,60.52,1.009956042036622
06-08-2020,34885,1485,21156,13729,4.26,60.64,1.0055342576312225
06-09-2020,35306,1492,21339,13967,4.23,60.44,1.012068224165114
06-10-2020,35600,1497,21742,13858,4.21,61.07,1.008327196510508
06-11-2020,35910,1504,22002,13908,4.19,61.27,1.0087078651685393
06-12-2020,36180,1505,22200,13980,4.16,61.36,1.0075187969924813
06-13-2020,36463,1512,22438,14025,4.15,61.54,1.0078220011055832
06-14-2020,36690,1517,22669,14021,4.13,61.79,1.0062254888517126
06-15-2020,37036,1520,22852,14184,4.1,61.7,1.009430362496593
06-16-2020,37336,1522,23212,14124,4.08,62.17,1.0081002268063506
06-17-2020,37672,1523,23580,14092,4.04,62.59,1.0089993571887723
