date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-25-2020,2,0,0,2,0.0,0.0,1
03-26-2020,4,0,0,4,0.0,0.0,2.0
03-27-2020,11,0,0,11,0.0,0.0,2.75
03-28-2020,18,0,0,18,0.0,0.0,1.6363636363636362
03-29-2020,18,1,0,18,5.56,0.0,1.0
03-30-2020,25,2,0,25,8.0,0.0,1.3888888888888888
03-31-2020,28,2,0,28,7.14,0.0,1.12
04-01-2020,31,3,0,31,9.68,0.0,1.1071428571428572
04-02-2020,36,3,0,36,8.33,0.0,1.1612903225806452
04-03-2020,39,3,0,39,7.69,0.0,1.0833333333333333
04-04-2020,41,3,1,40,7.32,2.44,1.0512820512820513
04-05-2020,45,5,1,44,11.11,2.22,1.0975609756097562
04-06-2020,47,5,9,38,10.64,19.15,1.0444444444444445
04-07-2020,56,5,12,44,8.93,21.43,1.1914893617021276
04-08-2020,59,7,16,43,11.86,27.12,1.0535714285714286
04-09-2020,74,7,22,52,9.46,29.73,1.2542372881355932
04-10-2020,87,7,22,65,8.05,25.29,1.1756756756756757
04-11-2020,87,7,22,65,8.05,25.29,1.0
04-12-2020,105,9,22,83,8.57,20.95,1.206896551724138
04-13-2020,123,10,26,97,8.13,21.14,1.1714285714285715
04-14-2020,144,13,34,110,9.03,23.61,1.170731707317073
04-15-2020,148,13,34,114,8.78,22.97,1.0277777777777777
04-16-2020,171,13,34,137,7.6,19.88,1.1554054054054055
04-17-2020,171,13,34,137,7.6,19.88,1.0
04-18-2020,216,13,41,175,6.02,18.98,1.263157894736842
04-19-2020,224,14,42,182,6.25,18.75,1.037037037037037
04-20-2020,246,14,56,190,5.69,22.76,1.0982142857142858
04-21-2020,258,14,57,201,5.43,22.09,1.048780487804878
04-22-2020,293,17,73,220,5.8,24.91,1.1356589147286822
04-23-2020,309,21,77,232,6.8,24.92,1.0546075085324231
04-24-2020,325,21,87,238,6.46,26.77,1.051779935275081
04-25-2020,370,21,91,279,5.68,24.59,1.1384615384615384
04-26-2020,389,23,112,277,5.91,28.79,1.0513513513513513
04-27-2020,408,23,113,295,5.64,27.7,1.0488431876606683
04-28-2020,424,24,122,302,5.66,28.77,1.0392156862745099
04-29-2020,482,25,129,353,5.19,26.76,1.1367924528301887
04-30-2020,490,26,135,355,5.31,27.55,1.016597510373444
05-01-2020,508,26,196,312,5.12,38.58,1.036734693877551
05-02-2020,544,26,206,338,4.78,37.87,1.0708661417322836
05-03-2020,563,27,213,350,4.8,37.83,1.0349264705882353
05-04-2020,580,29,223,357,5.0,38.45,1.030195381882771
05-05-2020,612,32,228,384,5.23,37.25,1.0551724137931036
05-06-2020,631,32,261,370,5.07,41.36,1.0310457516339868
05-07-2020,650,32,271,379,4.92,41.69,1.0301109350237718
05-08-2020,668,35,285,383,5.24,42.66,1.0276923076923077
05-09-2020,692,37,298,394,5.35,43.06,1.035928143712575
05-10-2020,704,38,351,353,5.4,49.86,1.0173410404624277
05-11-2020,712,39,377,335,5.48,52.95,1.0113636363636365
05-12-2020,730,40,398,332,5.48,54.52,1.0252808988764044
05-13-2020,758,44,412,346,5.8,54.35,1.0383561643835617
05-14-2020,779,46,436,343,5.91,55.97,1.0277044854881265
05-15-2020,806,46,455,351,5.71,56.45,1.0346598202824133
05-16-2020,835,48,479,356,5.75,57.37,1.0359801488833746
05-17-2020,860,52,494,366,6.05,57.44,1.029940119760479
05-18-2020,874,52,512,362,5.95,58.58,1.0162790697674418
05-19-2020,901,53,529,372,5.88,58.71,1.0308924485125859
05-20-2020,931,55,543,388,5.91,58.32,1.0332963374028856
05-21-2020,947,60,558,389,6.34,58.92,1.0171858216971
05-22-2020,969,62,560,409,6.4,57.79,1.0232312565997888
05-23-2020,1015,63,574,441,6.21,56.55,1.0474716202270382
05-24-2020,1030,65,597,433,6.31,57.96,1.0147783251231528
05-25-2020,1059,67,604,455,6.33,57.03,1.0281553398058252
05-26-2020,1077,70,617,460,6.5,57.29,1.0169971671388103
05-27-2020,1116,70,632,484,6.27,56.63,1.0362116991643453
05-28-2020,1194,72,652,542,6.03,54.61,1.0698924731182795
05-29-2020,1226,73,669,557,5.95,54.57,1.0268006700167505
05-30-2020,1250,76,696,554,6.08,55.68,1.0195758564437194
05-31-2020,1265,77,716,549,6.09,56.6,1.012
06-01-2020,1315,78,744,571,5.93,56.58,1.0395256916996047
06-02-2020,1351,78,769,582,5.77,56.92,1.0273764258555134
06-03-2020,1386,79,788,598,5.7,56.85,1.0259067357512954
06-04-2020,1461,85,806,655,5.82,55.17,1.054112554112554
06-05-2020,1485,87,816,669,5.86,54.95,1.0164271047227926
06-06-2020,1523,90,845,678,5.91,55.48,1.0255892255892256
06-07-2020,1533,90,873,660,5.87,56.95,1.0065659881812212
06-08-2020,1547,92,916,631,5.95,59.21,1.009132420091324
06-09-2020,1586,94,931,655,5.93,58.7,1.0252100840336134
06-10-2020,1667,96,948,719,5.76,56.87,1.0510718789407314
06-11-2020,1722,97,989,733,5.63,57.43,1.0329934013197362
06-12-2020,1752,101,1023,729,5.76,58.39,1.0174216027874565
06-13-2020,1776,104,1058,718,5.86,59.57,1.0136986301369864
06-14-2020,1809,104,1088,721,5.75,60.14,1.0185810810810811
06-15-2020,1860,104,1125,735,5.59,60.48,1.0281923714759535
06-16-2020,1885,104,1145,740,5.52,60.74,1.0134408602150538
06-17-2020,1890,107,1168,722,5.66,61.8,1.0026525198938991
06-18-2020,1906,107,1192,714,5.61,62.54,1.0084656084656085
06-19-2020,1923,108,1217,706,5.62,63.29,1.008919202518363
06-20-2020,1933,109,1255,678,5.64,64.92,1.0052002080083204
06-21-2020,1933,109,1255,678,5.64,64.92,1.0
06-22-2020,1961,111,1266,695,5.66,64.56,1.0144852560786342
06-23-2020,1978,111,1302,676,5.61,65.82,1.0086690464048955
06-24-2020,2005,112,1354,651,5.59,67.53,1.0136501516683518
06-25-2020,2039,113,1383,656,5.54,67.83,1.0169576059850374
06-26-2020,2060,113,1387,673,5.49,67.33,1.0102991662579697
06-27-2020,2118,113,1398,720,5.34,66.01,1.0281553398058252
06-28-2020,2147,114,1432,715,5.31,66.7,1.013692162417375
06-29-2020,2173,115,1447,726,5.29,66.59,1.0121099208197484
