date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
04-30-2020,1,0,0,1,0.0,0.0,1
05-01-2020,1,0,0,1,0.0,0.0,1.0
05-02-2020,3,0,0,3,0.0,0.0,3.0
05-03-2020,3,0,0,3,0.0,0.0,1.0
05-04-2020,3,0,0,3,0.0,0.0,1.0
05-05-2020,3,0,0,3,0.0,0.0,1.0
05-06-2020,8,1,0,8,12.5,0.0,2.666666666666667
05-07-2020,8,1,0,8,12.5,0.0,1.0
05-08-2020,8,1,0,8,12.5,0.0,1.0
05-09-2020,11,1,0,11,9.09,0.0,1.375
05-10-2020,11,1,0,11,9.09,0.0,1.0
05-11-2020,11,1,0,11,9.09,0.0,1.0
05-12-2020,11,1,0,11,9.09,0.0,1.0
05-13-2020,11,1,0,11,9.09,0.0,1.0
05-14-2020,11,1,3,8,9.09,27.27,1.0
05-15-2020,11,1,3,8,9.09,27.27,1.0
05-16-2020,11,1,3,8,9.09,27.27,1.0
05-17-2020,11,1,3,8,9.09,27.27,1.0
05-18-2020,11,1,3,8,9.09,27.27,1.0
05-19-2020,11,1,3,8,9.09,27.27,1.0
05-20-2020,34,1,8,26,2.94,23.53,3.090909090909091
05-21-2020,34,1,8,26,2.94,23.53,1.0
05-22-2020,78,1,18,60,1.28,23.08,2.2941176470588234
05-23-2020,78,1,18,60,1.28,23.08,1.0
05-24-2020,87,1,21,66,1.15,24.14,1.1153846153846154
05-25-2020,87,1,21,66,1.15,24.14,1.0
05-26-2020,87,1,21,66,1.15,24.14,1.0
05-27-2020,87,2,24,63,2.3,27.59,1.0
05-28-2020,87,2,24,63,2.3,27.59,1.0
05-29-2020,87,2,24,63,2.3,27.59,1.0
05-30-2020,106,2,26,80,1.89,24.53,1.2183908045977012
05-31-2020,106,2,26,80,1.89,24.53,1.0
06-01-2020,106,2,26,80,1.89,24.53,1.0
06-02-2020,132,2,27,105,1.52,20.45,1.2452830188679245
06-03-2020,132,2,27,105,1.52,20.45,1.0
06-04-2020,132,2,55,77,1.52,41.67,1.0
06-05-2020,132,2,55,77,1.52,41.67,1.0
06-06-2020,141,2,67,74,1.42,47.52,1.0681818181818181
06-07-2020,141,2,67,74,1.42,47.52,1.0
06-08-2020,141,2,67,74,1.42,47.52,1.0
06-09-2020,141,2,67,74,1.42,47.52,1.0
06-10-2020,162,2,97,65,1.23,59.88,1.148936170212766
06-11-2020,162,2,97,65,1.23,59.88,1.0
06-12-2020,163,2,97,66,1.23,59.51,1.0061728395061729
06-13-2020,176,2,114,62,1.14,64.77,1.0797546012269938
06-14-2020,176,2,114,62,1.14,64.77,1.0
06-15-2020,176,2,114,62,1.14,64.77,1.0
06-16-2020,197,3,127,70,1.52,64.47,1.1193181818181819
06-17-2020,197,3,127,70,1.52,64.47,1.0
06-18-2020,210,5,129,81,2.38,61.43,1.0659898477157361
06-19-2020,210,5,129,81,2.38,61.43,1.0
06-20-2020,247,5,159,88,2.02,64.37,1.1761904761904762
06-21-2020,247,5,159,88,2.02,64.37,1.0
