date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
02-28-2020,1,0,0,1,0.0,0.0,1
02-29-2020,1,0,0,1,0.0,0.0,1.0
03-01-2020,1,0,0,1,0.0,0.0,1.0
03-02-2020,1,0,0,1,0.0,0.0,1.0
03-03-2020,1,0,0,1,0.0,0.0,1.0
03-04-2020,1,0,0,1,0.0,0.0,1.0
03-05-2020,1,0,0,1,0.0,0.0,1.0
03-06-2020,1,0,0,1,0.0,0.0,1.0
03-07-2020,1,0,0,1,0.0,0.0,1.0
03-08-2020,1,0,0,1,0.0,0.0,1.0
03-09-2020,2,0,0,2,0.0,0.0,2.0
03-10-2020,2,0,0,2,0.0,0.0,1.0
03-11-2020,2,0,0,2,0.0,0.0,1.0
03-12-2020,2,0,0,2,0.0,0.0,1.0
03-13-2020,2,0,0,2,0.0,0.0,1.0
03-14-2020,2,0,0,2,0.0,0.0,1.0
03-15-2020,2,0,0,2,0.0,0.0,1.0
03-16-2020,2,0,0,2,0.0,0.0,1.0
03-17-2020,3,0,0,3,0.0,0.0,1.5
03-18-2020,8,0,1,7,0.0,12.5,2.666666666666667
03-19-2020,8,0,1,7,0.0,12.5,1.0
03-20-2020,12,0,1,11,0.0,8.33,1.5
03-21-2020,22,0,1,21,0.0,4.55,1.8333333333333335
03-22-2020,30,0,2,28,0.0,6.67,1.3636363636363638
03-23-2020,40,1,2,38,2.5,5.0,1.3333333333333333
03-24-2020,44,1,2,42,2.27,4.55,1.1
03-25-2020,51,1,2,49,1.96,3.92,1.1590909090909092
03-26-2020,65,1,2,63,1.54,3.08,1.2745098039215685
03-27-2020,70,1,3,67,1.43,4.29,1.0769230769230769
03-28-2020,89,1,3,86,1.12,3.37,1.2714285714285714
03-29-2020,111,1,3,108,0.9,2.7,1.247191011235955
03-30-2020,131,2,8,123,1.53,6.11,1.1801801801801801
03-31-2020,135,2,8,127,1.48,5.93,1.0305343511450382
04-01-2020,174,2,9,165,1.15,5.17,1.2888888888888888
04-02-2020,184,2,20,164,1.09,10.87,1.0574712643678161
04-03-2020,210,4,25,185,1.9,11.9,1.141304347826087
04-04-2020,214,4,25,189,1.87,11.68,1.019047619047619
04-05-2020,232,5,33,199,2.16,14.22,1.0841121495327102
04-06-2020,238,5,35,203,2.1,14.71,1.0258620689655173
04-07-2020,254,6,44,210,2.36,17.32,1.0672268907563025
04-08-2020,276,6,44,232,2.17,15.94,1.0866141732283465
04-09-2020,288,7,51,237,2.43,17.71,1.0434782608695652
04-10-2020,305,7,58,247,2.3,19.02,1.0590277777777777
04-11-2020,318,10,70,248,3.14,22.01,1.042622950819672
04-12-2020,323,10,85,238,3.1,26.32,1.0157232704402517
04-13-2020,343,10,91,252,2.92,26.53,1.061919504643963
04-14-2020,373,11,99,274,2.95,26.54,1.087463556851312
04-15-2020,407,12,128,279,2.95,31.45,1.0911528150134049
04-16-2020,442,13,152,290,2.94,34.39,1.085995085995086
04-17-2020,493,17,159,334,3.45,32.25,1.1153846153846154
04-18-2020,542,19,166,376,3.51,30.63,1.0993914807302232
04-19-2020,627,21,170,457,3.35,27.11,1.1568265682656826
04-20-2020,665,22,188,477,3.31,28.27,1.0606060606060606
04-21-2020,665,22,188,477,3.31,28.27,1.0
04-22-2020,873,28,197,676,3.21,22.57,1.312781954887218
04-23-2020,981,31,197,784,3.16,20.08,1.1237113402061856
04-24-2020,1095,32,208,887,2.92,19.0,1.1162079510703364
04-25-2020,1182,35,222,960,2.96,18.78,1.0794520547945206
04-26-2020,1273,40,239,1034,3.14,18.77,1.0769881556683587
04-27-2020,1337,40,255,1082,2.99,19.07,1.0502749410840535
04-28-2020,1532,44,255,1277,2.87,16.64,1.1458489154824234
04-29-2020,1728,51,307,1421,2.95,17.77,1.1279373368146215
04-30-2020,1932,58,319,1613,3.0,16.51,1.1180555555555556
