date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-06-2020,1,0,0,1,0,0,1
03-07-2020,1,0,0,1,0,0,1.0
03-08-2020,2,0,0,2,0,0,2.0
03-09-2020,2,0,0,2,0,0,1.0
03-10-2020,2,0,0,2,0,0,1.0
03-11-2020,2,0,0,2,0,0,1.0
03-12-2020,2,0,0,2,0,0,1.0
03-13-2020,2,0,0,2,0,0,1.0
03-14-2020,2,0,0,2,0,0,1.0
03-15-2020,2,0,0,2,0,0,1.0
03-16-2020,4,0,0,4,0,0,2.0
03-17-2020,10,0,0,10,0,0,2.5
03-18-2020,10,0,0,10,0,0,1.0
03-19-2020,13,0,0,13,0,0,1.3
03-20-2020,20,0,0,20,0,0,1.5384615384615383
03-21-2020,27,0,0,27,0,0,1.35
03-22-2020,40,0,2,38,0,5.0,1.4814814814814814
03-23-2020,56,0,2,54,0,3.57,1.4
03-24-2020,66,0,2,64,0,3.03,1.1785714285714286
03-25-2020,75,1,2,73,1.33,2.67,1.1363636363636362
03-26-2020,75,1,2,73,1.33,2.67,1.0
03-27-2020,91,2,2,89,2.2,2.2,1.2133333333333334
03-28-2020,91,2,2,89,2.2,2.2,1.0
03-29-2020,139,6,5,134,4.32,3.6,1.5274725274725274
03-30-2020,139,6,5,134,4.32,3.6,1.0
03-31-2020,193,6,5,188,3.11,2.59,1.3884892086330936
04-01-2020,233,6,10,223,2.58,4.29,1.2072538860103628
04-02-2020,306,7,10,296,2.29,3.27,1.3133047210300428
04-03-2020,509,8,17,492,1.57,3.34,1.6633986928104574
04-04-2020,555,9,17,538,1.62,3.06,1.0903732809430255
04-05-2020,650,9,17,633,1.38,2.62,1.1711711711711712
04-06-2020,658,9,17,641,1.37,2.58,1.0123076923076924
04-07-2020,658,9,43,615,1.37,6.53,1.0
04-08-2020,730,10,60,670,1.37,8.22,1.1094224924012157
04-09-2020,730,10,60,670,1.37,8.22,1.0
04-10-2020,820,12,98,722,1.46,11.95,1.1232876712328768
04-11-2020,820,12,98,722,1.46,11.95,1.0
04-12-2020,820,12,98,722,1.46,11.95,1.0
04-13-2020,820,12,98,722,1.46,11.95,1.0
04-14-2020,848,14,130,718,1.65,15.33,1.0341463414634147
04-15-2020,848,17,165,683,2.0,19.46,1.0
04-16-2020,996,22,164,832,2.21,16.47,1.1745283018867925
04-17-2020,996,22,164,832,2.21,16.47,1.0
04-18-2020,1017,22,177,840,2.16,17.4,1.0210843373493976
04-19-2020,1017,42,305,712,4.13,29.99,1.0
04-20-2020,1163,42,305,858,3.61,26.23,1.143559488692232
04-21-2020,1163,43,329,834,3.7,28.29,1.0
04-22-2020,1163,43,397,766,3.7,34.14,1.0
04-23-2020,1334,43,668,666,3.22,50.07,1.1470335339638864
04-24-2020,1430,43,668,762,3.01,46.71,1.0719640179910046
04-25-2020,1518,53,697,821,3.49,45.92,1.0615384615384615
04-26-2020,1621,56,786,835,3.45,48.49,1.0678524374176548
04-27-2020,1705,58,805,900,3.4,47.21,1.051819864281308
04-28-2020,1705,58,915,790,3.4,53.67,1.0
04-29-2020,1832,61,934,898,3.33,50.98,1.0744868035190616
04-30-2020,1832,61,934,898,3.33,50.98,1.0
05-01-2020,1832,61,934,898,3.33,50.98,1.0
05-02-2020,2077,64,953,1124,3.08,45.88,1.1337336244541485
05-03-2020,2077,64,953,1124,3.08,45.88,1.0
05-04-2020,2104,64,953,1151,3.04,45.29,1.0129995185363505
05-05-2020,2104,64,953,1151,3.04,45.29,1.0
05-06-2020,2265,108,1000,1265,4.77,44.15,1.0765209125475286
05-07-2020,2267,108,1002,1265,4.76,44.2,1.0008830022075055
05-08-2020,2267,108,1002,1265,4.76,44.2,1.0
05-09-2020,2274,108,1232,1042,4.75,54.18,1.0030877812086458
05-10-2020,2579,114,1465,1114,4.42,56.8,1.1341248900615655
05-11-2020,2689,125,1524,1165,4.65,56.68,1.0426521907716169
05-12-2020,2689,125,1524,1165,4.65,56.68,1.0
05-13-2020,2800,136,1543,1257,4.86,55.11,1.0412792859799183
05-14-2020,2954,139,1553,1401,4.71,52.57,1.055
05-15-2020,3105,140,1567,1538,4.51,50.47,1.0511171293161814
05-16-2020,3105,140,1567,1538,4.51,50.47,1.0
05-17-2020,3105,140,1567,1538,4.51,50.47,1.0
05-18-2020,3529,140,1567,1962,3.97,44.4,1.1365539452495974
05-19-2020,3529,140,1567,1962,3.97,44.4,1.0
05-20-2020,3733,146,1595,2138,3.91,42.73,1.0578067441201473
05-21-2020,4288,156,1808,2480,3.64,42.16,1.1486739887489954
05-22-2020,4400,159,1822,2578,3.61,41.41,1.0261194029850746
05-23-2020,4400,159,1822,2578,3.61,41.41,1.0
05-24-2020,4890,165,1865,3025,3.37,38.14,1.1113636363636363
05-25-2020,4890,165,1865,3025,3.37,38.14,1.0
05-26-2020,5436,175,1996,3440,3.22,36.72,1.1116564417177914
05-27-2020,5436,175,1996,3440,3.22,36.72,1.0
05-28-2020,5436,175,1996,3440,3.22,36.72,1.0
05-29-2020,5436,177,3326,2110,3.26,61.18,1.0
05-30-2020,5904,191,3568,2336,3.24,60.43,1.086092715231788
05-31-2020,5904,191,3568,2336,3.24,60.43,1.0
06-01-2020,6397,199,3629,2768,3.11,56.73,1.0835027100271002
06-02-2020,6585,200,3676,2909,3.04,55.82,1.0293887759887448
06-03-2020,6585,200,3676,2909,3.04,55.82,1.0
06-04-2020,6789,203,3705,3084,2.99,54.57,1.030979498861048
06-05-2020,7392,205,4575,2817,2.77,61.89,1.0888201502430401
06-06-2020,7599,212,4587,3012,2.79,60.36,1.0280032467532467
06-07-2020,7908,212,4735,3173,2.68,59.88,1.0406632451638373
06-08-2020,8060,212,4748,3312,2.63,58.91,1.0192210419828023
06-09-2020,8312,212,4794,3518,2.55,57.68,1.0312655086848634
06-10-2020,8681,212,4836,3845,2.44,55.71,1.0443936477382099
06-11-2020,8681,212,4836,3845,2.44,55.71,1.0
06-12-2020,8681,212,4836,3845,2.44,55.71,1.0
06-13-2020,8681,212,4836,3845,2.44,55.71,1.0
06-14-2020,8681,212,4836,3845,2.44,55.71,1.0
06-15-2020,9864,276,5570,4294,2.8,56.47,1.1362746227393157
06-16-2020,9864,276,5570,4294,2.8,56.47,1.0
06-17-2020,9864,276,5570,4294,2.8,56.47,1.0
06-18-2020,9864,276,5570,4294,2.8,56.47,1.0
06-19-2020,10638,282,7548,3090,2.65,70.95,1.0784671532846715
06-20-2020,11610,301,7702,3908,2.59,66.34,1.0913705583756346
06-21-2020,11892,303,7710,4182,2.55,64.83,1.0242894056847545
06-22-2020,12041,308,7740,4301,2.56,64.28,1.0125294315506224
06-23-2020,12270,313,7774,4496,2.55,63.36,1.0190183539573126
06-24-2020,12592,313,10100,2492,2.49,80.21,1.0262428687856562
06-25-2020,12592,313,10100,2492,2.49,80.21,1.0
06-26-2020,12592,313,10100,2492,2.49,80.21,1.0
06-27-2020,12592,313,10100,2492,2.49,80.21,1.0
06-28-2020,12592,313,10100,2492,2.49,80.21,1.0
