date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-20-2020,3,0,0,3,0.0,0.0,0.0
03-21-2020,3,0,0,3,0.0,0.0,0.0
03-22-2020,3,0,0,3,0.0,0.0,0.0
03-23-2020,12,0,0,12,0.0,0.0,0.0
03-24-2020,17,0,0,17,0.0,0.0,0.0
03-25-2020,19,0,0,19,0.0,0.0,0.0
03-26-2020,23,0,0,23,0.0,0.0,0.0
03-27-2020,26,0,0,26,0.0,0.0,0.0
03-28-2020,26,0,0,26,0.0,0.0,0.0
03-29-2020,39,0,0,39,0.0,0.0,0.0
03-30-2020,43,0,0,43,0.0,0.0,0.0
03-31-2020,57,0,0,57,0.0,0.0,0.0
04-01-2020,57,0,0,57,0.0,0.0,0.0
