date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-20-2020,3,0,0,3,0.0,0.0,0
03-21-2020,3,0,0,3,0.0,0.0,0.0
03-22-2020,3,0,0,3,0.0,0.0,0.0
03-23-2020,12,0,0,12,0.0,0.0,3.0
03-24-2020,17,0,0,17,0.0,0.0,0.4166666666666667
03-25-2020,19,0,0,19,0.0,0.0,0.11764705882352941
03-26-2020,23,0,0,23,0.0,0.0,0.21052631578947367
03-27-2020,26,0,0,26,0.0,0.0,0.13043478260869565
03-28-2020,26,0,0,26,0.0,0.0,0.0
03-29-2020,39,0,0,39,0.0,0.0,0.5
03-30-2020,43,0,0,43,0.0,0.0,0.10256410256410256
03-31-2020,57,0,0,57,0.0,0.0,0.32558139534883723
04-01-2020,57,0,0,57,0.0,0.0,0.0
04-02-2020,59,0,0,59,0.0,0.0,0.03508771929824561
04-03-2020,70,0,0,70,0.0,0.0,0.1864406779661017
04-04-2020,70,0,0,70,0.0,0.0,0.0
04-05-2020,72,0,2,70,0.0,2.78,0.02857142857142857
04-06-2020,82,0,2,80,0.0,2.44,0.1388888888888889
04-07-2020,88,0,7,81,0.0,7.95,0.07317073170731707
04-08-2020,93,0,11,82,0.0,11.83,0.056818181818181816
04-09-2020,93,0,11,82,0.0,11.83,0.0
04-10-2020,93,0,11,82,0.0,11.83,0.0
