date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-09-2020,2,0,0,2,0,0,1
03-10-2020,3,0,0,3,0,0,1.5
03-11-2020,6,0,0,6,0,0,2.0
03-12-2020,6,0,0,6,0,0,1.0
03-13-2020,14,0,0,14,0,0,2.333333333333333
03-14-2020,26,0,0,26,0,0,1.8571428571428572
03-15-2020,26,0,0,26,0,0,1.0
03-16-2020,33,0,0,33,0,0,1.2692307692307692
03-17-2020,46,0,0,46,0,0,1.393939393939394
03-18-2020,49,0,0,49,0,0,1.065217391304348
03-19-2020,67,0,0,67,0,0,1.3673469387755102
03-20-2020,67,0,0,67,0,0,1.0
03-21-2020,84,0,0,84,0,0,1.2537313432835822
03-22-2020,95,1,3,92,1.05,3.16,1.130952380952381
03-23-2020,116,1,3,113,0.86,2.59,1.2210526315789474
03-24-2020,124,3,3,121,2.42,2.42,1.0689655172413792
03-25-2020,132,3,3,129,2.27,2.27,1.064516129032258
03-26-2020,146,3,4,142,2.05,2.74,1.106060606060606
03-27-2020,162,5,15,147,3.09,9.26,1.1095890410958904
03-28-2020,179,5,15,164,2.79,8.38,1.1049382716049383
03-29-2020,214,5,15,199,2.34,7.01,1.1955307262569832
03-30-2020,230,7,22,208,3.04,9.57,1.074766355140187
03-31-2020,262,8,23,239,3.05,8.78,1.1391304347826088
04-01-2020,320,9,28,292,2.81,8.75,1.2213740458015268
04-02-2020,356,10,28,328,2.81,7.87,1.1125
04-03-2020,396,11,28,368,2.78,7.07,1.1123595505617978
04-04-2020,426,11,33,393,2.58,7.75,1.0757575757575757
04-05-2020,446,9,37,409,2.02,8.3,1.0469483568075117
04-06-2020,465,9,45,420,1.94,9.68,1.0426008968609866
04-07-2020,494,9,47,447,1.82,9.51,1.0623655913978494
04-08-2020,526,9,52,474,1.71,9.89,1.0647773279352226
04-09-2020,564,10,53,511,1.77,9.4,1.0722433460076046
04-10-2020,595,10,58,537,1.68,9.75,1.0549645390070923
04-11-2020,616,10,61,555,1.62,9.9,1.035294117647059
04-12-2020,633,11,65,568,1.74,10.27,1.0275974025974026
04-13-2020,662,12,65,597,1.81,9.82,1.0458135860979463
04-14-2020,695,12,65,630,1.73,9.35,1.0498489425981874
04-15-2020,715,12,65,650,1.68,9.09,1.0287769784172662
04-16-2020,735,12,77,658,1.63,10.48,1.027972027972028
04-17-2020,750,12,77,673,1.6,10.27,1.0204081632653061
04-18-2020,761,12,79,682,1.58,10.38,1.0146666666666666
04-19-2020,767,12,81,686,1.56,10.56,1.0078843626806833
04-20-2020,772,12,81,691,1.55,10.49,1.0065189048239895
04-21-2020,784,12,98,686,1.53,12.5,1.0155440414507773
04-22-2020,790,13,98,692,1.65,12.41,1.0076530612244898
04-23-2020,795,13,98,697,1.64,12.33,1.0063291139240507
04-24-2020,804,14,98,706,1.74,12.19,1.0113207547169811
04-25-2020,810,14,148,662,1.73,18.27,1.007462686567164
04-26-2020,817,14,148,669,1.71,18.12,1.008641975308642
04-27-2020,822,15,148,674,1.82,18.0,1.0061199510403918
04-28-2020,837,15,148,689,1.79,17.68,1.0182481751824817
04-29-2020,843,15,148,695,1.78,17.56,1.007168458781362
04-30-2020,850,15,296,554,1.76,34.82,1.0083036773428233
05-01-2020,857,15,296,561,1.75,34.54,1.0082352941176471
05-02-2020,864,15,296,568,1.74,34.26,1.0081680280046674
05-03-2020,872,15,296,576,1.72,33.94,1.0092592592592593
05-04-2020,874,15,296,578,1.72,33.87,1.0022935779816513
05-05-2020,878,15,296,582,1.71,33.71,1.0045766590389016
05-06-2020,883,15,296,587,1.7,33.52,1.0056947608200455
05-07-2020,889,15,400,489,1.69,44.99,1.0067950169875424
05-08-2020,891,15,400,491,1.68,44.89,1.0022497187851518
05-09-2020,892,15,401,491,1.68,44.96,1.001122334455668
05-10-2020,898,16,401,497,1.78,44.65,1.006726457399103
05-11-2020,901,16,401,500,1.78,44.51,1.0033407572383073
05-12-2020,903,16,449,454,1.77,49.72,1.002219755826859
05-13-2020,905,17,449,456,1.88,49.61,1.0022148394241417
05-14-2020,907,17,481,426,1.87,53.03,1.0022099447513813
05-15-2020,910,17,481,429,1.87,52.86,1.0033076074972436
05-16-2020,914,17,515,399,1.86,56.35,1.0043956043956044
05-17-2020,916,17,515,401,1.86,56.22,1.0021881838074398
05-18-2020,917,17,515,402,1.85,56.16,1.0010917030567685
05-19-2020,918,17,515,403,1.85,56.1,1.0010905125408942
05-20-2020,922,17,516,406,1.84,55.97,1.0043572984749456
05-21-2020,923,17,561,362,1.84,60.78,1.0010845986984815
05-22-2020,927,17,561,366,1.83,60.52,1.0043336944745396
05-23-2020,927,17,594,333,1.83,64.08,1.0
05-24-2020,935,17,594,341,1.82,63.53,1.0086299892125135
05-25-2020,937,17,594,343,1.81,63.39,1.0021390374331551
05-26-2020,939,17,594,345,1.81,63.26,1.0021344717182497
05-27-2020,939,17,594,345,1.81,63.26,1.0
05-28-2020,941,17,784,157,1.81,83.32,1.0021299254526093
05-29-2020,942,17,784,158,1.8,83.23,1.0010626992561105
05-30-2020,944,17,790,154,1.8,83.69,1.0021231422505308
05-31-2020,944,17,790,154,1.8,83.69,1.0
06-01-2020,949,17,790,159,1.79,83.25,1.0052966101694916
06-02-2020,952,17,790,162,1.79,82.98,1.0031612223393045
06-03-2020,958,17,790,168,1.77,82.46,1.0063025210084033
06-04-2020,958,17,790,168,1.77,82.46,1.0
06-05-2020,960,17,807,153,1.77,84.06,1.0020876826722338
06-06-2020,960,18,807,153,1.88,84.06,1.0
06-07-2020,964,18,807,157,1.87,83.71,1.0041666666666667
06-08-2020,970,18,807,163,1.86,83.2,1.0062240663900415
06-09-2020,972,18,807,165,1.85,83.02,1.002061855670103
06-10-2020,974,18,807,167,1.85,82.85,1.0020576131687242
06-11-2020,975,18,807,168,1.85,82.77,1.0010266940451746
06-12-2020,980,18,807,173,1.84,82.35,1.005128205128205
06-13-2020,980,18,807,173,1.84,82.35,1.0
06-14-2020,983,18,807,176,1.83,82.1,1.0030612244897958
06-15-2020,985,18,807,178,1.83,81.93,1.002034587995931
06-16-2020,985,18,816,169,1.83,82.84,1.0
06-17-2020,985,18,816,169,1.83,82.84,1.0
06-18-2020,985,19,818,167,1.93,83.05,1.0
06-19-2020,985,19,818,167,1.93,83.05,1.0
06-20-2020,985,19,824,161,1.93,83.65,1.0
06-21-2020,986,19,824,162,1.93,83.57,1.001015228426396
06-22-2020,988,19,824,164,1.92,83.4,1.002028397565923
06-23-2020,990,19,824,166,1.92,83.23,1.0020242914979758
06-24-2020,991,19,824,167,1.92,83.15,1.001010101010101
06-25-2020,992,19,824,168,1.92,83.06,1.0010090817356205
06-26-2020,992,19,824,168,1.92,83.06,1.0
06-27-2020,994,19,824,170,1.91,82.9,1.002016129032258
06-28-2020,994,19,833,161,1.91,83.8,1.0
06-29-2020,996,19,833,163,1.91,83.63,1.0020120724346075
06-30-2020,998,19,833,165,1.9,83.47,1.002008032128514
07-01-2020,999,19,833,166,1.9,83.38,1.001002004008016
07-02-2020,999,19,833,166,1.9,83.38,1.0
07-03-2020,999,19,839,160,1.9,83.98,1.0
07-04-2020,1002,19,839,163,1.9,83.73,1.003003003003003
07-05-2020,1003,19,839,164,1.89,83.65,1.0009980039920159
07-06-2020,1004,19,839,165,1.89,83.57,1.0009970089730809
07-07-2020,1005,19,839,166,1.89,83.48,1.000996015936255
07-08-2020,1008,19,839,169,1.88,83.23,1.0029850746268656
07-09-2020,1010,19,839,171,1.88,83.07,1.001984126984127
07-10-2020,1013,19,839,174,1.88,82.82,1.002970297029703
07-11-2020,1014,19,839,175,1.87,82.74,1.0009871668311945
07-12-2020,1021,19,839,182,1.86,82.17,1.0069033530571991
07-13-2020,1022,19,839,183,1.86,82.09,1.000979431929481
07-14-2020,1023,19,839,184,1.86,82.01,1.0009784735812133
07-15-2020,1025,19,839,186,1.85,81.85,1.0019550342130987
07-16-2020,1031,19,845,186,1.84,81.96,1.0058536585365854
07-17-2020,1033,19,845,188,1.84,81.8,1.0019398642095054
07-18-2020,1037,19,845,192,1.83,81.49,1.0038722168441432
07-19-2020,1038,19,845,193,1.83,81.41,1.0009643201542913
07-20-2020,1038,19,847,191,1.83,81.6,1.0
07-21-2020,1040,19,847,193,1.83,81.44,1.001926782273603
07-22-2020,1040,19,847,193,1.83,81.44,1.0
07-23-2020,1045,19,847,198,1.82,81.05,1.0048076923076923
07-24-2020,1047,19,847,200,1.81,80.9,1.001913875598086
07-25-2020,1053,19,852,201,1.8,80.91,1.005730659025788
07-26-2020,1057,19,852,205,1.8,80.61,1.0037986704653372
07-27-2020,1060,19,852,208,1.79,80.38,1.0028382213812677
07-28-2020,1067,19,852,215,1.78,79.85,1.0066037735849056
07-29-2020,1080,19,852,228,1.76,78.89,1.0121836925960637
07-30-2020,1090,19,852,238,1.74,78.17,1.0092592592592593
07-31-2020,1114,19,852,262,1.71,76.48,1.0220183486238532
08-01-2020,1124,19,852,272,1.69,75.8,1.0089766606822261
08-02-2020,1150,19,856,294,1.65,74.43,1.0231316725978647
08-03-2020,1155,19,856,299,1.65,74.11,1.0043478260869565
08-04-2020,1180,19,856,324,1.61,72.54,1.0216450216450217
08-05-2020,1195,19,856,339,1.59,71.63,1.0127118644067796
08-06-2020,1208,19,856,352,1.57,70.86,1.0108786610878662
08-07-2020,1222,19,856,366,1.55,70.05,1.0115894039735098
08-08-2020,1233,19,856,377,1.54,69.42,1.0090016366612111
08-09-2020,1242,19,870,372,1.53,70.05,1.0072992700729928
08-10-2020,1252,19,870,382,1.52,69.49,1.0080515297906603
