date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
02-25-2020,1,0,0,1,0,0,1
02-26-2020,1,0,0,1,0,0,1.0
02-27-2020,8,0,0,8,0,0,8.0
02-28-2020,8,0,0,8,0,0,1.0
02-29-2020,18,0,0,18,0,0,2.25
03-01-2020,27,0,0,27,0,0,1.5
03-02-2020,42,0,0,42,0,0,1.5555555555555556
03-03-2020,56,0,2,54,0,3.57,1.3333333333333333
03-04-2020,90,0,3,87,0,3.33,1.6071428571428572
03-05-2020,114,0,3,111,0,2.63,1.2666666666666666
03-06-2020,214,1,3,211,0.47,1.4,1.8771929824561404
03-07-2020,268,1,3,265,0.37,1.12,1.2523364485981308
03-08-2020,337,2,3,334,0.59,0.89,1.2574626865671643
03-09-2020,374,2,3,371,0.53,0.8,1.1097922848664687
03-10-2020,491,5,3,488,1.02,0.61,1.3128342245989304
03-11-2020,652,7,4,648,1.07,0.61,1.3279022403258656
03-12-2020,652,10,4,648,1.53,0.61,1.0
03-13-2020,1139,11,4,1135,0.97,0.35,1.7469325153374233
03-14-2020,1359,14,4,1355,1.03,0.29,1.1931518876207199
03-15-2020,2200,21,4,2196,0.95,0.18,1.6188373804267844
03-16-2020,2200,32,4,2196,1.45,0.18,1.0
03-17-2020,2700,39,4,2696,1.44,0.15,1.2272727272727273
03-18-2020,3028,48,15,3013,1.59,0.5,1.1214814814814815
03-19-2020,4075,58,15,4060,1.42,0.37,1.345772787318362
03-20-2020,5294,79,15,5279,1.49,0.28,1.2991411042944785
03-21-2020,6575,100,15,6560,1.52,0.23,1.241972043823196
03-22-2020,7474,116,131,7343,1.55,1.75,1.1367300380228138
03-23-2020,8795,144,131,8664,1.64,1.49,1.1767460529836766
03-24-2020,9877,164,131,9746,1.66,1.33,1.1230244457077885
03-25-2020,10897,199,131,10766,1.83,1.2,1.1032702237521514
03-26-2020,11811,242,131,11680,2.05,1.11,1.0838762962283197
03-27-2020,12928,278,1530,11398,2.15,11.83,1.0945728558123782
03-28-2020,14076,334,1530,12546,2.37,10.87,1.088799504950495
03-29-2020,14829,381,1595,13234,2.57,10.76,1.0534953111679455
03-30-2020,15922,439,1823,14099,2.76,11.45,1.0737069256187202
03-31-2020,16605,491,1823,14782,2.96,10.98,1.042896621027509
04-01-2020,17768,552,2967,14801,3.11,16.7,1.0700391448358928
04-02-2020,18827,614,4013,14814,3.26,21.32,1.059601530841963
04-03-2020,19606,668,4846,14760,3.41,24.72,1.0413767461624264
04-04-2020,20505,726,6415,14090,3.54,31.29,1.0458533102111598
04-05-2020,21100,777,6415,14685,3.68,30.4,1.0290173128505242
04-06-2020,21657,830,8056,13601,3.83,37.2,1.026398104265403
04-07-2020,22253,889,8704,13549,3.99,39.11,1.027519970448354
04-08-2020,23280,951,9800,13480,4.09,42.1,1.0461510807531569
04-09-2020,24051,999,10600,13451,4.15,44.07,1.033118556701031
04-10-2020,24551,1053,11100,13451,4.29,45.21,1.0207891563760343
04-11-2020,25107,1094,12100,13007,4.36,48.19,1.0226467353671949
04-12-2020,25415,1150,12700,12715,4.52,49.97,1.0122674951208825
04-13-2020,25688,1186,13700,11988,4.62,53.33,1.0107416879795397
04-14-2020,25936,1223,13700,12236,4.72,52.82,1.009654313298038
04-15-2020,26336,1269,15400,10936,4.82,58.48,1.0154225786551512
04-16-2020,26732,1311,15900,10832,4.9,59.48,1.0150364520048603
04-17-2020,27078,1344,16400,10678,4.96,60.57,1.012943288942092
04-18-2020,27404,1380,17100,10304,5.04,62.4,1.0120392938917202
04-19-2020,27740,1406,17800,9940,5.07,64.17,1.0122609837979857
04-20-2020,27944,1448,18600,9344,5.18,66.56,1.007354001441961
04-21-2020,28063,1486,19400,8663,5.3,69.13,1.004258517034068
04-22-2020,28268,1514,19900,8368,5.36,70.4,1.0073049923386665
04-23-2020,28496,1548,20600,7896,5.43,72.29,1.008065657280317
04-24-2020,28677,1571,21000,7677,5.48,73.23,1.0063517686692869
04-25-2020,28894,1597,21300,7594,5.53,73.72,1.0075670397879835
04-26-2020,29061,1612,21800,7261,5.55,75.01,1.0057797466602063
04-27-2020,29164,1632,22200,6964,5.6,76.12,1.0035442689515157
04-28-2020,29264,1655,22600,6664,5.66,77.23,1.003428884926622
04-29-2020,29407,1667,22600,6807,5.67,76.85,1.0048865500273374
04-30-2020,29586,1684,23400,6186,5.69,79.09,1.006086986091747
05-01-2020,29705,1698,23900,5805,5.72,80.46,1.004022172649226
05-02-2020,29817,1708,24200,5617,5.73,81.16,1.00377040902205
05-03-2020,29905,1715,24500,5405,5.73,81.93,1.0029513364858973
05-04-2020,29981,1722,25200,4781,5.74,84.05,1.00254138103996
05-05-2020,30009,1734,25400,4609,5.78,84.64,1.000933924819052
05-06-2020,30060,1739,25700,4360,5.79,85.5,1.0016994901529541
05-07-2020,30126,1750,25900,4226,5.81,85.97,1.002195608782435
05-08-2020,30207,1758,26100,4107,5.82,86.4,1.0026887074287991
05-09-2020,30251,1765,26400,3851,5.83,87.27,1.001456616016155
05-10-2020,30305,1775,26600,3705,5.86,87.77,1.0017850649565303
05-11-2020,30344,1778,26800,3544,5.86,88.32,1.0012869163504372
05-12-2020,30380,1779,26800,3580,5.86,88.22,1.001186395992618
05-13-2020,30413,1782,27100,3313,5.86,89.11,1.0010862409479921
05-14-2020,30463,1784,27100,3363,5.86,88.96,1.001644033801335
05-15-2020,30514,1788,27100,3414,5.86,88.81,1.0016741620982832
05-16-2020,30572,1789,27400,3172,5.85,89.62,1.0019007668611128
05-17-2020,30587,1793,27500,3087,5.86,89.91,1.0004906450346722
05-18-2020,30597,1799,27600,2997,5.88,90.2,1.000326936280119
05-19-2020,30618,1802,27700,2918,5.89,90.47,1.0006863417982155
05-20-2020,30658,1802,27800,2858,5.88,90.68,1.0013064210595075
05-21-2020,30694,1807,27900,2794,5.89,90.9,1.0011742448952965
05-22-2020,30707,1809,27900,2807,5.89,90.86,1.000423535544406
05-23-2020,30725,1810,28000,2725,5.89,91.13,1.0005861855602958
05-24-2020,30736,1811,28100,2636,5.89,91.42,1.0003580146460538
05-25-2020,30746,1814,28200,2546,5.9,91.72,1.0003253513794899
05-26-2020,30761,1816,28200,2561,5.9,91.67,1.000487868340597
05-27-2020,30776,1817,28300,2476,5.9,91.95,1.000487630441143
05-28-2020,30796,1817,28300,2496,5.9,91.9,1.000649857031453
05-29-2020,30828,1817,28300,2528,5.89,91.8,1.0010390959864917
05-30-2020,30845,1817,28400,2445,5.89,92.07,1.000551446736733
05-31-2020,30862,1817,28500,2362,5.89,92.35,1.0005511428108282
06-01-2020,30871,1817,28500,2371,5.89,92.32,1.0002916207633983
06-02-2020,30874,1817,28500,2374,5.89,92.31,1.0000971785818407
06-03-2020,30893,1817,28600,2293,5.88,92.58,1.0006154045475157
06-04-2020,30913,1817,28600,2313,5.88,92.52,1.0006473958501927
06-05-2020,30936,1817,28600,2336,5.87,92.45,1.0007440235499627
06-06-2020,30956,1817,28700,2256,5.87,92.71,1.000646495991725
