date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
01-22-2020,0,0,0,0,0,0,1
01-23-2020,0,0,0,0,0,0,1
01-24-2020,0,0,0,0,0,0,1
01-25-2020,0,0,0,0,0,0,1
01-26-2020,0,0,0,0,0,0,1
01-27-2020,0,0,0,0,0,0,1
01-28-2020,0,0,0,0,0,0,1
01-29-2020,0,0,0,0,0,0,1
01-30-2020,0,0,0,0,0,0,1
01-31-2020,0,0,0,0,0,0,1
02-01-2020,0,0,0,0,0,0,1
02-02-2020,0,0,0,0,0,0,1
02-03-2020,0,0,0,0,0,0,1
02-04-2020,0,0,0,0,0,0,1
02-05-2020,0,0,0,0,0,0,1
02-06-2020,0,0,0,0,0,0,1
02-07-2020,0,0,0,0,0,0,1
02-08-2020,0,0,0,0,0,0,1
02-09-2020,0,0,0,0,0,0,1
02-10-2020,0,0,0,0,0,0,1
02-11-2020,0,0,0,0,0,0,1
02-12-2020,0,0,0,0,0,0,1
02-13-2020,0,0,0,0,0,0,1
02-14-2020,0,0,0,0,0,0,1
02-15-2020,0,0,0,0,0,0,1
02-16-2020,0,0,0,0,0,0,1
02-17-2020,0,0,0,0,0,0,1
02-18-2020,0,0,0,0,0,0,1
02-19-2020,0,0,0,0,0,0,1
02-20-2020,0,0,0,0,0,0,1
02-21-2020,0,0,0,0,0,0,1
02-22-2020,0,0,0,0,0,0,1
02-23-2020,0,0,0,0,0,0,1
02-24-2020,0,0,0,0,0,0,1
02-25-2020,0,0,0,0,0,0,1
02-26-2020,0,0,0,0,0,0,1
02-27-2020,0,0,0,0,0,0,1
02-28-2020,1,0,0,1,0,0,1
02-29-2020,1,0,0,1,0,0,1.0
03-01-2020,1,0,0,1,0,0,1.0
03-02-2020,1,0,0,1,0,0,1.0
03-03-2020,1,0,0,1,0,0,1.0
03-04-2020,3,0,0,3,0,0,3.0
03-05-2020,3,0,0,3,0,0,1.0
03-06-2020,4,0,0,4,0,0,1.3333333333333333
03-07-2020,5,0,0,5,0,0,1.25
03-08-2020,5,0,0,5,0,0,1.0
03-09-2020,5,0,0,5,0,0,1.0
03-10-2020,5,0,0,5,0,0,1.0
03-11-2020,5,0,0,5,0,0,1.0
03-12-2020,5,0,0,5,0,0,1.0
03-13-2020,5,0,0,5,0,0,1.0
03-14-2020,6,0,0,6,0,0,1.2
03-15-2020,8,0,0,8,0,0,1.3333333333333333
03-16-2020,8,0,0,8,0,0,1.0
03-17-2020,12,0,0,12,0,0,1.5
03-18-2020,20,0,0,20,0,0,1.6666666666666665
03-19-2020,28,0,0,28,0,0,1.4
03-20-2020,39,0,0,39,0,0,1.3928571428571428
03-21-2020,52,0,0,52,0,0,1.3333333333333333
03-22-2020,102,0,0,102,0,0,1.9615384615384617
03-23-2020,102,0,0,102,0,0,1.0
03-24-2020,155,0,12,143,0,7.74,1.5196078431372548
03-25-2020,205,0,22,183,0,10.73,1.3225806451612903
03-26-2020,283,0,27,256,0,9.54,1.3804878048780487
03-27-2020,368,0,37,331,0,10.05,1.3003533568904593
03-28-2020,451,0,50,401,0,11.09,1.2255434782608696
03-29-2020,514,1,56,458,0.19,10.89,1.139689578713969
03-30-2020,589,1,63,526,0.17,10.7,1.1459143968871595
03-31-2020,647,1,74,573,0.15,11.44,1.098471986417657
04-01-2020,708,1,83,625,0.14,11.72,1.0942812982998453
04-02-2020,797,1,92,705,0.13,11.54,1.1257062146892656
04-03-2020,868,1,103,765,0.12,11.87,1.0890840652446676
04-04-2020,950,1,127,823,0.11,13.37,1.0944700460829493
04-05-2020,1039,1,156,883,0.1,15.01,1.0936842105263158
04-06-2020,1106,1,176,930,0.09,15.91,1.0644850818094322
04-07-2020,1160,1,241,919,0.09,20.78,1.0488245931283906
04-08-2020,1210,1,282,928,0.08,23.31,1.043103448275862
04-09-2020,1239,1,317,922,0.08,25.59,1.0239669421487603
04-10-2020,1283,2,373,910,0.16,29.07,1.0355125100887812
04-11-2020,1312,4,422,890,0.3,32.16,1.0226032735775525
04-12-2020,1330,4,471,859,0.3,35.41,1.013719512195122
04-13-2020,1349,5,546,803,0.37,40.47,1.0142857142857142
04-14-2020,1366,9,628,738,0.66,45.97,1.0126019273535953
04-15-2020,1386,9,728,658,0.65,52.53,1.0146412884333822
04-16-2020,1401,9,770,631,0.64,54.96,1.0108225108225108
04-17-2020,1409,11,816,593,0.78,57.91,1.0057102069950035
04-18-2020,1422,11,867,555,0.77,60.97,1.0092264017033357
04-19-2020,1431,12,912,519,0.84,63.73,1.0063291139240507
04-20-2020,1440,12,974,466,0.83,67.64,1.0062893081761006
04-21-2020,1445,13,1006,439,0.9,69.62,1.0034722222222223
04-22-2020,1451,14,1036,415,0.96,71.4,1.0041522491349482
04-23-2020,1456,17,1095,361,1.17,75.21,1.0034458993797382
04-24-2020,1461,18,1118,343,1.23,76.52,1.003434065934066
04-25-2020,1470,18,1142,328,1.22,77.69,1.0061601642710472
04-26-2020,1469,19,1180,289,1.29,80.33,1.0006802721088435
04-27-2020,1472,19,1214,258,1.29,82.47,1.0020422055820286
04-28-2020,1474,19,1229,245,1.29,83.38,1.0013586956521738
04-29-2020,1476,19,1241,235,1.29,84.08,1.0013568521031209
04-30-2020,1479,19,1252,227,1.28,84.65,1.0020325203252032
05-01-2020,1485,20,1263,222,1.35,85.05,1.0040567951318458
05-02-2020,1487,20,1266,221,1.34,85.14,1.0013468013468014
05-03-2020,1487,20,1276,211,1.34,85.81,1.0
05-04-2020,1486,20,1302,184,1.35,87.62,1.0006724949562877
05-05-2020,1488,21,1316,172,1.41,88.44,1.0013458950201883
05-06-2020,1489,21,1332,157,1.41,89.46,1.0006720430107527
05-07-2020,1490,21,1347,143,1.41,90.4,1.0006715916722633
05-08-2020,1492,21,1368,124,1.41,91.69,1.0013422818791946
05-09-2020,1494,21,1371,123,1.41,91.77,1.0013404825737264
05-10-2020,1497,21,1386,111,1.4,92.59,1.002008032128514
05-11-2020,1497,21,1398,99,1.4,93.39,1.0
05-12-2020,1497,21,1402,95,1.4,93.65,1.0
05-13-2020,1497,21,1411,86,1.4,94.26,1.0
05-14-2020,1498,21,1421,77,1.4,94.86,1.0006680026720107
05-15-2020,1498,21,1428,70,1.4,95.33,1.0
05-16-2020,1499,21,1433,66,1.4,95.6,1.000667556742323
05-17-2020,1499,21,1433,66,1.4,95.6,1.0
05-18-2020,1499,21,1433,66,1.4,95.6,1.0
05-19-2020,1503,21,1447,56,1.4,96.27,1.0026684456304202
05-20-2020,1503,21,1452,51,1.4,96.61,1.0
05-21-2020,1504,21,1455,49,1.4,96.74,1.0006653359946773
05-22-2020,1504,21,1455,49,1.4,96.74,1.0
05-23-2020,1504,21,1456,48,1.4,96.81,1.0
05-24-2020,1504,21,1456,48,1.4,96.81,1.0
05-25-2020,1504,21,1461,43,1.4,97.14,1.0
05-26-2020,1504,21,1462,42,1.4,97.21,1.0
05-27-2020,1504,22,1474,30,1.46,98.01,1.0
05-28-2020,1504,22,1481,23,1.46,98.47,1.0
05-29-2020,1504,22,1481,23,1.46,98.47,1.0
05-30-2020,1504,22,1481,23,1.46,98.47,1.0
05-31-2020,1504,22,1481,23,1.46,98.47,1.0
06-01-2020,1504,22,1481,23,1.46,98.47,1.0
06-02-2020,1504,22,1481,23,1.46,98.47,1.0
06-03-2020,1504,22,1481,23,1.46,98.47,1.0
06-04-2020,1504,22,1481,23,1.46,98.47,1.0
06-05-2020,1504,22,1481,23,1.46,98.47,1.0
06-06-2020,1504,22,1481,23,1.46,98.47,1.0
06-07-2020,1504,22,1482,22,1.46,98.54,1.0
06-08-2020,1504,22,1482,22,1.46,98.54,1.0
06-09-2020,1504,22,1482,22,1.46,98.54,1.0
06-10-2020,1504,22,1482,22,1.46,98.54,1.0
06-11-2020,1504,22,1482,22,1.46,98.54,1.0
06-12-2020,1504,22,1482,22,1.46,98.54,1.0
06-13-2020,1504,22,1482,22,1.46,98.54,1.0
06-14-2020,1504,22,1482,22,1.46,98.54,1.0
06-15-2020,1506,22,1482,24,1.46,98.41,1.0013297872340425
06-16-2020,1506,22,1482,24,1.46,98.41,1.0
06-17-2020,1507,22,1482,25,1.46,98.34,1.00066401062417
06-18-2020,1507,22,1482,25,1.46,98.34,1.0
06-19-2020,1509,22,1482,27,1.46,98.21,1.0013271400132715
06-20-2020,1511,22,1482,29,1.46,98.08,1.001325381047051
06-21-2020,1513,22,1482,31,1.45,97.95,1.00132362673726
06-22-2020,1515,22,1483,32,1.45,97.89,1.0013218770654329
06-23-2020,1516,22,1483,33,1.45,97.82,1.0006600660066007
06-24-2020,1519,22,1484,35,1.45,97.7,1.0019788918205805
06-25-2020,1520,22,1484,36,1.45,97.63,1.000658327847268
06-26-2020,1522,22,1484,38,1.45,97.5,1.0013157894736842
06-27-2020,1526,22,1484,42,1.44,97.25,1.002628120893561
06-28-2020,1528,22,1484,44,1.44,97.12,1.001310615989515
06-29-2020,1528,22,1484,44,1.44,97.12,1.0
06-30-2020,1528,22,1484,44,1.44,97.12,1.0
07-01-2020,1530,22,1490,40,1.44,97.39,1.0013089005235603
07-02-2020,1530,22,1490,40,1.44,97.39,1.0
07-03-2020,1530,22,1490,40,1.44,97.39,1.0
07-04-2020,1533,22,1490,43,1.44,97.2,1.0019607843137255
07-05-2020,1534,22,1490,44,1.43,97.13,1.000652315720809
07-06-2020,1536,22,1492,44,1.43,97.14,1.001303780964798
07-07-2020,1537,22,1492,45,1.43,97.07,1.0006510416666667
07-08-2020,1540,22,1494,46,1.43,97.01,1.0019518542615484
07-09-2020,1542,22,1497,45,1.43,97.08,1.0012987012987014
07-10-2020,1543,22,1497,46,1.43,97.02,1.0006485084306096
07-11-2020,1544,22,1497,47,1.42,96.96,1.000648088139987
07-12-2020,1544,22,1497,47,1.42,96.96,1.0
07-13-2020,1545,22,1498,47,1.42,96.96,1.0006476683937824
07-14-2020,1547,22,1498,49,1.42,96.83,1.001294498381877
07-15-2020,1548,22,1499,49,1.42,96.83,1.0006464124111183
07-16-2020,1549,22,1506,43,1.42,97.22,1.0006459948320414
07-17-2020,1550,22,1506,44,1.42,97.16,1.000645577792124
07-18-2020,1553,22,1506,47,1.42,96.97,1.0019354838709678
07-19-2020,1554,22,1506,48,1.42,96.91,1.0006439150032196
07-20-2020,1555,22,1506,49,1.41,96.85,1.0006435006435006
07-21-2020,1555,22,1506,49,1.41,96.85,1.0
07-22-2020,1555,22,1511,44,1.41,97.17,1.0
07-23-2020,1556,22,1513,43,1.41,97.24,1.0006430868167202
07-24-2020,1556,22,1513,43,1.41,97.24,1.0
07-25-2020,1556,22,1513,43,1.41,97.24,1.0
07-26-2020,1556,22,1513,43,1.41,97.24,1.0
07-27-2020,1557,22,1514,43,1.41,97.24,1.000642673521851
07-28-2020,1559,22,1514,45,1.41,97.11,1.0012845215157353
07-29-2020,1560,22,1514,46,1.41,97.05,1.0006414368184733
07-30-2020,1560,22,1518,42,1.41,97.31,1.0
07-31-2020,1562,22,1518,44,1.41,97.18,1.0012820512820513
08-01-2020,1565,22,1518,47,1.41,97.0,1.001920614596671
08-02-2020,1567,22,1518,49,1.4,96.87,1.0012779552715656
08-03-2020,1567,22,1523,44,1.4,97.19,1.0
08-04-2020,1569,22,1523,46,1.4,97.07,1.0012763241863434
08-05-2020,1569,22,1524,45,1.4,97.13,1.0
08-06-2020,1569,22,1524,45,1.4,97.13,1.0
08-07-2020,1569,22,1524,45,1.4,97.13,1.0
08-08-2020,1569,22,1524,45,1.4,97.13,1.0
08-09-2020,1569,22,1526,43,1.4,97.26,1.0
08-10-2020,1570,22,1526,44,1.4,97.2,1.0006373486297004
08-11-2020,1570,22,1526,44,1.4,97.2,1.0
08-12-2020,1589,22,1531,58,1.38,96.35,1.0121019108280256
08-13-2020,1602,22,1531,71,1.37,95.57,1.0081812460667086
08-14-2020,1609,22,1531,78,1.37,95.15,1.0043695380774031
08-15-2020,1622,22,1531,91,1.36,94.39,1.0080795525170914
08-16-2020,1631,22,1531,100,1.35,93.87,1.0055487053020962
08-17-2020,1643,22,1531,112,1.34,93.18,1.0073574494175352
08-18-2020,1649,22,1531,118,1.33,92.84,1.0036518563603165
08-19-2020,1654,22,1531,123,1.33,92.56,1.003032140691328
08-20-2020,1665,22,1538,127,1.32,92.37,1.0066505441354292
08-21-2020,1671,22,1538,133,1.32,92.04,1.0036036036036036
08-22-2020,1674,22,1538,136,1.31,91.88,1.0017953321364452
08-23-2020,1683,22,1538,145,1.31,91.38,1.0053763440860215
08-24-2020,1690,22,1539,151,1.3,91.07,1.0041592394533572
08-25-2020,1695,22,1539,156,1.3,90.8,1.0029585798816567
08-26-2020,1702,22,1554,148,1.29,91.3,1.0041297935103244
08-27-2020,1714,22,1561,153,1.28,91.07,1.0070505287896592
08-28-2020,1727,22,1568,159,1.27,90.79,1.0075845974329054
08-29-2020,1729,22,1570,159,1.27,90.8,1.0011580775911986
08-30-2020,1738,22,1585,153,1.27,91.2,1.0052053209947946
08-31-2020,1752,22,1598,154,1.26,91.21,1.0080552359033372
09-01-2020,1757,22,1606,151,1.25,91.41,1.0028538812785388
09-02-2020,1759,22,1622,137,1.25,92.21,1.0011383039271486
09-03-2020,1764,22,1630,134,1.25,92.4,1.0028425241614554
09-04-2020,1767,24,1631,136,1.36,92.3,1.001700680272109
09-05-2020,1772,24,1632,140,1.35,92.1,1.0028296547821165
09-06-2020,1776,24,1634,142,1.35,92.0,1.002257336343115
09-07-2020,1782,24,1635,147,1.35,91.75,1.0033783783783783
09-08-2020,1788,24,1639,149,1.34,91.67,1.0033670033670035
09-09-2020,1792,24,1648,144,1.34,91.96,1.0022371364653244
09-10-2020,1793,24,1655,138,1.34,92.3,1.0005580357142858
09-11-2020,1795,24,1663,132,1.34,92.65,1.0011154489682097
09-12-2020,1797,24,1676,121,1.34,93.27,1.0011142061281337
09-13-2020,1798,24,1678,120,1.33,93.33,1.0005564830272677
09-14-2020,1801,24,1694,107,1.33,94.06,1.0016685205784204
09-15-2020,1802,25,1698,104,1.39,94.23,1.0005552470849528
09-16-2020,1809,25,1707,102,1.38,94.36,1.0038845726970034
09-17-2020,1809,25,1714,95,1.38,94.75,1.0
