date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-13-2020,1,0,0,1,0,0,1
03-14-2020,1,0,0,1,0,0,1.0
03-15-2020,3,0,0,3,0,0,3.0
03-16-2020,3,0,0,3,0,0,1.0
03-17-2020,3,0,0,3,0,0,1.0
03-18-2020,3,0,0,3,0,0,1.0
03-19-2020,7,0,0,7,0,0,2.333333333333333
03-20-2020,7,0,0,7,0,0,1.0
03-21-2020,7,0,0,7,0,0,1.0
03-22-2020,15,0,0,15,0,0,2.142857142857143
03-23-2020,16,0,0,16,0,0,1.0666666666666667
03-24-2020,25,0,0,25,0,0,1.5625
03-25-2020,28,0,1,27,0,3.57,1.12
03-26-2020,31,1,1,30,3.23,3.23,1.1071428571428572
03-27-2020,31,1,1,30,3.23,3.23,1.0
03-28-2020,38,1,1,37,2.63,2.63,1.2258064516129032
03-29-2020,42,1,1,41,2.38,2.38,1.1052631578947367
03-30-2020,50,1,1,49,2.0,2.0,1.1904761904761905
03-31-2020,59,1,1,58,1.69,1.69,1.18
04-01-2020,81,1,3,78,1.23,3.7,1.3728813559322033
04-02-2020,110,3,4,106,2.73,3.64,1.3580246913580247
04-03-2020,122,4,4,118,3.28,3.28,1.1090909090909091
04-04-2020,126,4,4,122,3.17,3.17,1.0327868852459017
04-05-2020,142,4,4,138,2.82,2.82,1.126984126984127
04-06-2020,158,6,4,154,3.8,2.53,1.1126760563380282
04-07-2020,172,6,7,165,3.49,4.07,1.0886075949367089
04-08-2020,179,6,9,170,3.35,5.03,1.0406976744186047
04-09-2020,184,7,12,172,3.8,6.52,1.0279329608938548
04-10-2020,189,7,22,167,3.7,11.64,1.0271739130434783
04-11-2020,191,7,24,167,3.66,12.57,1.0105820105820107
04-12-2020,197,8,25,172,4.06,12.69,1.031413612565445
04-13-2020,208,9,40,168,4.33,19.23,1.0558375634517767
04-14-2020,216,9,41,175,4.17,18.98,1.0384615384615385
04-15-2020,225,10,53,172,4.44,23.56,1.0416666666666667
04-16-2020,234,11,53,181,4.7,22.65,1.04
04-17-2020,246,11,53,193,4.47,21.54,1.0512820512820513
04-18-2020,262,12,60,202,4.58,22.9,1.065040650406504
04-19-2020,270,14,67,203,5.19,24.81,1.0305343511450382
04-20-2020,281,14,69,212,4.98,24.56,1.0407407407407407
04-21-2020,296,14,74,222,4.73,25.0,1.0533807829181494
04-22-2020,303,14,74,229,4.62,24.42,1.0236486486486487
04-23-2020,320,14,89,231,4.38,27.81,1.056105610561056
04-24-2020,336,14,94,242,4.17,27.98,1.05
04-25-2020,343,14,98,245,4.08,28.57,1.0208333333333333
04-26-2020,355,14,106,249,3.94,29.86,1.0349854227405249
04-27-2020,363,14,114,249,3.86,31.4,1.0225352112676056
04-28-2020,374,14,124,250,3.74,33.16,1.0303030303030303
04-29-2020,384,15,129,255,3.91,33.59,1.0267379679144386
04-30-2020,396,17,144,252,4.29,36.36,1.03125
05-01-2020,411,21,150,261,5.11,36.5,1.0378787878787878
