date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-14-2020,1,0,0,1,0.0,0.0,1
03-15-2020,1,0,0,1,0.0,0.0,1.0
03-16-2020,1,0,0,1,0.0,0.0,1.0
03-17-2020,1,0,0,1,0.0,0.0,1.0
03-18-2020,1,0,0,1,0.0,0.0,1.0
03-19-2020,1,0,0,1,0.0,0.0,1.0
03-20-2020,1,0,0,1,0.0,0.0,1.0
03-21-2020,1,0,0,1,0.0,0.0,1.0
03-22-2020,4,0,0,4,0.0,0.0,4.0
03-23-2020,4,0,0,4,0.0,0.0,1.0
03-24-2020,4,0,0,4,0.0,0.0,1.0
03-25-2020,4,0,0,4,0.0,0.0,1.0
03-26-2020,6,0,0,6,0.0,0.0,1.5
03-27-2020,9,0,0,9,0.0,0.0,1.5
03-28-2020,9,0,0,9,0.0,0.0,1.0
03-29-2020,9,0,0,9,0.0,0.0,1.0
03-30-2020,9,0,0,9,0.0,0.0,1.0
03-31-2020,9,0,0,9,0.0,0.0,1.0
04-01-2020,9,0,0,9,0.0,0.0,1.0
04-02-2020,9,0,0,9,0.0,0.0,1.0
04-03-2020,9,0,0,9,0.0,0.0,1.0
04-04-2020,9,0,0,9,0.0,0.0,1.0
04-05-2020,9,0,0,9,0.0,0.0,1.0
04-06-2020,10,0,4,6,0.0,40.0,1.1111111111111112
04-07-2020,10,0,4,6,0.0,40.0,1.0
04-08-2020,12,0,7,5,0.0,58.33,1.2
04-09-2020,12,0,7,5,0.0,58.33,1.0
04-10-2020,12,0,7,5,0.0,58.33,1.0
04-11-2020,12,0,7,5,0.0,58.33,1.0
04-12-2020,14,0,7,7,0.0,50.0,1.1666666666666667
04-13-2020,15,0,7,8,0.0,46.67,1.0714285714285714
04-14-2020,15,0,8,7,0.0,53.33,1.0
04-15-2020,15,0,8,7,0.0,53.33,1.0
04-16-2020,16,1,8,8,6.25,50.0,1.0666666666666667
04-17-2020,16,1,8,8,6.25,50.0,1.0
04-18-2020,22,1,8,14,4.55,36.36,1.375
04-19-2020,22,1,8,14,4.55,36.36,1.0
04-20-2020,24,1,8,16,4.17,33.33,1.0909090909090908
04-21-2020,31,1,8,23,3.23,25.81,1.2916666666666667
04-22-2020,31,1,8,23,3.23,25.81,1.0
04-23-2020,31,1,8,23,3.23,25.81,1.0
04-24-2020,36,1,10,26,2.78,27.78,1.1612903225806452
04-25-2020,56,1,10,46,1.79,17.86,1.5555555555555556
04-26-2020,59,1,10,49,1.69,16.95,1.0535714285714286
04-27-2020,65,1,10,55,1.54,15.38,1.1016949152542372
04-28-2020,71,1,10,61,1.41,14.08,1.0923076923076924
04-29-2020,91,1,10,81,1.1,10.99,1.2816901408450705
04-30-2020,100,1,12,88,1.0,12.0,1.098901098901099
05-01-2020,106,1,12,94,0.94,11.32,1.06
05-02-2020,108,1,12,96,0.93,11.11,1.0188679245283019
05-03-2020,112,1,12,100,0.89,10.71,1.037037037037037
05-04-2020,116,1,12,104,0.86,10.34,1.0357142857142858
05-05-2020,119,1,12,107,0.84,10.08,1.0258620689655173
05-06-2020,123,2,12,111,1.63,9.76,1.0336134453781514
05-07-2020,153,2,12,141,1.31,7.84,1.2439024390243902
05-08-2020,159,2,12,147,1.26,7.55,1.0392156862745099
05-09-2020,163,2,14,149,1.23,8.59,1.0251572327044025
05-10-2020,172,2,27,145,1.16,15.7,1.0552147239263803
05-11-2020,175,2,28,147,1.14,16.0,1.0174418604651163
05-12-2020,184,2,28,156,1.09,15.22,1.0514285714285714
05-13-2020,187,2,48,139,1.07,25.67,1.016304347826087
05-14-2020,187,2,51,136,1.07,27.27,1.0
05-15-2020,190,2,66,124,1.05,34.74,1.0160427807486632
05-16-2020,202,2,72,130,0.99,35.64,1.063157894736842
05-17-2020,203,2,73,130,0.99,35.96,1.004950495049505
05-18-2020,205,2,78,127,0.98,38.05,1.0098522167487685
05-19-2020,208,2,87,121,0.96,41.83,1.0146341463414634
05-20-2020,217,2,97,120,0.92,44.7,1.0432692307692308
05-21-2020,220,2,112,108,0.91,50.91,1.0138248847926268
05-22-2020,225,2,119,106,0.89,52.89,1.0227272727272727
05-23-2020,238,2,119,119,0.84,50.0,1.0577777777777777
05-24-2020,250,2,156,94,0.8,62.4,1.050420168067227
05-25-2020,256,2,158,98,0.78,61.72,1.024
05-26-2020,261,2,164,97,0.77,62.84,1.01953125
05-27-2020,272,2,168,104,0.74,61.76,1.0421455938697317
05-28-2020,279,2,168,111,0.72,60.22,1.025735294117647
05-29-2020,279,2,168,111,0.72,60.22,1.0
05-30-2020,283,2,168,115,0.71,59.36,1.014336917562724
05-31-2020,285,2,189,96,0.7,66.32,1.0070671378091873
06-01-2020,293,3,194,99,1.02,66.21,1.0280701754385966
06-02-2020,294,3,198,96,1.02,67.35,1.0034129692832765
06-03-2020,295,3,201,94,1.02,68.14,1.0034013605442176
06-04-2020,300,3,201,99,1.0,67.0,1.0169491525423728
06-05-2020,305,3,221,84,0.98,72.46,1.0166666666666666
06-06-2020,322,3,224,98,0.93,69.57,1.0557377049180328
06-07-2020,333,3,225,108,0.9,67.57,1.0341614906832297
06-08-2020,340,3,229,111,0.88,67.35,1.021021021021021
06-09-2020,371,3,232,139,0.81,62.53,1.0911764705882352
06-10-2020,398,3,236,162,0.75,59.3,1.0727762803234502
06-11-2020,449,3,238,211,0.67,53.01,1.1281407035175879
06-12-2020,472,3,246,226,0.64,52.12,1.0512249443207127
06-13-2020,486,3,247,239,0.62,50.82,1.0296610169491525
06-14-2020,490,4,249,241,0.82,50.82,1.008230452674897
06-15-2020,506,4,249,257,0.79,49.21,1.0326530612244897
06-16-2020,520,4,259,261,0.77,49.81,1.0276679841897234
06-17-2020,563,4,262,301,0.71,46.54,1.0826923076923076
06-18-2020,586,4,267,319,0.68,45.56,1.0408525754884548
06-19-2020,623,4,276,347,0.64,44.3,1.0631399317406143
06-20-2020,627,5,285,342,0.8,45.45,1.0064205457463884
06-21-2020,635,5,285,350,0.79,44.88,1.0127591706539074
06-22-2020,643,6,291,352,0.93,45.26,1.0125984251968503
06-23-2020,674,7,319,355,1.04,47.33,1.0482115085536547
06-24-2020,690,7,331,359,1.01,47.97,1.0237388724035608
06-25-2020,706,8,347,359,1.13,49.15,1.0231884057971015
06-26-2020,728,8,367,361,1.1,50.41,1.0311614730878187
06-27-2020,745,8,370,375,1.07,49.66,1.0233516483516483
06-28-2020,781,11,372,409,1.41,47.63,1.0483221476510067
06-29-2020,795,11,380,415,1.38,47.8,1.0179257362355953
06-30-2020,812,11,408,404,1.35,50.25,1.0213836477987421
07-01-2020,840,11,418,422,1.31,49.76,1.0344827586206897
07-02-2020,873,11,452,421,1.26,51.78,1.0392857142857144
07-03-2020,909,13,515,394,1.43,56.66,1.041237113402062
07-04-2020,954,13,535,419,1.36,56.08,1.0495049504950495
07-05-2020,988,13,547,441,1.32,55.36,1.0356394129979036
07-06-2020,1011,13,564,447,1.29,55.79,1.0232793522267207
07-07-2020,1056,14,570,486,1.33,53.98,1.0445103857566767
07-08-2020,1138,14,588,550,1.23,51.67,1.0776515151515151
07-09-2020,1213,17,609,604,1.4,50.21,1.0659050966608083
07-10-2020,1257,18,633,624,1.43,50.36,1.0362737015663643
07-11-2020,1311,18,656,655,1.37,50.04,1.0429594272076372
07-12-2020,1351,20,668,683,1.48,49.44,1.030511060259344
07-13-2020,1389,20,688,701,1.44,49.53,1.0281273131014064
07-14-2020,1434,20,695,739,1.39,48.47,1.0323974082073435
07-15-2020,1489,20,724,765,1.34,48.62,1.0383542538354253
07-16-2020,1552,21,736,816,1.35,47.42,1.0423102753525857
07-17-2020,1619,21,769,850,1.3,47.5,1.0431701030927836
07-18-2020,1729,21,788,941,1.21,45.58,1.0679431747992587
07-19-2020,1793,21,822,971,1.17,45.84,1.0370156159629844
07-20-2020,1826,23,850,976,1.26,46.55,1.01840490797546
07-21-2020,1894,24,855,1039,1.27,45.14,1.0372398685651698
07-22-2020,1938,25,876,1062,1.29,45.2,1.0232312565997888
07-23-2020,2021,28,882,1139,1.39,43.64,1.042827657378741
07-24-2020,2073,28,929,1144,1.35,44.81,1.0257298367144978
07-25-2020,2142,28,940,1202,1.31,43.88,1.03328509406657
07-26-2020,2207,32,986,1221,1.45,44.68,1.030345471521942
07-27-2020,2316,34,1025,1291,1.47,44.26,1.0493883099229724
07-28-2020,2404,39,1025,1379,1.62,42.64,1.0379965457685665
07-29-2020,2551,40,1070,1481,1.57,41.94,1.0611480865224625
07-30-2020,2577,40,1134,1443,1.55,44.0,1.0101920815366523
07-31-2020,2648,41,1214,1434,1.55,45.85,1.0275514163756305
08-01-2020,2706,43,1214,1492,1.59,44.86,1.0219033232628398
08-02-2020,2775,43,1214,1561,1.55,43.75,1.0254988913525498
08-03-2020,2838,45,1253,1585,1.59,44.15,1.0227027027027027
08-04-2020,2856,49,1258,1598,1.72,44.05,1.0063424947145878
08-05-2020,2909,53,1385,1524,1.82,47.61,1.0185574229691876
08-06-2020,2968,55,1476,1492,1.85,49.73,1.020281883808869
08-07-2020,3036,56,1476,1560,1.84,48.62,1.022911051212938
08-08-2020,3128,56,1565,1563,1.79,50.03,1.0303030303030303
08-09-2020,3236,58,1607,1629,1.79,49.66,1.0345268542199488
08-10-2020,3309,61,1634,1675,1.84,49.38,1.0225587144622992
08-11-2020,3410,63,1720,1690,1.85,50.44,1.0305228165608946
08-12-2020,3525,63,1910,1615,1.79,54.18,1.033724340175953
08-13-2020,3599,65,1991,1608,1.81,55.32,1.0209929078014184
08-14-2020,3670,68,1991,1679,1.85,54.25,1.0197277021394833
08-15-2020,3745,69,2268,1477,1.84,60.56,1.0204359673024523
08-16-2020,3839,70,2268,1571,1.82,59.08,1.0251001335113485
08-17-2020,3894,73,2371,1523,1.87,60.89,1.0143266475644699
08-18-2020,3989,76,2587,1402,1.91,64.85,1.0243965074473549
08-19-2020,4058,79,2611,1447,1.95,64.34,1.0172975683128604
08-20-2020,4110,81,2643,1467,1.97,64.31,1.0128141941843272
08-21-2020,4128,81,2682,1446,1.96,64.97,1.0043795620437956
08-22-2020,4189,83,2762,1427,1.98,65.93,1.0147771317829457
08-23-2020,4225,85,2898,1327,2.01,68.59,1.008593936500358
08-24-2020,4304,85,2936,1368,1.97,68.22,1.018698224852071
08-25-2020,4327,86,2959,1368,1.99,68.38,1.0053438661710037
08-26-2020,4387,88,3078,1309,2.01,70.16,1.0138664201525307
08-27-2020,4433,89,3115,1318,2.01,70.27,1.010485525416002
08-28-2020,4461,91,3210,1251,2.04,71.96,1.0063162643807806
08-29-2020,4510,91,3359,1151,2.02,74.48,1.0109840842860345
08-30-2020,4561,91,3478,1083,2.0,76.26,1.0113082039911307
08-31-2020,4577,91,3529,1048,1.99,77.1,1.003508002631002
09-01-2020,4618,94,3562,1056,2.04,77.13,1.0089578326414683
09-02-2020,4668,94,3585,1083,2.01,76.8,1.010827197921178
09-03-2020,4720,94,3789,931,1.99,80.28,1.0111396743787489
09-04-2020,4780,94,3844,936,1.97,80.42,1.0127118644067796
09-05-2020,4819,94,3903,916,1.95,80.99,1.0081589958158996
09-06-2020,4853,94,3951,902,1.94,81.41,1.007055405685827
09-07-2020,4884,94,4029,855,1.92,82.49,1.0063878013599836
09-08-2020,4904,96,4059,845,1.96,82.77,1.004095004095004
09-09-2020,4936,97,4077,859,1.97,82.6,1.0065252854812399
09-10-2020,4994,98,4103,891,1.96,82.16,1.0117504051863857
09-11-2020,5025,98,4165,860,1.95,82.89,1.0062074489387265
09-12-2020,5050,98,4188,862,1.94,82.93,1.0049751243781095
09-13-2020,5075,98,4229,846,1.93,83.33,1.004950495049505
09-14-2020,5104,101,4374,730,1.98,85.7,1.0057142857142858
09-15-2020,5128,101,4401,727,1.97,85.82,1.0047021943573669
09-16-2020,5155,101,4418,737,1.96,85.7,1.0052652106084243
09-17-2020,5191,103,4439,752,1.98,85.51,1.0069835111542191
09-18-2020,5215,103,4478,737,1.98,85.87,1.004623386630707
09-19-2020,5245,104,4571,674,1.98,87.15,1.00575263662512
09-20-2020,5269,104,4624,645,1.97,87.76,1.0045757864632985
09-21-2020,5282,104,4647,635,1.97,87.98,1.0024672613399126
09-22-2020,5307,106,4672,635,2.0,88.03,1.0047330556607346
09-23-2020,5343,108,4693,650,2.02,87.83,1.006783493499152
09-24-2020,5375,108,4724,651,2.01,87.89,1.005989144675276
09-25-2020,5399,108,4767,632,2.0,88.29,1.0044651162790699
09-26-2020,5419,108,4802,617,1.99,88.61,1.0037043897017965
09-27-2020,5431,108,4821,610,1.99,88.77,1.0022144307067724
09-28-2020,5452,108,4844,608,1.98,88.85,1.003866691217087
09-29-2020,5462,108,4859,603,1.98,88.96,1.0018341892883345
09-30-2020,5482,109,4912,570,1.99,89.6,1.0036616623947272
10-01-2020,5500,111,5000,500,2.02,90.91,1.003283473184969
10-02-2020,5521,111,5061,460,2.01,91.67,1.0038181818181817
10-03-2020,5530,111,5076,454,2.01,91.79,1.0016301394674878
10-04-2020,5569,111,5127,442,1.99,92.06,1.0070524412296564
10-05-2020,5579,112,5141,438,2.01,92.15,1.001795654516071
10-06-2020,5598,112,5169,429,2.0,92.34,1.0034056282487902
10-07-2020,5617,113,5196,421,2.01,92.5,1.003394069310468
10-08-2020,5632,113,5231,401,2.01,92.88,1.002670464660851
10-09-2020,5644,113,5254,390,2.0,93.09,1.0021306818181819
10-10-2020,5660,113,5282,378,2.0,93.32,1.0028348688873139
10-11-2020,5669,113,5310,359,1.99,93.67,1.001590106007067
10-12-2020,5683,113,5322,361,1.99,93.65,1.0024695713529723
10-13-2020,5696,114,5337,359,2.0,93.7,1.0022875241949674
10-14-2020,5715,114,5347,368,1.99,93.56,1.0033356741573034
10-15-2020,5733,115,5375,358,2.01,93.76,1.0031496062992127
10-16-2020,5746,115,5392,354,2.0,93.84,1.002267573696145
10-17-2020,5765,115,5392,373,1.99,93.53,1.0033066481030282
10-18-2020,5780,116,5415,365,2.01,93.69,1.002601908065915
10-19-2020,5788,116,5427,361,2.0,93.76,1.0013840830449827
10-20-2020,5800,116,5437,363,2.0,93.74,1.0020732550103664
10-21-2020,5805,116,5453,352,2.0,93.94,1.0008620689655172
10-22-2020,5814,116,5468,346,2.0,94.05,1.0015503875968992
10-23-2020,5831,116,5485,346,1.99,94.07,1.0029239766081872
10-24-2020,5847,116,5491,356,1.98,93.91,1.002743954724747
10-25-2020,5854,116,5502,352,1.98,93.99,1.0011971951428082
10-26-2020,5863,116,5511,352,1.98,94.0,1.0015374103177315
10-27-2020,5875,116,5524,351,1.97,94.03,1.0020467337540508
10-28-2020,5886,116,5542,344,1.97,94.16,1.0018723404255319
10-29-2020,5899,117,5542,357,1.98,93.95,1.0022086306489977
10-30-2020,5909,117,5557,352,1.98,94.04,1.0016952025767079
10-31-2020,5917,117,5646,271,1.98,95.42,1.001353866982569
11-01-2020,5925,117,5652,273,1.97,95.39,1.0013520365049857
11-02-2020,5929,117,5657,272,1.97,95.41,1.000675105485232
11-03-2020,5942,117,5669,273,1.97,95.41,1.002192612582223
11-04-2020,5955,117,5686,269,1.96,95.48,1.0021878155503197
11-05-2020,5967,117,5694,273,1.96,95.42,1.002015113350126
11-06-2020,5976,117,5704,272,1.96,95.45,1.0015082956259427
11-07-2020,5989,117,5719,270,1.95,95.49,1.0021753681392236
11-08-2020,6003,117,5724,279,1.95,95.35,1.0023376189681081
11-09-2020,6013,117,5732,281,1.95,95.33,1.0016658337497917
11-10-2020,6024,117,5737,287,1.94,95.24,1.0018293696989855
11-11-2020,6044,117,5744,300,1.94,95.04,1.00332005312085
11-12-2020,6060,117,5746,314,1.93,94.82,1.00264725347452
11-13-2020,6076,118,5756,320,1.94,94.73,1.0026402640264027
11-14-2020,6093,119,5771,322,1.95,94.72,1.0027978933508888
11-15-2020,6095,119,5779,316,1.95,94.82,1.0003282455276548
11-16-2020,6105,119,5790,315,1.95,94.84,1.0016406890894176
11-17-2020,6124,119,5812,312,1.94,94.91,1.003112203112203
11-18-2020,6144,119,5826,318,1.94,94.82,1.0032658393207055
11-19-2020,6156,119,5831,325,1.93,94.72,1.001953125
11-20-2020,6185,119,5839,346,1.92,94.41,1.0047108512020793
11-21-2020,6205,119,5850,355,1.92,94.28,1.0032336297493938
11-22-2020,6219,120,5858,361,1.93,94.2,1.0022562449637389
11-23-2020,6233,120,5869,364,1.93,94.16,1.0022511657822801
11-24-2020,6247,120,5878,369,1.92,94.09,1.0022461094176158
11-25-2020,6272,120,5901,371,1.91,94.08,1.0040019209220425
11-26-2020,6329,120,5929,400,1.9,93.68,1.0090880102040816
11-27-2020,6362,120,5959,403,1.89,93.67,1.0052140938536893
11-28-2020,6406,121,5987,419,1.89,93.46,1.0069160641307764
11-29-2020,6410,121,5996,414,1.89,93.54,1.000624414611302
11-30-2020,6419,122,6006,413,1.9,93.57,1.0014040561622466
12-01-2020,6442,122,6017,425,1.89,93.4,1.0035831126343666
12-02-2020,6455,122,6032,423,1.89,93.45,1.002018006830177
12-03-2020,6474,122,6044,430,1.88,93.36,1.0029434546862896
12-04-2020,6480,122,6066,414,1.88,93.61,1.0009267840593141
12-05-2020,6495,122,6078,417,1.88,93.58,1.0023148148148149
12-06-2020,6501,122,6090,411,1.88,93.68,1.0009237875288683
12-07-2020,6529,123,6094,435,1.88,93.34,1.0043070296877403
12-08-2020,6563,124,6137,426,1.89,93.51,1.0052075356103538
12-09-2020,6612,125,6175,437,1.89,93.39,1.0074660978211183
12-10-2020,6633,126,6221,412,1.9,93.79,1.0031760435571688
12-11-2020,6685,126,6279,406,1.88,93.93,1.0078395899291421
12-12-2020,6714,127,6331,383,1.89,94.3,1.0043380703066567
12-13-2020,6768,127,6379,389,1.88,94.25,1.0080428954423593
12-14-2020,6825,130,6416,409,1.9,94.01,1.008421985815603
12-15-2020,6912,132,6476,436,1.91,93.69,1.0127472527472527
12-16-2020,7026,135,6531,495,1.92,92.95,1.0164930555555556
12-17-2020,7093,135,6579,514,1.9,92.75,1.0095360091090235
12-18-2020,7202,136,6624,578,1.89,91.97,1.0153672634992246
12-19-2020,7305,137,6662,643,1.88,91.2,1.0143015828936406
12-20-2020,7427,140,6696,731,1.89,90.16,1.0167008898015057
12-21-2020,7562,141,6761,801,1.86,89.41,1.018176922041201
12-22-2020,7715,142,6821,894,1.84,88.41,1.0202327426606719
12-23-2020,7868,153,6879,989,1.94,87.43,1.0198314970836033
12-24-2020,8032,154,6952,1080,1.92,86.55,1.0208439247585155
12-25-2020,8170,154,7016,1154,1.88,85.88,1.0171812749003983
12-26-2020,8367,163,7016,1351,1.95,83.85,1.0241126070991433
12-27-2020,8484,165,7016,1468,1.94,82.7,1.013983506633202
12-28-2020,8687,167,7026,1661,1.92,80.88,1.023927392739274
12-29-2020,8934,175,7048,1886,1.96,78.89,1.028433291124669
12-30-2020,9146,184,7062,2084,2.01,77.21,1.0237295724199686
