date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
01-31-2020,2,0,0,2,0,0,1
02-01-2020,2,0,0,2,0,0,1.0
02-02-2020,2,0,0,2,0,0,1.0
02-03-2020,2,0,0,2,0,0,1.0
02-04-2020,2,0,0,2,0,0,1.0
02-05-2020,2,0,0,2,0,0,1.0
02-06-2020,2,0,0,2,0,0,1.0
02-07-2020,2,0,0,2,0,0,1.0
02-08-2020,2,0,0,2,0,0,1.0
02-09-2020,2,0,0,2,0,0,1.0
02-10-2020,2,0,0,2,0,0,1.0
02-11-2020,2,0,0,2,0,0,1.0
02-12-2020,2,0,2,0,0,100.0,1.0
02-13-2020,2,0,2,0,0,100.0,1.0
02-14-2020,2,0,2,0,0,100.0,1.0
02-15-2020,2,0,2,0,0,100.0,1.0
02-16-2020,2,0,2,0,0,100.0,1.0
02-17-2020,2,0,2,0,0,100.0,1.0
02-18-2020,2,0,2,0,0,100.0,1.0
02-19-2020,2,0,2,0,0,100.0,1.0
02-20-2020,2,0,2,0,0,100.0,1.0
02-21-2020,2,0,2,0,0,100.0,1.0
02-22-2020,2,0,2,0,0,100.0,1.0
02-23-2020,2,0,2,0,0,100.0,1.0
02-24-2020,2,0,2,0,0,100.0,1.0
02-25-2020,2,0,2,0,0,100.0,1.0
02-26-2020,2,0,2,0,0,100.0,1.0
02-27-2020,2,0,2,0,0,100.0,1.0
02-28-2020,2,0,2,0,0,100.0,1.0
02-29-2020,2,0,2,0,0,100.0,1.0
03-01-2020,2,0,2,0,0,100.0,1.0
03-02-2020,3,0,2,1,0,66.67,1.5
03-03-2020,3,0,2,1,0,66.67,1.0
03-04-2020,3,0,2,1,0,66.67,1.0
03-05-2020,4,0,2,2,0,50.0,1.3333333333333333
03-06-2020,13,0,2,11,0,15.38,3.25
03-07-2020,13,0,2,11,0,15.38,1.0
03-08-2020,17,0,3,14,0,17.65,1.3076923076923077
03-09-2020,17,0,3,14,0,17.65,1.0
03-11-2020,20,0,3,17,0,15.0,1
03-12-2020,28,0,3,25,0,10.71,1.4
03-13-2020,45,0,3,42,0,6.67,1.6071428571428572
03-14-2020,59,0,8,51,0,13.56,1.3111111111111111
03-15-2020,63,0,8,55,0,12.7,1.0677966101694916
03-16-2020,90,0,8,82,0,8.89,1.4285714285714286
03-17-2020,114,0,8,106,0,7.02,1.2666666666666666
03-18-2020,147,0,8,139,0,5.44,1.2894736842105263
03-19-2020,199,1,9,190,0.5,4.52,1.3537414965986394
03-20-2020,253,1,9,244,0.4,3.56,1.271356783919598
03-21-2020,306,1,12,294,0.33,3.92,1.2094861660079053
03-22-2020,367,1,16,351,0.27,4.36,1.1993464052287581
03-23-2020,438,1,17,421,0.23,3.88,1.1934604904632153
03-24-2020,495,1,22,473,0.2,4.44,1.13013698630137
03-25-2020,658,3,29,629,0.46,4.41,1.3292929292929294
03-26-2020,840,3,38,802,0.36,4.52,1.2765957446808511
03-27-2020,1036,4,45,991,0.39,4.34,1.2333333333333334
03-28-2020,1264,4,49,1215,0.32,3.88,1.22007722007722
03-29-2020,1534,8,64,1470,0.52,4.17,1.2136075949367089
03-30-2020,1836,9,66,1770,0.49,3.59,1.196870925684485
03-31-2020,2337,17,121,2216,0.73,5.18,1.272875816993464
04-01-2020,2777,24,190,2587,0.86,6.84,1.188275566966196
04-02-2020,3548,30,235,3313,0.85,6.62,1.2776377385667987
04-03-2020,4149,34,281,3868,0.82,6.77,1.169391206313416
04-04-2020,4731,43,333,4398,0.91,7.04,1.1402747650036154
04-05-2020,5389,45,355,5034,0.84,6.59,1.1390826463749737
04-06-2020,6343,47,406,5937,0.74,6.4,1.1770272777880868
04-07-2020,7497,58,494,7003,0.77,6.59,1.1819328393504651
04-08-2020,8672,63,580,8092,0.73,6.69,1.1567293584100307
04-09-2020,10131,76,698,9433,0.75,6.89,1.1682426199261993
04-10-2020,11917,94,795,11122,0.79,6.67,1.176290593228704
04-11-2020,13584,106,1045,12539,0.78,7.69,1.1398841990433835
04-12-2020,15770,130,1291,14479,0.82,8.19,1.160924617196702
04-13-2020,18328,148,1470,16858,0.81,8.02,1.1622067216233354
04-14-2020,21102,170,1694,19408,0.81,8.03,1.1513531209079004
04-15-2020,24490,198,1986,22504,0.81,8.11,1.1605535020377216
04-16-2020,27938,232,2304,25634,0.83,8.25,1.1407921600653328
04-17-2020,32008,273,2590,29418,0.85,8.09,1.1456797193786241
04-18-2020,36793,313,3057,33736,0.85,8.31,1.1494938765308673
04-19-2020,42853,361,3291,39562,0.84,7.68,1.1647052428451063
04-20-2020,47121,405,3446,43675,0.86,7.31,1.0995962943084499
04-21-2020,52763,456,3873,48890,0.86,7.34,1.1197343010547314
04-22-2020,57999,513,4420,53579,0.88,7.62,1.099236207190645
04-23-2020,62773,555,4891,57882,0.88,7.79,1.082311763995931
04-24-2020,68622,615,5568,63054,0.9,8.11,1.0931770028515444
04-25-2020,74588,681,6250,68338,0.91,8.38,1.0869400483809857
04-26-2020,80949,747,6767,74182,0.92,8.36,1.0852818147691319
04-27-2020,87147,794,7346,79801,0.91,8.43,1.0765667271986066
04-28-2020,93558,867,8456,85102,0.93,9.04,1.073565355089676
04-29-2020,99399,972,10286,89113,0.98,10.35,1.062431860450202
04-30-2020,106498,1073,11619,94879,1.01,10.91,1.071419229569714
05-01-2020,114431,1169,13220,101211,1.02,11.55,1.074489661777686
05-02-2020,124054,1222,15013,109041,0.99,12.1,1.0840943450638376
05-03-2020,134687,1280,16639,118048,0.95,12.35,1.0857126735131475
05-04-2020,145268,1356,18095,127173,0.93,12.46,1.0785599204080571
05-05-2020,155370,1451,19865,135505,0.93,12.79,1.0695404356086682
05-06-2020,165929,1537,21327,144602,0.93,12.85,1.0679603527064427
05-07-2020,177160,1625,23803,153357,0.92,13.44,1.0676855763609736
05-08-2020,187859,1723,26608,161251,0.92,14.16,1.0603917362835855
05-09-2020,198676,1827,31916,166760,0.92,16.06,1.057580419357071
05-10-2020,209688,1915,34306,175382,0.91,16.36,1.0554269262517868
05-11-2020,221344,2009,39801,181543,0.91,17.98,1.0555873488230132
05-12-2020,232243,2116,43512,188731,0.91,18.74,1.0492400968628017
05-13-2020,242271,2212,48003,194268,0.91,19.81,1.0431789117433032
05-14-2020,252245,2305,53530,198715,0.91,21.22,1.0411687738111455
05-15-2020,262843,2418,58226,204617,0.92,22.15,1.0420147079228528
05-16-2020,272043,2537,63166,208877,0.93,23.22,1.035001883253501
05-17-2020,281752,2631,67373,214379,0.93,23.91,1.0356892108968068
05-18-2020,290678,2722,70209,220469,0.94,24.15,1.0316803429966779
05-19-2020,299941,2837,76130,223811,0.95,25.38,1.0318668767502184
05-20-2020,308705,2972,85392,223313,0.96,27.66,1.0292190797523513
05-21-2020,317554,3099,92681,224873,0.98,29.19,1.028664906626067
05-22-2020,326448,3249,99825,226623,1.0,30.58,1.0280078348879245
05-23-2020,335882,3388,107936,227946,1.01,32.14,1.0288989364309171
05-24-2020,344481,3541,113299,231182,1.03,32.89,1.025601252820931
05-25-2020,353427,3633,118798,234629,1.03,33.61,1.0259695019464063
05-26-2020,362342,3807,131129,231213,1.05,36.19,1.0252244452178243
05-27-2020,370680,3968,142208,228472,1.07,38.36,1.0230114091107296
05-28-2020,379051,4142,150993,228058,1.09,39.83,1.022582820761843
05-29-2020,387623,4374,159257,228366,1.13,41.09,1.022614371153222
05-30-2020,396575,4555,167469,229106,1.15,42.23,1.0230946048093121
05-31-2020,405843,4693,171883,233960,1.16,42.35,1.023370106537225
06-01-2020,414328,4849,175514,238814,1.17,42.36,1.0209070995434195
06-02-2020,423186,5031,186602,236584,1.19,44.09,1.0213791971578075
06-03-2020,431715,5208,195559,236156,1.21,45.3,1.0201542584111951
06-04-2020,440538,5376,204197,236341,1.22,46.35,1.0204370939161251
06-05-2020,449256,5520,212237,237019,1.23,47.24,1.019789439276521
06-06-2020,458102,5717,220935,237167,1.25,48.23,1.0196903324607796
06-07-2020,467073,5851,226272,240801,1.25,48.44,1.0195829749706398
06-08-2020,476043,5963,230226,245817,1.25,48.36,1.0192047067589007
06-09-2020,484630,6134,241917,242713,1.27,49.92,1.0180382864573159
06-10-2020,493023,6350,252295,240728,1.29,51.17,1.017318366588944
