date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
02-23-2020,0,0,0,0,NaN,NaN,1
02-24-2020,1,0,0,1,0.0,0.0,1
02-25-2020,1,0,0,1,0.0,0.0,1.0
02-26-2020,5,0,0,5,0.0,0.0,5.0
02-27-2020,7,0,0,7,0.0,0.0,1.4
02-28-2020,7,0,0,7,0.0,0.0,1.0
02-29-2020,13,0,0,13,0.0,0.0,1.8571428571428572
03-01-2020,19,0,0,19,0.0,0.0,1.4615384615384617
03-02-2020,26,0,0,26,0.0,0.0,1.368421052631579
03-03-2020,32,0,0,32,0.0,0.0,1.2307692307692308
03-04-2020,35,2,0,35,5.71,0.0,1.09375
03-05-2020,35,2,0,35,5.71,0.0,1.0
03-06-2020,40,3,0,40,7.5,0.0,1.1428571428571428
03-07-2020,54,4,0,54,7.41,0.0,1.35
03-08-2020,60,6,0,60,10.0,0.0,1.1111111111111112
03-09-2020,60,6,9,51,10.0,15.0,1.0
03-10-2020,71,7,3,68,9.86,4.23,1.1833333333333333
03-11-2020,71,7,15,56,9.86,21.13,1.0
03-12-2020,71,8,15,56,11.27,21.13,1.0
03-13-2020,101,9,24,77,8.91,23.76,1.4225352112676055
03-14-2020,110,10,26,84,9.09,23.64,1.0891089108910892
03-15-2020,116,10,26,90,8.62,22.41,1.0545454545454545
03-16-2020,124,10,26,98,8.06,20.97,1.0689655172413792
03-17-2020,154,11,32,122,7.14,20.78,1.2419354838709677
03-18-2020,164,12,43,121,7.32,26.22,1.0649350649350648
03-19-2020,192,13,43,149,6.77,22.4,1.170731707317073
03-20-2020,208,17,49,159,8.17,23.56,1.0833333333333333
03-21-2020,214,17,51,163,7.94,23.83,1.0288461538461537
03-22-2020,233,20,57,176,8.58,24.46,1.088785046728972
03-23-2020,266,23,62,204,8.65,23.31,1.1416309012875536
03-24-2020,316,27,75,241,8.54,23.73,1.1879699248120301
03-25-2020,346,29,103,243,8.38,29.77,1.0949367088607596
03-26-2020,382,36,105,277,9.42,27.49,1.1040462427745665
03-27-2020,458,40,122,336,8.73,26.64,1.1989528795811517
03-28-2020,506,42,131,375,8.3,25.89,1.1048034934497817
03-29-2020,547,42,143,404,7.68,26.14,1.0810276679841897
03-30-2020,630,46,152,478,7.3,24.13,1.1517367458866545
03-31-2020,694,50,170,524,7.2,24.5,1.1015873015873017
04-01-2020,728,52,182,546,7.14,25.0,1.0489913544668588
04-02-2020,772,54,202,570,6.99,26.17,1.0604395604395604
04-03-2020,820,54,226,594,6.59,27.56,1.0621761658031088
04-04-2020,878,56,259,619,6.38,29.5,1.0707317073170732
04-05-2020,961,61,279,682,6.35,29.03,1.0945330296127562
04-06-2020,1031,64,344,687,6.21,33.37,1.072840790842872
04-07-2020,1122,65,373,749,5.79,33.24,1.0882638215324927
04-08-2020,1202,69,452,750,5.74,37.6,1.071301247771836
04-09-2020,1232,69,496,736,5.6,40.26,1.0249584026622296
04-10-2020,1279,70,550,729,5.47,43.0,1.0381493506493507
04-11-2020,1318,72,601,717,5.46,45.6,1.0304925723221268
04-12-2020,1352,76,640,712,5.62,47.34,1.0257966616084977
04-13-2020,1378,78,717,661,5.66,52.03,1.0192307692307692
04-14-2020,1400,78,766,634,5.57,54.71,1.0159651669085632
04-15-2020,1415,79,812,603,5.58,57.39,1.0107142857142857
04-16-2020,1434,80,856,578,5.58,59.69,1.0134275618374557
04-17-2020,1482,81,906,576,5.47,61.13,1.0334728033472804
04-18-2020,1513,82,953,560,5.42,62.99,1.0209176788124157
04-19-2020,1539,82,1009,530,5.33,65.56,1.017184401850628
04-20-2020,1574,82,1043,531,5.21,66.26,1.0227420402859
04-21-2020,1602,83,1096,506,5.18,68.41,1.0177890724269378
04-22-2020,1631,83,1146,485,5.09,70.26,1.0181023720349562
04-23-2020,1677,83,1171,506,4.95,69.83,1.0282035561005518
04-24-2020,1708,86,1204,504,5.04,70.49,1.018485390578414
04-25-2020,1763,86,1224,539,4.88,69.43,1.0322014051522248
04-26-2020,1820,87,1263,557,4.78,69.4,1.0323312535450937
04-27-2020,1847,88,1286,561,4.76,69.63,1.0148351648351648
04-28-2020,1928,90,1319,609,4.67,68.41,1.0438548998375745
04-29-2020,2003,92,1346,657,4.59,67.2,1.0389004149377594
04-30-2020,2085,93,1375,710,4.46,65.95,1.0409385921118322
05-01-2020,2153,94,1414,739,4.37,65.68,1.0326139088729016
05-02-2020,2219,95,1473,746,4.28,66.38,1.0306549001393404
05-03-2020,2296,97,1490,806,4.22,64.9,1.0347003154574133
05-04-2020,2346,98,1544,802,4.18,65.81,1.0217770034843205
05-05-2020,2431,102,1571,860,4.2,64.62,1.036231884057971
05-06-2020,2480,102,1602,878,4.11,64.6,1.0201563142739614
05-07-2020,2543,102,1626,917,4.01,63.94,1.0254032258064516
05-08-2020,2603,104,1661,942,4.0,63.81,1.0235941801022415
05-09-2020,2679,107,1702,977,3.99,63.53,1.0291970802919708
