date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-15-2020,1,0,0,1,0.0,0.0,1
03-16-2020,1,0,0,1,0.0,0.0,1.0
03-17-2020,1,0,0,1,0.0,0.0,1.0
03-18-2020,1,0,0,1,0.0,0.0,1.0
03-19-2020,3,0,0,3,0.0,0.0,3.0
03-20-2020,3,0,0,3,0.0,0.0,1.0
03-21-2020,3,0,0,3,0.0,0.0,1.0
03-22-2020,3,0,0,3,0.0,0.0,1.0
03-23-2020,4,0,0,4,0.0,0.0,1.3333333333333333
03-24-2020,4,0,0,4,0.0,0.0,1.0
03-25-2020,4,0,0,4,0.0,0.0,1.0
03-26-2020,4,0,0,4,0.0,0.0,1.0
03-27-2020,4,0,0,4,0.0,0.0,1.0
03-28-2020,4,0,0,4,0.0,0.0,1.0
03-29-2020,19,0,0,19,0.0,0.0,4.75
03-30-2020,19,0,0,19,0.0,0.0,1.0
03-31-2020,19,0,0,19,0.0,0.0,1.0
04-01-2020,19,0,0,19,0.0,0.0,1.0
04-02-2020,22,2,2,20,9.09,9.09,1.1578947368421053
04-03-2020,22,2,2,20,9.09,9.09,1.0
04-04-2020,22,2,2,20,9.09,9.09,1.0
04-05-2020,45,5,2,43,11.11,4.44,2.0454545454545454
04-06-2020,45,5,2,43,11.11,4.44,1.0
04-07-2020,45,5,2,43,11.11,4.44,1.0
04-08-2020,45,5,2,43,11.11,4.44,1.0
04-09-2020,60,5,5,55,8.33,8.33,1.3333333333333333
04-10-2020,60,5,5,55,8.33,8.33,1.0
04-11-2020,60,5,5,55,8.33,8.33,1.0
04-12-2020,60,5,5,55,8.33,8.33,1.0
04-13-2020,60,5,5,55,8.33,8.33,1.0
04-14-2020,60,5,5,55,8.33,8.33,1.0
04-15-2020,117,5,11,106,4.27,9.4,1.95
04-16-2020,117,5,11,106,4.27,9.4,1.0
04-17-2020,143,6,11,132,4.2,7.69,1.2222222222222223
04-18-2020,143,6,11,132,4.2,7.69,1.0
04-19-2020,143,6,11,132,4.2,7.69,1.0
04-20-2020,160,6,16,144,3.75,10.0,1.118881118881119
04-21-2020,165,6,16,149,3.64,9.7,1.03125
04-22-2020,186,6,16,170,3.23,8.6,1.1272727272727272
04-23-2020,186,6,16,170,3.23,8.6,1.0
04-24-2020,200,6,19,181,3.0,9.5,1.075268817204301
04-25-2020,200,6,19,181,3.0,9.5,1.0
04-26-2020,200,6,19,181,3.0,9.5,1.0
04-27-2020,200,6,19,181,3.0,9.5,1.0
04-28-2020,207,8,19,188,3.86,9.18,1.035
04-29-2020,207,8,19,188,3.86,9.18,1.0
04-30-2020,220,9,19,201,4.09,8.64,1.0628019323671498
05-01-2020,229,9,25,204,3.93,10.92,1.040909090909091
05-02-2020,229,9,25,204,3.93,10.92,1.0
05-03-2020,229,9,25,204,3.93,10.92,1.0
05-04-2020,236,10,26,210,4.24,11.02,1.0305676855895196
05-05-2020,236,10,26,210,4.24,11.02,1.0
05-06-2020,264,10,30,234,3.79,11.36,1.11864406779661
05-07-2020,264,10,30,234,3.79,11.36,1.0
05-08-2020,274,10,33,241,3.65,12.04,1.0378787878787878
05-09-2020,274,10,33,241,3.65,12.04,1.0
05-10-2020,274,10,33,241,3.65,12.04,1.0
05-11-2020,333,11,53,280,3.3,15.92,1.2153284671532847
05-12-2020,333,11,53,280,3.3,15.92,1.0
05-13-2020,333,11,53,280,3.3,15.92,1.0
05-14-2020,391,15,87,304,3.84,22.25,1.1741741741741742
05-15-2020,391,15,87,304,3.84,22.25,1.0
05-16-2020,391,15,87,304,3.84,22.25,1.0
05-17-2020,391,15,87,304,3.84,22.25,1.0
05-18-2020,412,15,110,302,3.64,26.7,1.0537084398976981
05-19-2020,420,15,132,288,3.57,31.43,1.0194174757281553
05-20-2020,420,15,132,288,3.57,31.43,1.0
05-21-2020,469,16,137,332,3.41,29.21,1.1166666666666667
05-22-2020,469,16,137,332,3.41,29.21,1.0
05-23-2020,487,16,147,340,3.29,30.18,1.0383795309168444
05-24-2020,487,16,147,340,3.29,30.18,1.0
05-25-2020,487,16,147,340,3.29,30.18,1.0
05-26-2020,487,16,147,340,3.29,30.18,1.0
05-27-2020,571,19,161,410,3.33,28.2,1.1724845995893225
05-28-2020,571,19,161,410,3.33,28.2,1.0
05-29-2020,571,19,161,410,3.33,28.2,1.0
05-30-2020,571,19,161,410,3.33,28.2,1.0
05-31-2020,611,20,179,432,3.27,29.3,1.0700525394045535
06-01-2020,611,20,179,432,3.27,29.3,1.0
06-02-2020,611,20,179,432,3.27,29.3,1.0
06-03-2020,611,20,179,432,3.27,29.3,1.0
06-04-2020,611,20,179,432,3.27,29.3,1.0
06-05-2020,635,20,182,453,3.15,28.66,1.039279869067103
