date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
01-23-2020,0,0,0,0,NaN,NaN,1
03-06-2020,1,0,0,1,0.0,0.0,1
03-07-2020,1,0,0,1,0.0,0.0,1.0
03-08-2020,1,0,0,1,0.0,0.0,1.0
03-09-2020,1,0,0,1,0.0,0.0,1.0
03-10-2020,3,0,0,3,0.0,0.0,3.0
03-11-2020,9,0,0,9,0.0,0.0,3.0
03-12-2020,9,0,0,9,0.0,0.0,1.0
03-13-2020,13,0,0,13,0.0,0.0,1.4444444444444444
03-14-2020,22,0,0,22,0.0,0.0,1.6923076923076923
03-15-2020,34,0,0,34,0.0,0.0,1.5454545454545454
03-16-2020,54,0,0,54,0.0,0.0,1.5882352941176472
03-17-2020,65,0,1,64,0.0,1.54,1.2037037037037037
03-18-2020,93,0,1,92,0.0,1.08,1.4307692307692308
03-19-2020,102,0,1,101,0.0,0.98,1.096774193548387
03-20-2020,128,0,1,127,0.0,0.78,1.2549019607843137
03-21-2020,196,0,1,195,0.0,0.51,1.53125
03-22-2020,231,2,3,228,0.87,1.3,1.1785714285714286
03-23-2020,277,3,3,274,1.08,1.08,1.199134199134199
03-24-2020,378,3,6,372,0.79,1.59,1.364620938628159
03-25-2020,470,4,8,462,0.85,1.7,1.2433862433862433
03-26-2020,491,6,8,483,1.22,1.63,1.0446808510638297
03-27-2020,539,6,10,529,1.11,1.86,1.0977596741344195
03-28-2020,608,6,10,598,0.99,1.64,1.1280148423005567
03-29-2020,702,10,10,692,1.42,1.42,1.1546052631578947
03-30-2020,798,12,15,783,1.5,1.88,1.1367521367521367
03-31-2020,906,16,31,875,1.77,3.42,1.1353383458646618
04-01-2020,1065,17,39,1026,1.6,3.66,1.1754966887417218
04-02-2020,1161,19,55,1106,1.64,4.74,1.0901408450704226
04-03-2020,1267,25,55,1212,1.97,4.34,1.09130060292851
04-04-2020,1406,32,85,1321,2.28,6.05,1.1097079715864246
04-05-2020,1485,35,88,1397,2.36,5.93,1.0561877667140824
04-06-2020,1579,46,88,1491,2.91,5.57,1.0632996632996634
04-07-2020,1780,50,100,1680,2.81,5.62,1.1272957568081063
04-08-2020,2054,54,123,1931,2.63,5.99,1.1539325842696628
04-09-2020,2223,69,174,2049,3.1,7.83,1.0822784810126582
04-10-2020,2473,80,197,2276,3.23,7.97,1.1124606387764282
04-11-2020,2709,100,214,2495,3.69,7.9,1.0954306510311362
04-12-2020,2776,109,270,2506,3.93,9.73,1.0247323735695828
04-13-2020,2852,112,319,2533,3.93,11.19,1.0273775216138328
04-14-2020,2979,127,354,2625,4.26,11.88,1.0445301542777
04-15-2020,3105,131,452,2653,4.22,14.56,1.042296072507553
04-16-2020,3233,144,550,2683,4.45,17.01,1.0412238325281804
04-17-2020,3439,153,634,2805,4.45,18.44,1.06371790906279
04-18-2020,3439,153,634,2805,4.45,18.44,1.0
04-19-2020,3792,179,711,3081,4.72,18.75,1.1026461180575748
04-20-2020,3977,189,804,3173,4.75,20.22,1.0487869198312236
04-21-2020,4149,196,804,3345,4.72,19.38,1.0432486799094796
04-22-2020,4356,206,870,3486,4.73,19.97,1.0498915401301518
04-23-2020,4561,215,927,3634,4.71,20.32,1.0470615243342516
04-24-2020,4881,225,1003,3878,4.61,20.55,1.0701600526200394
04-25-2020,5142,233,1067,4075,4.53,20.75,1.0534726490473263
04-26-2020,5379,244,1133,4246,4.54,21.06,1.046091015169195
04-27-2020,5597,253,1210,4387,4.52,21.62,1.040527979178286
04-28-2020,5949,269,1268,4681,4.52,21.31,1.0628908343755583
04-29-2020,6207,278,1411,4796,4.48,22.73,1.043368633383762
04-30-2020,6507,293,1439,5068,4.5,22.11,1.0483325277912035
05-01-2020,7006,314,1551,5455,4.48,22.14,1.0766866451513755
05-02-2020,7285,324,1666,5619,4.45,22.87,1.0398230088495575
05-03-2020,7668,340,1722,5946,4.43,22.46,1.052573781743308
05-04-2020,7973,358,1807,6166,4.49,22.66,1.0397756911841418
05-05-2020,8613,378,2013,6600,4.39,23.37,1.0802709143358835
05-06-2020,8959,397,2148,6811,4.43,23.98,1.0401718332752816
05-07-2020,9456,407,2300,7156,4.3,24.32,1.0554749413997098
05-08-2020,10051,428,2424,7627,4.26,24.12,1.0629230118443316
05-09-2020,10495,445,2569,7926,4.24,24.48,1.0441747089841806
05-10-2020,11063,463,2705,8358,4.19,24.45,1.0541210100047642
05-11-2020,11613,479,2825,8788,4.12,24.33,1.0497152671065715
05-12-2020,12272,493,2971,9301,4.02,24.21,1.0567467493326443
05-13-2020,12930,509,3133,9797,3.94,24.23,1.0536179921773141
05-14-2020,13610,525,3358,10252,3.86,24.67,1.0525908739365817
