date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-15-2020,1,0,0,1,0,0,1
03-16-2020,1,0,0,1,0,0,1.0
03-17-2020,1,0,0,1,0,0,1.0
03-18-2020,4,0,0,4,0,0,4.0
03-19-2020,6,0,0,6,0,0,1.5
03-20-2020,6,0,0,6,0,0,1.0
03-21-2020,6,0,0,6,0,0,1.0
03-22-2020,6,0,0,6,0,0,1.0
03-23-2020,9,0,0,9,0,0,1.5
03-24-2020,9,0,0,9,0,0,1.0
03-25-2020,9,0,0,9,0,0,1.0
03-26-2020,12,0,0,12,0,0,1.3333333333333333
03-27-2020,12,0,0,12,0,0,1.0
03-28-2020,12,0,0,12,0,0,1.0
03-29-2020,12,0,0,12,0,0,1.0
03-30-2020,12,0,0,12,0,0,1.0
03-31-2020,12,0,1,11,0,8.33,1.0
04-01-2020,15,0,1,14,0,6.67,1.25
04-02-2020,15,0,1,14,0,6.67,1.0
04-03-2020,16,0,1,15,0,6.25,1.0666666666666667
04-04-2020,16,0,1,15,0,6.25,1.0
04-05-2020,16,0,1,15,0,6.25,1.0
04-06-2020,16,0,3,13,0,18.75,1.0
04-07-2020,16,0,3,13,0,18.75,1.0
04-08-2020,18,0,3,15,0,16.67,1.125
04-09-2020,18,0,3,15,0,16.67,1.0
04-10-2020,18,0,3,15,0,16.67,1.0
04-11-2020,18,0,3,15,0,16.67,1.0
04-12-2020,21,0,3,18,0,14.29,1.1666666666666667
04-13-2020,21,0,4,17,0,19.05,1.0
04-14-2020,41,0,4,37,0,9.76,1.9523809523809523
04-15-2020,51,0,4,47,0,7.84,1.2439024390243902
04-16-2020,51,0,4,47,0,7.84,1.0
04-17-2020,79,0,4,75,0,5.06,1.5490196078431373
04-18-2020,79,0,4,75,0,5.06,1.0
04-19-2020,79,0,4,75,0,5.06,1.0
04-20-2020,79,0,7,72,0,8.86,1.0
04-21-2020,83,0,7,76,0,8.43,1.0506329113924051
04-22-2020,84,1,7,77,1.19,8.33,1.0120481927710843
04-23-2020,84,1,7,77,1.19,8.33,1.0
04-24-2020,214,1,7,207,0.47,3.27,2.5476190476190474
04-25-2020,258,1,7,251,0.39,2.71,1.205607476635514
04-26-2020,258,1,8,250,0.39,3.1,1.0
04-27-2020,258,1,9,249,0.39,3.49,1.0
04-28-2020,315,1,9,306,0.32,2.86,1.2209302325581395
04-29-2020,315,1,9,306,0.32,2.86,1.0
04-30-2020,315,1,9,306,0.32,2.86,1.0
05-01-2020,315,1,9,306,0.32,2.86,1.0
05-02-2020,315,1,9,306,0.32,2.86,1.0
05-03-2020,315,1,9,306,0.32,2.86,1.0
05-04-2020,315,3,13,302,0.95,4.13,1.0
05-05-2020,315,3,13,302,0.95,4.13,1.0
05-06-2020,439,4,13,426,0.91,2.96,1.3936507936507936
05-07-2020,439,4,13,426,0.91,2.96,1.0
05-08-2020,439,4,13,426,0.91,2.96,1.0
05-09-2020,439,4,13,426,0.91,2.96,1.0
05-10-2020,439,4,13,426,0.91,2.96,1.0
05-11-2020,439,4,13,426,0.91,2.96,1.0
05-12-2020,439,4,13,426,0.91,2.96,1.0
05-13-2020,522,6,13,509,1.15,2.49,1.1890660592255125
05-14-2020,583,7,13,570,1.2,2.23,1.1168582375478928
05-15-2020,594,7,22,572,1.18,3.7,1.0188679245283019
05-16-2020,594,7,22,572,1.18,3.7,1.0
05-17-2020,594,7,22,572,1.18,3.7,1.0
05-18-2020,719,7,22,697,0.97,3.06,1.2104377104377104
05-19-2020,825,7,22,803,0.85,2.67,1.1474269819193323
05-20-2020,890,7,22,868,0.79,2.47,1.0787878787878789
05-21-2020,903,10,22,881,1.11,2.44,1.0146067415730338
05-22-2020,960,11,165,795,1.15,17.19,1.06312292358804
05-23-2020,960,11,165,795,1.15,17.19,1.0
05-24-2020,960,11,165,795,1.15,17.19,1.0
