date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-20-2020,2,0,0,2,0,0,1
03-21-2020,2,0,0,2,0,0,1.0
03-22-2020,2,0,0,2,0,0,1.0
03-23-2020,2,0,0,2,0,0,1.0
03-24-2020,5,0,0,5,0,0,2.5
03-25-2020,7,0,0,7,0,0,1.4
03-26-2020,7,0,0,7,0,0,1.0
03-27-2020,8,0,0,8,0,0,1.1428571428571428
03-28-2020,8,0,0,8,0,0,1.0
03-29-2020,8,0,1,7,0,12.5,1.0
03-30-2020,15,0,1,14,0,6.67,1.875
03-31-2020,15,0,1,14,0,6.67,1.0
04-01-2020,15,0,1,14,0,6.67,1.0
04-02-2020,16,0,1,15,0,6.25,1.0666666666666667
04-03-2020,16,0,1,15,0,6.25,1.0
04-04-2020,18,0,1,17,0,5.56,1.125
04-05-2020,18,0,1,17,0,5.56,1.0
04-06-2020,21,0,0,21,0,0,1.1666666666666667
04-07-2020,24,1,0,24,4.17,0,1.1428571428571428
04-08-2020,25,1,0,25,4.0,0,1.0416666666666667
04-09-2020,27,1,0,27,3.7,0,1.08
04-10-2020,30,2,0,30,6.67,0,1.1111111111111112
04-11-2020,30,2,0,30,6.67,0,1.0
04-12-2020,31,2,0,31,6.45,0,1.0333333333333334
04-13-2020,31,2,0,31,6.45,0,1.0
04-14-2020,40,3,0,40,7.5,0,1.2903225806451613
04-15-2020,40,3,0,40,7.5,0,1.0
04-16-2020,41,3,0,41,7.32,0,1.025
04-17-2020,41,3,0,41,7.32,0,1.0
04-18-2020,43,3,0,43,6.98,0,1.048780487804878
04-19-2020,44,3,0,44,6.82,0,1.0232558139534884
04-20-2020,44,3,0,44,6.82,0,1.0
04-21-2020,47,3,0,47,6.38,0,1.0681818181818181
04-22-2020,57,3,2,55,5.26,3.51,1.2127659574468086
04-23-2020,58,4,2,56,6.9,3.45,1.0175438596491229
04-24-2020,62,4,6,56,6.45,9.68,1.0689655172413792
04-25-2020,72,5,6,66,6.94,8.33,1.1612903225806452
04-26-2020,72,6,7,65,8.33,9.72,1.0
04-27-2020,72,6,8,64,8.33,11.11,1.0
04-28-2020,74,6,8,66,8.11,10.81,1.0277777777777777
04-29-2020,76,6,8,68,7.89,10.53,1.027027027027027
04-30-2020,76,6,8,68,7.89,10.53,1.0
05-01-2020,76,7,10,66,9.21,13.16,1.0
05-02-2020,81,8,10,71,9.88,12.35,1.0657894736842106
05-03-2020,85,8,10,75,9.41,11.76,1.0493827160493827
05-04-2020,85,8,10,75,9.41,11.76,1.0
05-05-2020,88,9,10,78,10.23,11.36,1.035294117647059
05-06-2020,100,11,10,90,11.0,10.0,1.1363636363636362
05-07-2020,101,12,16,85,11.88,15.84,1.01
05-08-2020,108,12,17,91,11.11,15.74,1.0693069306930694
05-09-2020,129,12,17,112,9.3,13.18,1.1944444444444444
05-10-2020,146,12,17,129,8.22,11.64,1.1317829457364341
05-11-2020,151,12,17,134,7.95,11.26,1.0342465753424657
05-12-2020,182,15,17,165,8.24,9.34,1.205298013245033
05-13-2020,209,16,17,192,7.66,8.13,1.1483516483516483
05-14-2020,219,18,18,201,8.22,8.22,1.0478468899521531
05-15-2020,234,18,29,205,7.69,12.39,1.0684931506849316
05-16-2020,273,20,29,244,7.33,10.62,1.1666666666666667
05-17-2020,310,20,21,289,6.45,6.77,1.1355311355311355
05-18-2020,358,20,21,337,5.59,5.87,1.1548387096774193
05-19-2020,456,20,21,435,4.39,4.61,1.2737430167597765
05-20-2020,533,21,21,512,3.94,3.94,1.168859649122807
05-21-2020,596,22,21,575,3.69,3.52,1.1181988742964353
05-22-2020,663,22,22,641,3.32,3.32,1.1124161073825503
05-23-2020,734,25,22,712,3.41,3.0,1.1070889894419307
05-24-2020,812,25,22,790,3.08,2.71,1.106267029972752
05-25-2020,865,26,22,843,3.01,2.54,1.0652709359605912
05-26-2020,958,27,22,936,2.82,2.3,1.107514450867052
05-27-2020,1063,31,22,1041,2.92,2.07,1.1096033402922756
05-28-2020,1174,33,22,1152,2.81,1.87,1.1044214487300095
05-29-2020,1320,34,22,1298,2.58,1.67,1.1243611584327087
05-30-2020,1443,35,24,1419,2.43,1.66,1.0931818181818183
05-31-2020,1584,35,24,1560,2.21,1.52,1.0977130977130978
06-01-2020,1865,41,24,1841,2.2,1.29,1.1773989898989898
06-02-2020,2124,44,24,2100,2.07,1.13,1.1388739946380697
06-03-2020,2226,45,24,2202,2.02,1.08,1.0480225988700564
06-04-2020,2507,48,24,2483,1.91,0.96,1.1262353998203054
06-05-2020,2604,50,24,2580,1.92,0.92,1.0386916633426406
06-06-2020,2640,50,24,2616,1.89,0.91,1.0138248847926268
06-07-2020,2924,50,24,2900,1.71,0.82,1.1075757575757577
06-08-2020,3072,50,24,3048,1.63,0.78,1.0506155950752394
06-09-2020,3334,51,24,3310,1.53,0.72,1.0852864583333333
06-10-2020,3538,54,24,3514,1.53,0.68,1.0611877624475106
06-11-2020,3662,56,24,3638,1.53,0.66,1.035048049745619
06-12-2020,3796,58,24,3772,1.53,0.63,1.0365920262151829
06-13-2020,3941,64,24,3917,1.62,0.61,1.0381981032665963
06-14-2020,3941,64,24,3917,1.62,0.61,1.0
06-15-2020,4165,70,24,4141,1.68,0.58,1.0568383658969804
06-16-2020,4309,73,24,4285,1.69,0.56,1.0345738295318128
06-17-2020,4441,76,24,4417,1.71,0.54,1.030633557669993
06-18-2020,4547,80,24,4523,1.76,0.53,1.0238684980860167
06-19-2020,4688,82,24,4664,1.75,0.51,1.0310094567846932
06-20-2020,4916,84,24,4892,1.71,0.49,1.0486348122866893
06-21-2020,4980,87,24,4956,1.75,0.48,1.013018714401953
06-22-2020,5077,88,24,5053,1.73,0.47,1.0194779116465864
06-23-2020,5211,88,436,4775,1.69,8.37,1.026393539491826
06-24-2020,5216,88,512,4704,1.69,9.82,1.0009595087315295
06-25-2020,5324,89,512,4812,1.67,9.62,1.0207055214723926
06-26-2020,5429,92,641,4788,1.69,11.81,1.0197220135236664
06-27-2020,5543,96,706,4837,1.73,12.74,1.0209983422361393
06-28-2020,5722,98,706,5016,1.71,12.34,1.0322929821396356
06-29-2020,5722,98,839,4883,1.71,14.66,1.0
06-30-2020,5847,104,931,4916,1.78,15.92,1.0218455085634393
07-01-2020,5933,105,1032,4901,1.77,17.39,1.0147083974687874
07-02-2020,5975,105,1141,4834,1.76,19.1,1.007079049384797
07-03-2020,6040,107,1286,4754,1.77,21.29,1.0108786610878662
07-04-2020,6101,110,1408,4693,1.8,23.08,1.0100993377483443
07-05-2020,6230,110,1549,4681,1.77,24.86,1.0211440747418457
07-06-2020,6294,113,1824,4470,1.8,28.98,1.0102728731942214
