date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-11-2020,2,0,0,2,0,0,1
03-12-2020,2,0,0,2,0,0,1.0
03-13-2020,3,0,0,3,0,0,1.5
03-14-2020,10,0,0,10,0,0,3.3333333333333335
03-15-2020,10,0,0,10,0,0,1.0
03-16-2020,11,0,0,11,0,0,1.1
03-17-2020,11,0,0,11,0,0,1.0
03-18-2020,12,0,0,12,0,0,1.0909090909090908
03-19-2020,12,0,0,12,0,0,1.0
03-20-2020,15,0,0,15,0,0,1.25
03-21-2020,19,0,0,19,0,0,1.2666666666666666
03-22-2020,24,0,0,24,0,0,1.263157894736842
03-23-2020,27,0,0,27,0,0,1.125
03-24-2020,29,0,0,29,0,0,1.074074074074074
03-25-2020,32,0,0,32,0,0,1.103448275862069
03-26-2020,43,0,0,43,0,0,1.34375
03-27-2020,61,0,0,61,0,0,1.4186046511627908
03-28-2020,74,0,0,74,0,0,1.2131147540983607
03-29-2020,81,1,0,81,1.23,0,1.0945945945945945
03-30-2020,97,4,0,97,4.12,0,1.1975308641975309
03-31-2020,107,6,0,107,5.61,0,1.1030927835051547
04-01-2020,115,7,1,114,6.09,0.87,1.074766355140187
04-02-2020,123,8,1,122,6.5,0.81,1.0695652173913044
04-03-2020,132,9,1,131,6.82,0.76,1.0731707317073171
04-04-2020,139,10,1,138,7.19,0.72,1.053030303030303
04-05-2020,157,10,2,155,6.37,1.27,1.129496402877698
04-06-2020,183,11,2,181,6.01,1.09,1.1656050955414012
04-07-2020,194,14,2,192,7.22,1.03,1.0601092896174864
04-08-2020,210,15,2,208,7.14,0.95,1.0824742268041236
04-09-2020,264,18,2,262,6.82,0.76,1.2571428571428571
04-10-2020,268,19,2,266,7.09,0.75,1.0151515151515151
04-11-2020,275,20,2,273,7.27,0.73,1.0261194029850746
04-12-2020,300,24,2,298,8.0,0.67,1.0909090909090908
04-13-2020,330,27,2,328,8.18,0.61,1.1
04-14-2020,354,28,6,348,7.91,1.69,1.0727272727272728
04-15-2020,397,28,7,390,7.05,1.76,1.1214689265536724
04-16-2020,441,29,14,427,6.58,3.17,1.1108312342569269
04-17-2020,465,31,26,439,6.67,5.59,1.054421768707483
04-18-2020,493,31,31,462,6.29,6.29,1.060215053763441
04-19-2020,520,32,31,489,6.15,5.96,1.054766734279919
04-20-2020,564,33,31,533,5.85,5.5,1.0846153846153845
04-21-2020,598,34,37,561,5.69,6.19,1.0602836879432624
04-22-2020,609,37,44,565,6.08,7.22,1.0183946488294315
04-23-2020,703,43,44,659,6.12,6.26,1.154351395730706
04-24-2020,807,44,54,753,5.45,6.69,1.1479374110953058
04-25-2020,866,46,54,812,5.31,6.24,1.0731102850061958
04-26-2020,950,50,80,870,5.26,8.42,1.0969976905311778
04-27-2020,1014,53,98,916,5.23,9.66,1.0673684210526315
04-28-2020,1014,53,98,916,5.23,9.66,1.0
04-29-2020,1110,59,117,993,5.32,10.54,1.0946745562130178
04-30-2020,1110,59,117,993,5.32,10.54,1.0
05-01-2020,1229,66,134,1095,5.37,10.9,1.1072072072072072
05-02-2020,1229,66,134,1095,5.37,10.9,1.0
05-03-2020,1594,76,166,1428,4.77,10.41,1.2969894222945484
05-04-2020,1681,82,174,1507,4.88,10.35,1.0545796737766624
05-05-2020,1802,86,187,1615,4.77,10.38,1.071980963712076
05-06-2020,1886,91,198,1688,4.83,10.5,1.04661487236404
05-07-2020,2081,102,219,1862,4.9,10.52,1.1033934252386002
05-08-2020,2266,106,237,2029,4.68,10.46,1.0888995675156175
05-09-2020,2437,114,258,2179,4.68,10.59,1.0754633715798765
05-10-2020,2556,118,273,2283,4.62,10.68,1.0488305293393516
05-11-2020,2831,122,299,2532,4.31,10.56,1.1075899843505477
05-12-2020,2964,128,313,2651,4.32,10.56,1.0469798657718121
05-13-2020,3148,142,339,2809,4.51,10.77,1.0620782726045883
05-14-2020,3372,152,356,3016,4.51,10.56,1.071156289707751
05-15-2020,3577,164,434,3143,4.58,12.13,1.0607947805456703
05-16-2020,3826,165,473,3353,4.31,12.36,1.0696114062063182
05-17-2020,4088,169,493,3595,4.13,12.06,1.068478829064297
05-18-2020,4263,174,503,3760,4.08,11.8,1.042808219178082
05-19-2020,4481,189,533,3948,4.22,11.89,1.0511376964578936
05-20-2020,4919,199,553,4366,4.05,11.24,1.0977460388306182
05-21-2020,5187,215,561,4626,4.14,10.82,1.0544826184183778
05-22-2020,5579,230,575,5004,4.12,10.31,1.0755735492577598
05-23-2020,5915,240,609,5306,4.06,10.3,1.0602258469259724
05-24-2020,6263,250,629,5634,3.99,10.04,1.0588334742180896
05-25-2020,6660,261,647,6013,3.92,9.71,1.0633881526425035
05-26-2020,7136,274,677,6459,3.84,9.49,1.0714714714714715
05-27-2020,7768,280,689,7079,3.6,8.87,1.0885650224215246
05-28-2020,8387,293,738,7649,3.49,8.8,1.0796858908341915
05-29-2020,8731,300,749,7982,3.44,8.58,1.0410158578752833
05-30-2020,9592,310,889,8703,3.23,9.27,1.0986141335471309
05-31-2020,9982,313,968,9014,3.14,9.7,1.0406588824020018
06-01-2020,10531,343,1137,9394,3.26,10.8,1.0549989981967542
06-02-2020,10991,376,1298,9693,3.42,11.81,1.0436805621498433
06-03-2020,11638,400,1507,10131,3.44,12.95,1.0588663451915203
06-04-2020,12245,415,1658,10587,3.39,13.54,1.0521567279601307
06-05-2020,12728,427,1739,10989,3.35,13.66,1.0394446712944059
06-06-2020,13358,454,1902,11456,3.4,14.24,1.0494971715901948
06-07-2020,13643,465,2086,11557,3.41,15.29,1.021335529270849
06-08-2020,13949,475,2159,11790,3.41,15.48,1.0224290845122042
