date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
01-23-2020,1,0,0,1,0.0,0.0,1
01-24-2020,3,0,0,3,0.0,0.0,3.0
01-25-2020,3,0,0,3,0.0,0.0,1.0
01-26-2020,4,0,0,4,0.0,0.0,1.3333333333333333
01-27-2020,5,0,0,5,0.0,0.0,1.25
01-28-2020,7,0,0,7,0.0,0.0,1.4
01-29-2020,7,0,0,7,0.0,0.0,1.0
01-30-2020,10,0,0,10,0.0,0.0,1.4285714285714286
01-31-2020,13,0,0,13,0.0,0.0,1.3
02-01-2020,16,0,0,16,0.0,0.0,1.2307692307692308
02-02-2020,18,0,0,18,0.0,0.0,1.125
02-03-2020,18,0,0,18,0.0,0.0,1.0
02-04-2020,24,0,0,24,0.0,0.0,1.3333333333333333
02-05-2020,28,0,0,28,0.0,0.0,1.1666666666666667
02-06-2020,28,0,0,28,0.0,0.0,1.0
02-07-2020,30,0,0,30,0.0,0.0,1.0714285714285714
02-08-2020,33,0,2,31,0.0,6.06,1.1
02-09-2020,40,0,2,38,0.0,5.0,1.2121212121212122
02-10-2020,45,0,2,43,0.0,4.44,1.125
02-11-2020,47,0,9,38,0.0,19.15,1.0444444444444445
02-12-2020,50,0,15,35,0.0,30.0,1.0638297872340425
02-13-2020,58,0,15,43,0.0,25.86,1.16
02-14-2020,67,0,17,50,0.0,25.37,1.1551724137931034
02-15-2020,72,0,18,54,0.0,25.0,1.0746268656716418
02-16-2020,75,0,18,57,0.0,24.0,1.0416666666666667
02-17-2020,77,0,24,53,0.0,31.17,1.0266666666666666
02-18-2020,81,0,29,52,0.0,35.8,1.051948051948052
02-19-2020,84,0,34,50,0.0,40.48,1.037037037037037
02-20-2020,84,0,34,50,0.0,40.48,1.0
02-21-2020,85,0,37,48,0.0,43.53,1.0119047619047619
02-22-2020,85,0,37,48,0.0,43.53,1.0
02-23-2020,89,0,51,38,0.0,57.3,1.0470588235294118
02-24-2020,89,0,51,38,0.0,57.3,1.0
02-25-2020,91,0,53,38,0.0,58.24,1.0224719101123596
02-26-2020,93,0,62,31,0.0,66.67,1.021978021978022
02-27-2020,93,0,62,31,0.0,66.67,1.0
02-28-2020,93,0,62,31,0.0,66.67,1.0
02-29-2020,102,0,72,30,0.0,70.59,1.096774193548387
03-01-2020,106,0,72,34,0.0,67.92,1.0392156862745099
03-02-2020,108,0,78,30,0.0,72.22,1.0188679245283019
03-03-2020,110,0,78,32,0.0,70.91,1.0185185185185186
03-04-2020,110,0,78,32,0.0,70.91,1.0
03-05-2020,117,0,78,39,0.0,66.67,1.0636363636363637
03-06-2020,130,0,78,52,0.0,60.0,1.1111111111111112
03-07-2020,138,0,78,60,0.0,56.52,1.0615384615384615
03-08-2020,150,0,78,72,0.0,52.0,1.0869565217391304
03-09-2020,150,0,78,72,0.0,52.0,1.0
03-10-2020,160,0,78,82,0.0,48.75,1.0666666666666667
03-11-2020,178,0,96,82,0.0,53.93,1.1125
03-12-2020,178,0,96,82,0.0,53.93,1.0
03-13-2020,200,0,97,103,0.0,48.5,1.1235955056179776
03-14-2020,212,0,105,107,0.0,49.53,1.06
03-15-2020,226,0,105,121,0.0,46.46,1.0660377358490567
03-16-2020,243,0,109,134,0.0,44.86,1.075221238938053
03-17-2020,266,0,114,152,0.0,42.86,1.0946502057613168
03-18-2020,313,0,114,199,0.0,36.42,1.1766917293233083
03-19-2020,345,0,114,231,0.0,33.04,1.1022364217252396
03-20-2020,385,0,124,261,0.0,32.21,1.1159420289855073
03-21-2020,432,2,140,292,0.46,32.41,1.122077922077922
03-22-2020,455,2,144,311,0.44,31.65,1.0532407407407407
03-23-2020,509,2,152,357,0.39,29.86,1.1186813186813187
03-24-2020,558,2,156,402,0.36,27.96,1.0962671905697445
03-25-2020,631,2,160,471,0.32,25.36,1.1308243727598566
03-26-2020,683,2,172,511,0.29,25.18,1.0824088748019018
03-27-2020,732,2,183,549,0.27,25.0,1.0717423133235724
03-28-2020,802,2,198,604,0.25,24.69,1.0956284153005464
03-29-2020,844,3,212,632,0.36,25.12,1.0523690773067331
03-30-2020,879,3,228,651,0.34,25.94,1.0414691943127963
03-31-2020,926,3,240,686,0.32,25.92,1.0534698521046644
04-01-2020,1000,3,245,755,0.3,24.5,1.079913606911447
04-02-2020,1049,4,266,783,0.38,25.36,1.049
04-03-2020,1114,5,282,832,0.45,25.31,1.0619637750238322
04-04-2020,1189,6,297,892,0.5,24.98,1.0673249551166966
04-05-2020,1309,6,320,989,0.46,24.45,1.1009251471825063
04-06-2020,1375,6,344,1031,0.44,25.02,1.050420168067227
04-07-2020,1481,6,377,1104,0.41,25.46,1.077090909090909
04-08-2020,1623,6,406,1217,0.37,25.02,1.0958811613774477
04-09-2020,1910,6,460,1450,0.31,24.08,1.1768330252618608
04-10-2020,2108,7,492,1616,0.33,23.34,1.1036649214659686
04-11-2020,2299,8,528,1771,0.35,22.97,1.090607210626186
04-12-2020,2532,8,560,1972,0.32,22.12,1.1013484123531971
04-13-2020,2918,9,586,2332,0.31,20.08,1.1524486571879937
04-14-2020,3252,10,611,2641,0.31,18.79,1.1144619602467443
