date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-06-2020,1,0,0,1,0,0,1
03-07-2020,1,0,0,1,0,0,1.0
03-08-2020,3,0,0,3,0,0,3.0
03-09-2020,5,0,0,5,0,0,1.6666666666666665
03-10-2020,7,0,0,7,0,0,1.4
03-11-2020,7,0,0,7,0,0,1.0
03-12-2020,10,0,0,10,0,0,1.4285714285714286
03-13-2020,21,0,0,21,0,0,2.1
03-14-2020,32,0,0,32,0,0,1.5238095238095237
03-15-2020,44,0,0,44,0,0,1.375
03-16-2020,61,0,0,61,0,0,1.3863636363636362
03-17-2020,72,0,0,72,0,0,1.180327868852459
03-18-2020,96,1,0,96,1.04,0,1.3333333333333333
03-19-2020,104,1,0,104,0.96,0,1.0833333333333333
03-20-2020,123,1,0,123,0.81,0,1.1826923076923077
03-21-2020,137,1,0,137,0.73,0,1.113821138211382
03-22-2020,178,0,7,171,0,3.93,1.2992700729927007
03-23-2020,185,0,7,178,0,3.78,1.0393258426966292
03-24-2020,204,0,7,197,0,3.43,1.1027027027027028
03-25-2020,216,0,7,209,0,3.24,1.0588235294117647
03-26-2020,226,0,2,224,0,0.88,1.0462962962962963
03-27-2020,269,0,2,267,0,0.74,1.1902654867256637
03-28-2020,292,0,2,290,0,0.68,1.0855018587360594
03-29-2020,314,0,2,312,0,0.64,1.0753424657534247
03-30-2020,336,0,7,329,0,2.08,1.070063694267516
03-31-2020,363,0,3,360,0,0.83,1.0803571428571428
04-01-2020,400,1,3,397,0.25,0.75,1.1019283746556474
04-02-2020,426,1,5,421,0.23,1.17,1.065
04-03-2020,450,1,10,440,0.22,2.22,1.056338028169014
04-04-2020,471,1,10,461,0.21,2.12,1.0466666666666666
04-05-2020,485,1,10,475,0.21,2.06,1.029723991507431
04-06-2020,534,2,8,526,0.37,1.5,1.1010309278350516
04-07-2020,581,2,13,568,0.34,2.24,1.0880149812734083
04-08-2020,682,2,16,666,0.29,2.35,1.1738382099827882
04-09-2020,701,2,23,678,0.29,3.28,1.0278592375366569
04-10-2020,715,2,23,692,0.28,3.22,1.0199714693295292
04-11-2020,728,2,23,705,0.27,3.16,1.018181818181818
04-12-2020,742,2,23,719,0.27,3.1,1.0192307692307692
04-13-2020,769,2,107,662,0.26,13.91,1.036388140161725
04-14-2020,835,2,113,722,0.24,13.53,1.0858257477243174
04-15-2020,863,6,151,712,0.7,17.5,1.0335329341317365
04-16-2020,977,8,167,810,0.82,17.09,1.1320973348783314
04-17-2020,1049,9,175,874,0.86,16.68,1.0736949846468782
04-18-2020,1089,11,213,876,1.01,19.56,1.0381315538608198
04-19-2020,1161,12,229,932,1.03,19.72,1.0661157024793388
04-20-2020,1173,13,251,922,1.11,21.4,1.0103359173126616
04-21-2020,1199,14,258,941,1.17,21.52,1.0221653878942882
04-22-2020,1244,14,284,960,1.13,22.83,1.0375312760633861
04-23-2020,1325,15,288,1037,1.13,21.74,1.065112540192926
04-24-2020,1360,17,355,1005,1.25,26.1,1.0264150943396226
04-25-2020,1373,17,386,987,1.24,28.11,1.0095588235294117
04-26-2020,1379,18,394,985,1.31,28.57,1.0043699927166787
04-27-2020,1381,18,403,978,1.3,29.18,1.0014503263234227
04-28-2020,1384,20,423,961,1.45,30.56,1.002172338884866
04-29-2020,1391,22,484,907,1.58,34.8,1.005057803468208
04-30-2020,1396,23,524,872,1.65,37.54,1.0035945363048167
05-01-2020,1403,23,558,845,1.64,39.77,1.0050143266475644
05-02-2020,1407,24,608,799,1.71,43.21,1.0028510334996437
05-03-2020,1408,24,619,789,1.7,43.96,1.0007107320540156
05-04-2020,1413,25,643,770,1.77,45.51,1.0035511363636365
05-05-2020,1421,25,741,680,1.76,52.15,1.005661712668082
05-06-2020,1429,25,762,667,1.75,53.32,1.0056298381421533
05-07-2020,1445,26,806,639,1.8,55.78,1.0111966410076978
05-08-2020,1455,26,905,550,1.79,62.2,1.0069204152249136
05-09-2020,1455,26,919,536,1.79,63.16,1.0
05-10-2020,1457,26,941,516,1.78,64.58,1.0013745704467354
05-11-2020,1457,26,959,498,1.78,65.82,1.0
05-12-2020,1465,27,983,482,1.84,67.1,1.005490734385724
05-13-2020,1469,27,1060,409,1.84,72.16,1.0027303754266212
05-14-2020,1477,27,1112,365,1.83,75.29,1.0054458815520761
05-15-2020,1480,27,1131,349,1.82,76.42,1.002031144211239
05-16-2020,1493,28,1151,342,1.88,77.09,1.0087837837837839
05-17-2020,1494,28,1163,331,1.87,77.84,1.000669792364367
05-18-2020,1495,28,1185,310,1.87,79.26,1.000669344042838
05-19-2020,1495,28,1192,303,1.87,79.73,1.0
05-20-2020,1496,28,1231,265,1.87,82.29,1.0006688963210701
05-21-2020,1502,28,1245,257,1.86,82.89,1.0040106951871657
05-22-2020,1503,28,1256,247,1.86,83.57,1.0006657789613849
05-23-2020,1504,28,1280,224,1.86,85.11,1.0006653359946773
05-24-2020,1509,28,1301,208,1.86,86.22,1.0033244680851063
05-25-2020,1511,28,1307,204,1.85,86.5,1.001325381047051
05-26-2020,1513,28,1322,191,1.85,87.38,1.00132362673726
05-27-2020,1515,28,1327,188,1.85,87.59,1.0013218770654329
05-28-2020,1520,28,1332,188,1.84,87.63,1.0033003300330032
05-29-2020,1520,28,1338,182,1.84,88.03,1.0
05-30-2020,1521,28,1356,165,1.84,89.15,1.000657894736842
05-31-2020,1521,28,1366,155,1.84,89.81,1.0
06-01-2020,1522,28,1368,154,1.84,89.88,1.0006574621959237
06-02-2020,1522,28,1372,150,1.84,90.14,1.0
06-03-2020,1525,28,1375,150,1.84,90.16,1.0019710906701709
06-04-2020,1526,28,1376,150,1.83,90.17,1.0006557377049181
06-05-2020,1526,28,1379,147,1.83,90.37,1.0
06-06-2020,1528,28,1379,149,1.83,90.25,1.001310615989515
06-07-2020,1528,28,1389,139,1.83,90.9,1.0
06-08-2020,1530,28,1396,134,1.83,91.24,1.0013089005235603
06-09-2020,1531,28,1402,129,1.83,91.57,1.0006535947712418
06-10-2020,1533,28,1404,129,1.83,91.59,1.001306335728282
06-11-2020,1541,28,1409,132,1.82,91.43,1.005218525766471
06-12-2020,1542,28,1409,133,1.82,91.37,1.00064892926671
06-13-2020,1545,28,1410,135,1.81,91.26,1.0019455252918288
06-14-2020,1548,28,1410,138,1.81,91.09,1.0019417475728156
06-15-2020,1552,28,1410,142,1.8,90.85,1.0025839793281655
06-16-2020,1552,28,1426,126,1.8,91.88,1.0
06-17-2020,1561,28,1437,124,1.79,92.06,1.005798969072165
06-18-2020,1562,28,1443,119,1.79,92.38,1.0006406149903908
06-19-2020,1576,28,1447,129,1.78,91.81,1.0089628681177978
06-20-2020,1586,28,1447,139,1.77,91.24,1.0063451776649746
06-21-2020,1587,28,1447,140,1.76,91.18,1.0006305170239596
06-22-2020,1588,28,1447,141,1.76,91.12,1.0006301197227474
06-23-2020,1589,28,1448,141,1.76,91.13,1.0006297229219143
06-24-2020,1607,28,1448,159,1.74,90.11,1.0113278791692888
06-25-2020,1630,28,1452,178,1.72,89.08,1.0143123833229621
